domain,mode,horizon,comparison,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
OSI,C3_aligned_component,osi_target_t01h,E2_minus_E0,34177,0.01232246237425789,0.0035607993735830997,5.189540909786852,-0.00016964479116955803,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,-0.0009168134144009691,-7.440180270432217,0.743495028549753,17139
OSI,C3_aligned_component,osi_target_t01h,E1_minus_E0,34177,0.01232246237425789,0.0035607993735830997,5.189540909786852,-0.00016964479116955803,0.01232526989373838,0.0035598390399755857,5.191905923616554,-0.00017999694671853763,2.807519480490378e-06,0.022783753727306788,-0.0023650138297020007,13255
OSI,v18_rule,osi_target_t01h,E2_minus_E1,34177,0.01232526989373838,0.0035598390399755857,5.191905923616554,-0.00017999694671853763,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,-0.0009196209338814595,-7.461264068129292,0.745860042379455,17131
OSI,v18_rule,osi_target_t01h,E2_minus_E0,34177,0.01232246237425789,0.0035607993735830997,5.189540909786852,-0.00016964479116955803,0.01140564895985692,0.0033826711151431596,4.446045881237099,-0.00018897122879376848,-0.0009168134144009691,-7.440180270432217,0.743495028549753,17139
OSI,v18_rule,osi_target_t01h,E1_minus_E0,34177,0.01232246237425789,0.0035607993735830997,5.189540909786852,-0.00016964479116955803,0.01232526989373838,0.0035598390399755857,5.191905923616554,-0.00017999694671853763,2.807519480490378e-06,0.022783753727306788,-0.0023650138297020007,13255
P,raw,osi_target_t01h,E2_minus_E1,34177,0.020194894764766512,0.005708382193181658,13.93853491313691,-5.952458971489282e-05,0.018309515327014785,0.005326920307427146,11.457441139563741,-1.2689065306031394e-05,-0.0018853794377517268,-9.335921081604726,2.4810937735731695,33081
P,raw,osi_target_t01h,E2_minus_E0,34177,0.020187707336074216,0.005728440992869132,13.928615138922677,-4.769085912853557e-06,0.018309515327014785,0.005326920307427146,11.457441139563741,-1.2689065306031394e-05,-0.001878192009059431,-9.303641952958252,2.4711739993589354,33042
P,raw,osi_target_t01h,E1_minus_E0,34177,0.020187707336074216,0.005728440992869132,13.928615138922677,-4.769085912853557e-06,0.020194894764766512,0.005708382193181658,13.93853491313691,-5.952458971489282e-05,7.1874286922957165e-06,0.0356029962820692,-0.009919774214234067,23962
P,aligned,osi_target_t01h,E2_minus_E1,34177,0.019880017683937108,0.005634132071147764,13.507266579115289,-4.288830190463736e-05,0.017881301819799876,0.005254049854223768,10.927786611200894,-6.355295312570993e-05,-0.001998715864137232,-10.05389379382785,2.579479967914395,33081
P,aligned,osi_target_t01h,E2_minus_E0,34177,0.019870410596692263,0.00563440396177144,13.49421486701753,-2.0003753063852065e-05,0.017881301819799876,0.005254049854223768,10.927786611200894,-6.355295312570993e-05,-0.001989108776892387,-10.010406011557226,2.5664282558166356,33042
P,aligned,osi_target_t01h,E1_minus_E0,34177,0.019870410596692263,0.00563440396177144,13.49421486701753,-2.0003753063852065e-05,0.019880017683937108,0.005634132071147764,13.507266579115289,-4.288830190463736e-05,9.607087244845047e-06,0.04834871024983478,-0.01305171209775935,23962
OSI,C0_direct_osi,osi_target_t06h,E2_minus_E1,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t06h,E2_minus_E0,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.0,0.0,0.0,0
OSI,C0_direct_osi,osi_target_t06h,E1_minus_E0,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t06h,E2_minus_E1,32982,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t06h,E2_minus_E0,32982,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.0,0.0,0.0,0
OSI,C1_component_osi,osi_target_t06h,E1_minus_E0,32982,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.0,0.0,0.0,0
OSI,C2_equal_blend,osi_target_t06h,E2_minus_E1,32982,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.0,0.0,0.0,0
OSI,C2_equal_blend,osi_target_t06h,E2_minus_E0,32982,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.0,0.0,0.0,0
OSI,C2_equal_blend,osi_target_t06h,E1_minus_E0,32982,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.0,0.0,0.0,0
OSI,C3_aligned_component,osi_target_t06h,E2_minus_E1,32982,0.010866399917108627,0.003345800011090789,3.894469940582913,-0.0001834511842665933,0.01043484686574168,0.0032513279861607985,3.5912790121548,-0.00017562574910613557,-0.0004315530513669466,-3.971444587526063,0.3031909284281129,16259
OSI,C3_aligned_component,osi_target_t06h,E2_minus_E0,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.01043484686574168,0.0032513279861607985,3.5912790121548,-0.00017562574910613557,-0.0004357833606446031,-4.008814131004346,0.306223767139024,16261
OSI,C3_aligned_component,osi_target_t06h,E1_minus_E0,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.010866399917108627,0.003345800011090789,3.894469940582913,-0.0001834511842665933,-4.230309277656469e-06,-0.03891503242735572,0.00303283871091109,12568
OSI,v18_rule,osi_target_t06h,E2_minus_E1,32982,0.010866399917108627,0.003345800011090789,3.894469940582913,-0.0001834511842665933,0.01043484686574168,0.0032513279861607985,3.5912790121548,-0.00017562574910613557,-0.0004315530513669466,-3.971444587526063,0.3031909284281129,16259
