domain,mode,horizon,comparison,population,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,counties,replicates,seed,ci_low,ci_high,bootstrap_fraction_delta_lt0,bootstrap_fraction_delta_eq0
P,raw,osi_target_t01h,E1_minus_E0,all_counties,34177,0.020187707336074216,0.005728440992869132,13.928615138922677,-4.769085912853557e-06,0.020194894764766512,0.005708382193181658,13.93853491313691,-5.952458971489282e-05,7.1874286922957165e-06,0.0356029962820692,-0.009919774214234067,23962,239,2000,20260910,-7.087523508792249e-05,7.551779065796975e-05,0.3875,0.0
P,raw,osi_target_t01h,E1_minus_E0,exclude_Morrow,34034,0.01953301742904189,0.00561350525197761,12.985290494206673,0.00010765661193087805,0.019536262016715652,0.005593881615033654,12.989604770057982,5.6640590468593914e-05,3.2445876737632884e-06,0.01661078574035635,-0.004314275851308835,23819,238,2000,20260910,-7.635645355147676e-05,7.683510049517572e-05,0.4385,0.0
P,aligned,osi_target_t01h,E2_minus_E1,all_counties,34177,0.019880017683937108,0.005634132071147764,13.507266579115289,-4.288830190463736e-05,0.017881301819799876,0.005254049854223768,10.927786611200894,-6.355295312570993e-05,-0.001998715864137232,-10.05389379382785,2.579479967914395,33081,239,2000,20260910,-0.003988803587924529,-0.0005782643192060092,1.0,0.0
P,aligned,osi_target_t01h,E2_minus_E1,exclude_Morrow,34034,0.019230977480824106,0.005524520691352717,12.586811062336285,7.043892219548643e-05,0.01783665630076743,0.005207428582633915,10.827791446189739,-6.271765714499492e-05,-0.0013943211800566749,-7.250391621783148,1.7590196161465457,32938,238,2000,20260910,-0.002736879682907762,-0.0004185462715147394,1.0,0.0
P,aligned,osi_target_t01h,E2_minus_E0,all_counties,34177,0.019870410596692263,0.00563440396177144,13.49421486701753,-2.0003753063852065e-05,0.017881301819799876,0.005254049854223768,10.927786611200894,-6.355295312570993e-05,-0.001989108776892387,-10.010406011557226,2.5664282558166356,33042,239,2000,20260910,-0.003959415698511827,-0.0005797527673861167,1.0,0.0
P,aligned,osi_target_t01h,E2_minus_E0,exclude_Morrow,34034,0.019228702631295336,0.005525760080049162,12.583833428180675,9.208097292940814e-05,0.01783665630076743,0.005207428582633915,10.827791446189739,-6.271765714499492e-05,-0.0013920463305279046,-7.239418889667071,1.7560419819909363,32899,238,2000,20260910,-0.0027333114827357663,-0.00041984153721654534,1.0,0.0
P,aligned,osi_target_t01h,E1_minus_E0,all_counties,34177,0.019870410596692263,0.00563440396177144,13.49421486701753,-2.0003753063852065e-05,0.019880017683937108,0.005634132071147764,13.507266579115289,-4.288830190463736e-05,9.607087244845047e-06,0.04834871024983478,-0.01305171209775935,23962,239,2000,20260910,-3.5630355211725955e-05,5.284427378832112e-05,0.2955,0.0
P,aligned,osi_target_t01h,E1_minus_E0,exclude_Morrow,34034,0.019228702631295336,0.005525760080049162,12.583833428180675,9.208097292940814e-05,0.019230977480824106,0.005524520691352717,12.586811062336285,7.043892219548643e-05,2.274849528770273e-06,0.011830488891484414,-0.0029776341556093655,23819,238,2000,20260910,-4.145299369786373e-05,4.4113771186034075e-05,0.4305,0.0
OSI,v18_rule,osi_target_t06h,E2_minus_E1,all_counties,32982,0.010866399917108627,0.003345800011090789,3.894469940582913,-0.0001834511842665933,0.01043484686574168,0.0032513279861607985,3.5912790121548,-0.00017562574910613557,-0.0004315530513669466,-3.971444587526063,0.3031909284281129,16259,239,2000,20260910,-0.0008150819711642923,-0.00013684635976945285,0.9995,0.0
OSI,v18_rule,osi_target_t06h,E2_minus_E1,exclude_Morrow,32844,0.01073420180461699,0.003305786024252102,3.784387114826377,-0.0001407444036402569,0.010392187164884206,0.003222309814301264,3.547071665874555,-0.00015789127599915602,-0.00034201463973278397,-3.1862139911108867,0.2373154489518221,16121,238,2000,20260910,-0.0006676548632501961,-9.732698891345248e-05,1.0,0.0
OSI,v18_rule,osi_target_t06h,E2_minus_E0,all_counties,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.01043484686574168,0.0032513279861607985,3.5912790121548,-0.00017562574910613557,-0.0004357833606446031,-4.008814131004346,0.306223767139024,16261,239,2000,20260910,-0.0008168956785525476,-0.00013858415898898547,0.9995,0.0
OSI,v18_rule,osi_target_t06h,E2_minus_E0,exclude_Morrow,32844,0.010737054113727091,0.0033081393719993795,3.7863985687140147,-0.0001336901586613114,0.010392187164884206,0.003222309814301264,3.547071665874555,-0.00015789127599915602,-0.00034486694884288543,-3.211932669706674,0.2393269028394598,16123,238,2000,20260910,-0.0006655876098574355,-0.00010303782442886235,0.9995,0.0
OSI,v18_rule,osi_target_t06h,E1_minus_E0,all_counties,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.010866399917108627,0.003345800011090789,3.894469940582913,-0.0001834511842665933,-4.230309277656469e-06,-0.03891503242735572,0.00303283871091109,12568,239,2000,20260910,-1.688762550507571e-05,7.063945040082335e-06,0.746,0.0
OSI,v18_rule,osi_target_t06h,E1_minus_E0,exclude_Morrow,32844,0.010737054113727091,0.0033081393719993795,3.7863985687140147,-0.0001336901586613114,0.01073420180461699,0.003305786024252102,3.784387114826377,-0.0001407444036402569,-2.852309110101467e-06,-0.026565099513231605,0.002011453887637682,12430,238,2000,20260910,-1.508310447287521e-05,8.313389469294724e-06,0.6765,0.0
