case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
AB_P06,osi_target_t01h,144,215,False,17208,0.005979704263586204,0.0014633314120901092,0.6153040998797972,-2.6176285052151047e-05,0.0059590173365562235,2.0686927029980352e-05,0.3471533285039241,-0.0042499537599629544
AB_P06,osi_target_t01h,120,215,True,22944,0.006817160893200843,0.002158246368294487,1.0662921745790472,5.3836502822170766e-05,0.006814159182570262,3.0017106305811614e-06,0.04405107879279502,-0.0009388060351576133
AB_P06,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
AB_P06,osi_target_t06h,77,95,False,4302,0.01727585081495408,0.005946222831971463,1.283953501979124,-0.0003820100519784573,0.017794613880361264,-0.0005187630654071851,-2.9152813817427625,0.0782674121371052
AB_P06,osi_target_t06h,96,143,False,11472,0.009875218722320597,0.004501020415611724,1.1187488069024365,6.636038545905314e-05,0.009913980134395515,-3.8761412074917595e-05,-0.390977302248563,0.008799681248290447
AB_P06,osi_target_t06h,144,215,False,17208,0.005979704263586204,0.0014633314120901092,0.6153040998797972,-2.6176285052151047e-05,0.0059590173365562235,2.0686927029980352e-05,0.3471533285039241,-0.0042499537599629544
AB_P06,osi_target_t06h,120,215,True,22944,0.006817160893200843,0.002158246368294487,1.0662921745790472,5.3836502822170766e-05,0.006814159182570262,3.0017106305811614e-06,0.04405107879279502,-0.0009388060351576133
AB_P06,osi_target_t24h,73,76,False,0,,,0.0,,,,,0.0
AB_P06,osi_target_t24h,77,95,False,0,,,0.0,,,,,0.0
AB_P06,osi_target_t24h,96,143,False,11472,0.010448911534888689,0.004803986769980263,1.2525101179718037,-1.7868252912179263e-05,0.010448911534888689,0.0,0.0,0.0
AB_P06,osi_target_t24h,144,215,False,17208,0.0060355126760315994,0.0014941903020165234,0.626842927421756,-1.7504713933196572e-05,0.0060355126760315994,0.0,0.0,0.0
AB_P06,osi_target_t24h,120,215,True,22944,0.006980016740105945,0.0022268814762819306,1.117846219432901,2.5560926991132495e-05,0.006980016740105945,0.0,0.0,0.0
AB_P06,osi_target_t48h,73,76,False,0,,,0.0,,,,,0.0
AB_P06,osi_target_t48h,77,95,False,0,,,0.0,,,,,0.0
AB_P06,osi_target_t48h,96,143,False,5736,0.00938283107875312,0.004299297116050987,0.5049832092846549,5.000420655186036e-05,0.00938283107875312,0.0,0.0,0.0
AB_P06,osi_target_t48h,144,215,False,17208,0.006587280562215493,0.0016092500494186296,0.7466940996535261,-4.35851204502751e-06,0.006587280562215493,0.0,0.0,0.0
AB_P06,osi_target_t48h,120,215,True,22944,0.007386039443917857,0.0022817618160767186,1.2516773089381812,9.232167604194413e-06,0.007386039443917857,0.0,0.0,0.0
