model,horizon,severity,rmse,mae,n
C3_aligned_component,osi_target_t24h,0_to_0.01,0.004236218475056419,0.002476918873604934,13815
C3_aligned_component,osi_target_t24h,0.01_to_0.05,0.014249121835695868,0.01150716667155514,1763
C3_aligned_component,osi_target_t24h,above_0.05,0.06640762181885602,0.05350855320875863,311
C3_aligned_component,osi_target_t48h,zero,0.0019685683629758954,0.0005792089074294599,10947
C3_aligned_component,osi_target_t48h,0_to_0.01,0.0036719897711862655,0.0021092194287954413,10861
C3_aligned_component,osi_target_t48h,0.01_to_0.05,0.015122862403267616,0.012304492739787848,985
C3_aligned_component,osi_target_t48h,above_0.05,0.08261801640217308,0.07203484793301222,151
v18_rule,osi_target_t01h,zero,0.0020151169645773936,0.0006380069206535432,14503
v18_rule,osi_target_t01h,0_to_0.01,0.0045898208435992,0.0025496290011152905,16098
v18_rule,osi_target_t01h,0.01_to_0.05,0.01936183786632913,0.012531505684599724,2628
v18_rule,osi_target_t01h,above_0.05,0.06463223529779029,0.041298529430562385,948
v18_rule,osi_target_t06h,zero,0.0020220297094796945,0.0006388316856120521,14147
v18_rule,osi_target_t06h,0_to_0.01,0.004573735722934862,0.002546323524475776,15675
v18_rule,osi_target_t06h,0.01_to_0.05,0.01799970851022174,0.01247318946949955,2421
v18_rule,osi_target_t06h,above_0.05,0.06075056546406014,0.04232436190287073,739
v18_rule,osi_target_t24h,zero,0.002526063711168947,0.0007390206207206135,12791
v18_rule,osi_target_t24h,0_to_0.01,0.004723854806860338,0.0026786094612748345,13815
v18_rule,osi_target_t24h,0.01_to_0.05,0.014911006799815614,0.01203721179044173,1763
v18_rule,osi_target_t24h,above_0.05,0.06695267592816385,0.05500537007360763,311
v18_rule,osi_target_t48h,zero,0.002110234907004357,0.0005459587772646006,10947
v18_rule,osi_target_t48h,0_to_0.01,0.003691179018671388,0.0020841486841881333,10861
v18_rule,osi_target_t48h,0.01_to_0.05,0.015299025567613199,0.012469975874972008,985
v18_rule,osi_target_t48h,above_0.05,0.08150625979528248,0.071040109724872,151
