horizon,candidate,difference,ci_2_5,ci_97_5,improvement_probability,replicates,unit
osi_target_t48h,PD__tweedie_p15__quantile_q90,-1.6959041507217353e-05,-5.056843307603498e-05,1.3722939540432552e-05,0.856,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p17__dart_huber,9.226802248287966e-06,-3.0222376715426645e-05,4.251660976087868e-05,0.315,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p17__tweedie_p13,0.00012800266294378873,-4.689128050084778e-05,0.00027865639503760426,0.127,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p17__tweedie_p15,0.00015270025558644477,-4.709546203835e-05,0.00032369097848000016,0.126,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p17__tweedie_p17,-7.187789683596804e-07,-3.405813684065246e-05,2.455158972156307e-05,0.542,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p17__quantile_q50,0.00012914184825409906,-3.972137617892812e-05,0.00027660255848421746,0.1275,2000,county_full_trajectory
osi_target_t48h,PD__tweedie_p17__quantile_q90,0.0001315796181209387,-6.31461599567927e-05,0.00032432010801458237,0.1435,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q50__dart_huber,5.89617737147604e-06,-7.684437279587832e-06,1.95423152905417e-05,0.196,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q50__tweedie_p13,0.00011473993941884218,-3.409217643673527e-05,0.0002486053547389291,0.126,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q50__tweedie_p15,0.00014456698409422326,-2.8196246236863425e-05,0.00029609102703448794,0.114,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q50__tweedie_p17,0.00014394866442913202,-2.870819091887896e-05,0.00029596302940310007,0.1125,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q50__quantile_q50,0.0001246451062203724,-1.6727222961683053e-05,0.0002527207292504836,0.088,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q50__quantile_q90,0.00012756793520999135,-7.724262782605107e-06,0.00027704586321932156,0.0555,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q90__dart_huber,2.5707399559335084e-05,-2.530749342112982e-05,8.900431194964421e-05,0.1555,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q90__tweedie_p13,-7.502181558695972e-05,-0.0002918631748505059,0.00011191519702595576,0.686,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q90__tweedie_p15,-2.876994789716928e-05,-0.00019269386854480508,0.00013506588526095696,0.592,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q90__tweedie_p17,-2.253414689502419e-05,-0.00012919360833841151,8.848112958131269e-05,0.6335,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q90__quantile_q50,-7.39422066705353e-05,-0.0002716419423851043,9.97712279148027e-05,0.69,2000,county_full_trajectory
osi_target_t48h,PD__quantile_q90__quantile_q90,-4.121098777280438e-05,-0.000205429369969711,0.00013375781597165423,0.6035,2000,county_full_trajectory
