horizon,fipsCode,model,rmse,mae,n
osi_target_t24h,54007,v1.12+ExtraTrees+RandomForest,0.02407640693948697,0.013298380900253074,120
osi_target_t48h,54015,v1.8,0.05682917972781115,0.033666801254545235,96
osi_target_t48h,54015,v1.12,0.05685161672902959,0.033485883163331905,96
osi_target_t48h,54015,v1.12+ExtraTrees,0.056823582854544065,0.033370136429360424,96
osi_target_t48h,54015,v1.12+RandomForest,0.05684474387771327,0.03350813247363497,96
osi_target_t48h,54015,v1.12+ExtraTrees+RandomForest,0.05682355037410788,0.03336237551671766,96
osi_target_t48h,54013,v1.8,0.04885917021433294,0.030115509307758123,96
osi_target_t48h,54013,v1.12,0.0489543174872842,0.03015619808784818,96
osi_target_t48h,54013,v1.12+ExtraTrees,0.04895303562381823,0.030126384405629186,96
osi_target_t48h,54013,v1.12+RandomForest,0.0489313918470218,0.030159047537568335,96
osi_target_t48h,54013,v1.12+ExtraTrees+RandomForest,0.048951646668157135,0.030126385667596286,96
osi_target_t48h,39115,v1.8,0.038579679712529166,0.008569869132035305,96
osi_target_t48h,39115,v1.12,0.038580593801009366,0.008543447014187243,96
osi_target_t48h,39115,v1.12+ExtraTrees,0.03858348948988258,0.008593453973836892,96
osi_target_t48h,39115,v1.12+RandomForest,0.03857818364003891,0.00853272069543143,96
osi_target_t48h,39115,v1.12+ExtraTrees+RandomForest,0.03858326828608379,0.008591952524709087,96
osi_target_t48h,54007,v1.8,0.029218182809083806,0.017003976971440564,96
osi_target_t48h,54007,v1.12,0.029136875002200815,0.017046906333658563,96
osi_target_t48h,54007,v1.12+ExtraTrees,0.028967204424775902,0.016735723593582146,96
osi_target_t48h,54007,v1.12+RandomForest,0.029064758858339007,0.016847948941395133,96
osi_target_t48h,54007,v1.12+ExtraTrees+RandomForest,0.028970747491847422,0.016703286064950112,96
osi_target_t48h,54087,v1.8,0.010433115134378832,0.005864039531872339,96
osi_target_t48h,54087,v1.12,0.010343035889839588,0.005601988830353435,96
osi_target_t48h,54087,v1.12+ExtraTrees,0.010255219507592152,0.005358866182597881,96
osi_target_t48h,54087,v1.12+RandomForest,0.01039871335220824,0.005763944599160606,96
osi_target_t48h,54087,v1.12+ExtraTrees+RandomForest,0.010270798631928134,0.005419471213744881,96
osi_target_t48h,54085,v1.8,0.01584077978987401,0.008999437024304129,96
osi_target_t48h,54085,v1.12,0.015791596695641875,0.008653171731369846,96
osi_target_t48h,54085,v1.12+ExtraTrees,0.016216626100153397,0.00972810503975809,96
osi_target_t48h,54085,v1.12+RandomForest,0.01583392390450088,0.008770176330459147,96
osi_target_t48h,54085,v1.12+ExtraTrees+RandomForest,0.016216626100153397,0.00972810503975809,96
osi_target_t48h,39157,v1.8,0.018049954938222073,0.010117848945757691,96
osi_target_t48h,39157,v1.12,0.017421410356837284,0.009404948303400346,96
osi_target_t48h,39157,v1.12+ExtraTrees,0.01735457695049743,0.009322765250886142,96
osi_target_t48h,39157,v1.12+RandomForest,0.017454014672473227,0.00944958287042395,96
osi_target_t48h,39157,v1.12+ExtraTrees+RandomForest,0.017357649071754962,0.009326886633572687,96
osi_target_t48h,54059,v1.8,0.017282891707775135,0.009658198110715596,96
osi_target_t48h,54059,v1.12,0.016916736969574055,0.008752668122754562,96
osi_target_t48h,54059,v1.12+ExtraTrees,0.016509014135399215,0.008458536036719871,96
osi_target_t48h,54059,v1.12+RandomForest,0.016831344065160136,0.00869129967586816,96
osi_target_t48h,54059,v1.12+ExtraTrees+RandomForest,0.016509014135399215,0.008458536036719871,96
osi_target_t48h,39059,v1.8,0.004149680506736738,0.002280589139121402,96
osi_target_t48h,39059,v1.12,0.004155892279594868,0.002384454802324871,96
osi_target_t48h,39059,v1.12+ExtraTrees,0.004040088189501422,0.0021625450146081494,96
osi_target_t48h,39059,v1.12+RandomForest,0.004050294863214715,0.002193052822281007,96
osi_target_t48h,39059,v1.12+ExtraTrees+RandomForest,0.004029156485952931,0.002138342122127755,96
osi_target_t48h,18013,v1.8,0.017810812663826902,0.008885800696570976,96
osi_target_t48h,18013,v1.12,0.01747583983586428,0.007802916182388725,96
osi_target_t48h,18013,v1.12+ExtraTrees,0.01732516107931152,0.008304697195986593,96
osi_target_t48h,18013,v1.12+RandomForest,0.017447375727312364,0.007848112961236027,96
osi_target_t48h,18013,v1.12+ExtraTrees+RandomForest,0.01732516107931152,0.008304697195986593,96
