model,reference,horizon,metric,difference,change_pct,ci_2_5,ci_97_5,improvement_probability,replicates,unit
v18_rule,C1_component_osi,osi_target_t06h,rmse,-0.0001940339914184505,-1.826796183412649,-0.0003686944593067692,-3.901705108132924e-05,0.9925,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t06h,mae,-0.0001406023737126655,-4.099399060970477,-0.00021561682665317762,-7.27732012897421e-05,1.0,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t24h,rmse,-0.0001256004284634956,-1.4573686226426852,-0.00021189337947561342,-4.096244976034307e-05,0.997,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t24h,mae,-2.4538737373192183e-05,-0.8643458208012045,-6.525206063405536e-05,1.7262038728092085e-05,0.866,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t24h,rmse,-8.124449694064603e-05,-0.9426972666586098,-0.00012476739716565667,-3.9729572788504336e-05,1.0,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t24h,mae,-3.0827775892827616e-05,-1.0858692055880415,-5.11683053900829e-05,-1.0157050974364035e-05,0.999,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t24h,rmse,4.435593152284957e-05,0.5222829437273813,9.468815387557277e-07,8.843139934086819e-05,0.023,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t24h,mae,-6.289038519635432e-06,-0.22345480707315346,-2.8106351878727997e-05,1.4742609724725064e-05,0.7315,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t24h,rmse,-0.0001917134430280392,-2.2244920644443833,-0.0003411050462990674,-6.134708672148541e-05,0.9995,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t24h,mae,-8.73656672192415e-05,-3.077344534644122,-0.0001589549922612951,-1.580556250411622e-05,0.9905,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t24h,rmse,-6.61130145645436e-05,-0.7784685988991846,-0.00026328440353000197,0.00012074456416227363,0.774,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t24h,mae,-6.282692984604932e-05,-2.232293448977163,-0.0001240097944240449,-1.5729028380682699e-09,0.975,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t24h,rmse,-0.0001256004284634956,-1.4573686226426852,-0.00021189337947561342,-4.096244976034307e-05,0.997,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t24h,mae,-2.4538737373192183e-05,-0.8643458208012045,-6.525206063405536e-05,1.7262038728092085e-05,0.866,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t24h,rmse,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t24h,mae,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t48h,rmse,-5.21005052416439e-05,-0.6728460301250183,-0.0001348299080934852,1.968895663128899e-05,0.9235,2000,county_full_trajectory
C1_component_osi,C0_direct_osi,osi_target_t48h,mae,-1.6553797471256446e-05,-0.735215419930213,-5.768042376647929e-05,2.4180507417732756e-05,0.79,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t48h,rmse,-4.1018883495795924e-05,-0.5297336905333294,-8.413950715168222e-05,-6.189790260923532e-06,0.9915,2000,county_full_trajectory
C2_equal_blend,C0_direct_osi,osi_target_t48h,mae,-2.632278544468635e-05,-1.169092335945976,-4.640086336751342e-05,-6.5423880558780045e-06,0.9935,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t48h,rmse,1.1081621745847973e-05,0.14408178818361428,-2.612666961137563e-05,5.076404062198734e-05,0.2825,2000,county_full_trajectory
C2_equal_blend,C1_component_osi,osi_target_t48h,mae,-9.768987973429906e-06,-0.437090472569146,-3.160492753019143e-05,1.2221222858627537e-05,0.83,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t48h,rmse,-4.154632528258206e-06,-0.05365452773061774,-0.00029011655143940064,0.00022306491703579954,0.551,2000,county_full_trajectory
C3_aligned_component,C0_direct_osi,osi_target_t48h,mae,-3.4956695252990645e-05,-1.5525562291326733,-0.0001092522329256288,4.0042984632000093e-05,0.8145,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t48h,rmse,4.794587271338569e-05,0.6233859298759414,-0.0002085835517316886,0.00025894774769191303,0.3745,2000,county_full_trajectory
C3_aligned_component,C1_component_osi,osi_target_t48h,mae,-1.84028977817342e-05,-0.8233945327742798,-8.788968672979712e-05,4.897282933672769e-05,0.718,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t48h,rmse,-5.21005052416439e-05,-0.6728460301250183,-0.0001348299080934852,1.968895663128899e-05,0.9235,2000,county_full_trajectory
v18_rule,C0_direct_osi,osi_target_t48h,mae,-1.6553797471256446e-05,-0.735215419930213,-5.768042376647929e-05,2.4180507417732756e-05,0.79,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t48h,rmse,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
v18_rule,C1_component_osi,osi_target_t48h,mae,0.0,0.0,0.0,0.0,0.0,2000,county_full_trajectory
