model,horizon,fipsCode,rmse,mae,n
C1_component_osi,osi_target_t01h,18159,0.004155370485558892,0.0012412622558083681,143
C1_component_osi,osi_target_t01h,18161,0.0025022303004348253,0.001167909896206154,143
C1_component_osi,osi_target_t01h,18163,0.0006485883170795176,0.0003003887497802915,143
C1_component_osi,osi_target_t01h,18165,0.013846050682352042,0.0033155104565426507,143
C1_component_osi,osi_target_t01h,18167,0.0016184361812688667,0.0006609801991807547,143
C1_component_osi,osi_target_t01h,18169,0.0017186186896642197,0.0005934136847880583,143
C1_component_osi,osi_target_t01h,18171,0.004552789459112254,0.0018903981935014295,143
C1_component_osi,osi_target_t01h,18173,0.0015935536752758063,0.0006975137180335828,143
C1_component_osi,osi_target_t01h,18175,0.004371904863400123,0.0012918722405471476,143
C1_component_osi,osi_target_t01h,18177,0.0020495598140634185,0.0011559505240450103,143
C1_component_osi,osi_target_t01h,18179,0.004856707351764285,0.0015425559048521853,143
C1_component_osi,osi_target_t01h,18181,0.002017500222060176,0.0009287836669081955,143
C1_component_osi,osi_target_t01h,18183,0.0026158963102094414,0.0008813530532738186,143
C1_component_osi,osi_target_t01h,39017,0.0009293932247282882,0.000376272517044241,143
C1_component_osi,osi_target_t01h,39023,0.0035509734683926574,0.0020519149805463426,143
C1_component_osi,osi_target_t01h,39025,0.001890581834512262,0.0006240169454516033,143
C1_component_osi,osi_target_t01h,39027,0.0009567671746641628,0.0004591693257234134,143
C1_component_osi,osi_target_t01h,39029,0.009152501854251024,0.005266962593773108,143
C1_component_osi,osi_target_t01h,39031,0.012025108288308313,0.007773664770013955,143
C1_component_osi,osi_target_t01h,39033,0.005037426296866693,0.0026104835057208717,143
C1_component_osi,osi_target_t01h,39035,0.0059055192675595974,0.004113826505631789,143
C1_component_osi,osi_target_t01h,39037,0.002046303309928016,0.0010554745280482185,143
C1_component_osi,osi_target_t01h,39039,0.009367634930412268,0.0050674588777082485,143
C1_component_osi,osi_target_t01h,39045,0.0045063187775514196,0.002653222684942134,143
C1_component_osi,osi_target_t01h,39049,0.005834300299849978,0.0032841618406537123,143
C1_component_osi,osi_target_t01h,39051,0.0037492225532016307,0.0018835171084393373,143
C1_component_osi,osi_target_t01h,39053,0.002746727165285927,0.0009688104354276375,143
C1_component_osi,osi_target_t01h,39055,0.013194820771503562,0.005947370081226693,143
C1_component_osi,osi_target_t01h,39059,0.015731803286493578,0.009164136576229998,143
C1_component_osi,osi_target_t01h,39061,0.0010940954778512178,0.0005141882658538771,143
C1_component_osi,osi_target_t01h,39063,0.002119417256765885,0.0012693683604859509,143
C1_component_osi,osi_target_t01h,39065,0.003058107679203457,0.0016200332015386437,143
C1_component_osi,osi_target_t01h,39069,0.002625190384490361,0.0012817943431449662,143
C1_component_osi,osi_target_t01h,39073,0.00558618801716035,0.0039571918086761205,143
C1_component_osi,osi_target_t01h,39075,0.013624708596380106,0.007031322534351926,143
C1_component_osi,osi_target_t01h,39077,0.005353756318368609,0.003356574548130765,143
C1_component_osi,osi_target_t01h,39081,0.012001540523957318,0.006856865690072991,143
C1_component_osi,osi_target_t01h,39085,0.002502633057703753,0.0013215666268004186,143
C1_component_osi,osi_target_t01h,39087,0.0036305016274807644,0.0012406938057581496,143
C1_component_osi,osi_target_t01h,39089,0.025444037093776864,0.011454231345488982,143
C1_component_osi,osi_target_t01h,39091,0.01393714851490868,0.00972302412761259,143
C1_component_osi,osi_target_t01h,39093,0.0033235425364896887,0.0016567728208496007,143
C1_component_osi,osi_target_t01h,39095,0.002539588131549681,0.001650053961657814,143
C1_component_osi,osi_target_t01h,39097,0.00950870186058926,0.003658892679525944,143
C1_component_osi,osi_target_t01h,39099,0.0024780518006433006,0.0014721010571034669,143
C1_component_osi,osi_target_t01h,39101,0.00692368790832625,0.00525760041653557,143
C1_component_osi,osi_target_t01h,39103,0.005981167322865969,0.004101315156746657,143
C1_component_osi,osi_target_t01h,39105,0.003638374386690717,0.0017198266525468185,143
C1_component_osi,osi_target_t01h,39107,0.02500106509944241,0.013290124299831233,143
C1_component_osi,osi_target_t01h,39109,0.001886673523206657,0.0011879074718959919,143
C1_component_osi,osi_target_t01h,39111,0.02648350867823349,0.013711322322127765,143
C1_component_osi,osi_target_t01h,39113,0.0012668128848274977,0.0006648069625167774,143
C1_component_osi,osi_target_t01h,39115,0.031714005326917906,0.006830641945017594,143
C1_component_osi,osi_target_t01h,39117,0.05047569904377676,0.02022871356916753,143
C1_component_osi,osi_target_t01h,39119,0.0266643202895239,0.01837009441322718,143
C1_component_osi,osi_target_t01h,39121,0.00800200741580256,0.004749316924208268,143
C1_component_osi,osi_target_t01h,39123,0.0016405374036857789,0.0007044475543043989,143
C1_component_osi,osi_target_t01h,39125,0.022121416777718603,0.013072735271005205,143
C1_component_osi,osi_target_t01h,39127,0.01157378630665747,0.0068038191950862284,143
C1_component_osi,osi_target_t01h,39129,0.001118234013282327,0.0005507759502786064,143
C1_component_osi,osi_target_t01h,39131,0.005528372134427554,0.0021822299982937185,143
C1_component_osi,osi_target_t01h,39133,0.006081428850076918,0.0036836781949184686,143
C1_component_osi,osi_target_t01h,39135,0.005542506339597779,0.002730734637688036,143
C1_component_osi,osi_target_t01h,39137,0.013475008254424157,0.006414509057521897,143
C1_component_osi,osi_target_t01h,39139,0.01314202982624076,0.009516578779606788,143
C1_component_osi,osi_target_t01h,39141,0.0023190137630893616,0.0013486068315390735,143
C1_component_osi,osi_target_t01h,39143,0.002004956559775966,0.0013031984371887077,143
C1_component_osi,osi_target_t01h,39145,0.0019232144667353545,0.00105107296965767,143
C1_component_osi,osi_target_t01h,39147,0.002431656774250735,0.0014761909761210328,143
C1_component_osi,osi_target_t01h,39149,0.015485707680224656,0.009162988364389682,143
C1_component_osi,osi_target_t01h,39151,0.0028159034360669016,0.0015294519258454626,143
C1_component_osi,osi_target_t01h,39153,0.006092628963641542,0.0025779776203405185,143
C1_component_osi,osi_target_t01h,39155,0.0042774391271251325,0.0016015227106890657,143
C1_component_osi,osi_target_t01h,39157,0.020820057275149503,0.01482557234401839,143
C1_component_osi,osi_target_t01h,39159,0.006096403825230787,0.0037250125777411585,143
C1_component_osi,osi_target_t01h,39161,0.00632213412742936,0.003523937336704589,143
C1_component_osi,osi_target_t01h,39163,0.0032013600793159777,0.0020579009143491104,143
C1_component_osi,osi_target_t01h,39165,0.0008869200047056187,0.00047406881011406905,143
C1_component_osi,osi_target_t01h,39167,0.0030576300617060808,0.0011436043489991793,143
