horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
osi_target_t24h,v18_rule,1,5640,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.008926834627565224,0.0029095390774955274,0.4494424432789421,-0.0005011371074237945,0.0,0.0,0.0,0
osi_target_t24h,v18_rule,2,5760,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.012860189555137309,0.0038187202582121555,0.9526145782698012,-0.0010054195428662632,0.0,0.0,0.0,0
osi_target_t24h,v18_rule,3,5760,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0061831058424843465,0.002799674455534234,0.220209395669937,0.0010566893098766035,0.0,0.0,0.0,0
osi_target_t24h,v18_rule,4,5760,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.007428758397301128,0.0024404211477509086,0.31787395963471893,-0.0004080801392518454,0.0,0.0,0.0,0
osi_target_t48h,C0_direct_osi,0,4608,0.0036774118451942373,0.0016149660760127298,0.06231563310723787,0.000441019351508009,0.0036774118451942373,0.0016149660760127298,0.06231563310723787,0.000441019351508009,0.0,0.0,0.0,0
osi_target_t48h,C0_direct_osi,1,4512,0.00594366138854726,0.0020201939519751398,0.1593959234861044,-0.00021767860471349354,0.00594366138854726,0.0020201939519751398,0.1593959234861044,-0.00021767860471349354,0.0,0.0,0.0,0
osi_target_t48h,C0_direct_osi,2,4608,0.013077202883190234,0.0033073870088538345,0.7880289880233322,-0.0012012074589748992,0.013077202883190234,0.0033073870088538345,0.7880289880233322,-0.0012012074589748992,0.0,0.0,0.0,0
osi_target_t48h,C0_direct_osi,3,4608,0.005399498017072436,0.0021660467441663085,0.13434429927798913,0.0004545765973349861,0.005399498017072436,0.0021660467441663085,0.13434429927798913,0.0004545765973349861,0.0,0.0,0.0,0
osi_target_t48h,C0_direct_osi,4,4608,0.007089587212200471,0.0021443733353471548,0.23160843343593882,-0.00029329510324962,0.007089587212200471,0.0021443733353471548,0.23160843343593882,-0.00029329510324962,0.0,0.0,0.0,0
osi_target_t48h,C1_component_osi,0,4608,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0036632306388987446,0.0015956445257807718,0.06183594415303605,0.0004560453424232713,0.0,0.0,0.0,0
osi_target_t48h,C1_component_osi,1,4512,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.005855181393125153,0.0019970723373512436,0.15468556894855234,-0.00027187300705922685,0.0,0.0,0.0,0
osi_target_t48h,C1_component_osi,2,4608,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.013066410316828946,0.0032591786642496433,0.7867288100401179,-0.001280845725181886,0.0,0.0,0.0,0
osi_target_t48h,C1_component_osi,3,4608,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0053724652793763,0.002168728024357481,0.13300246968470258,0.0005056889175742389,0.0,0.0,0.0,0
osi_target_t48h,C1_component_osi,4,4608,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.006925166870368426,0.0021494377477357354,0.22099016992872228,-0.00019436995091425306,0.0,0.0,0.0,0
