config,horizon,rank,feature,importance
RF,osi_target_t24h,144,tp_t,0.00013198451583050592
RF,osi_target_t24h,145,gust_gt30_next_6h,0.0001089392525740761
RF,osi_target_t24h,146,is_snowing,9.2732096529429e-05
RF,osi_target_t24h,147,sdwe_t,6.628393033961228e-05
RF,osi_target_t24h,148,gust_gt30_frac_next_1h,3.37897012311297e-05
RF,osi_target_t24h,149,gust_gt30_next_1h,3.259571078519254e-05
RF,osi_target_t24h,150,gust_gt40_next_1h,1.9431062714283603e-05
RF,osi_target_t24h,151,window_len_next_48h,4.065220516438087e-06
RF,osi_target_t24h,152,has_weather_at_t48h,3.535045055719857e-06
RF,osi_target_t24h,153,icing_risk_t,1.0058572381480453e-06
RF,osi_target_t24h,154,is_full_next_48h,2.7146882489365894e-07
RF,osi_target_t24h,155,window_len_next_6h,0.0
RF,osi_target_t24h,156,has_weather_at_t1h,0.0
RF,osi_target_t24h,157,is_full_next_24h,0.0
RF,osi_target_t24h,158,is_full_next_6h,0.0
RF,osi_target_t24h,159,is_full_next_1h,0.0
RF,osi_target_t24h,160,window_len_next_1h,0.0
RF,osi_target_t24h,161,has_weather_at_t24h,0.0
RF,osi_target_t24h,162,has_weather_at_t6h,0.0
RF,osi_target_t24h,163,window_len_next_24h,0.0
RF,osi_target_t48h,1,pct_forest,0.14614783754442467
RF,osi_target_t48h,2,gust_mean_next_48h,0.13825944957719086
RF,osi_target_t48h,3,gust_gt30_next_24h,0.04289578568519411
RF,osi_target_t48h,4,gust_gt30_frac_next_24h,0.03955804809358442
RF,osi_target_t48h,5,wind_speed_max_next_24h,0.03207281535770666
RF,osi_target_t48h,6,log_customers,0.025327516167870576
RF,osi_target_t48h,7,cumul_gust_since_onset,0.02473379560129174
RF,osi_target_t48h,8,pct_forest_classified,0.022930066446510945
RF,osi_target_t48h,9,osi_trend_last6h,0.019770763215204955
RF,osi_target_t48h,10,min_t2m_next_24h,0.018006710503868307
RF,osi_target_t48h,11,last_P_t,0.015814527884580872
RF,osi_target_t48h,12,last_outage_pct,0.01513842455375789
RF,osi_target_t48h,13,tree_canopy_pct,0.015043723540562735
RF,osi_target_t48h,14,pct_wetland,0.014662522256260193
RF,osi_target_t48h,15,gust_peak4h_mean_next_24h,0.014565939253049548
RF,osi_target_t48h,16,hours_since_obs,0.014284974792991439
RF,osi_target_t48h,17,sp_t,0.014247451251514116
RF,osi_target_t48h,18,pct_unmapped,0.01416109797169196
RF,osi_target_t48h,19,pressure_change_6h,0.012461546353139272
RF,osi_target_t48h,20,gust_x_hso,0.011962665460929367
RF,osi_target_t48h,21,gust_max_next_24h,0.011798217434877023
RF,osi_target_t48h,22,total_tp_next_48h,0.011427577999962668
RF,osi_target_t48h,23,tp_rate_next_48h,0.011416187082537266
RF,osi_target_t48h,24,gust_gt30_frac_next_48h,0.011033296455078457
RF,osi_target_t48h,25,last_osi,0.010377975469946392
RF,osi_target_t48h,26,gust_gt30_next_48h,0.010227590178959117
RF,osi_target_t48h,27,last_D_t,0.009479405484023528
RF,osi_target_t48h,28,t2m_at_t48h,0.009446359639643727
RF,osi_target_t48h,29,min_t2m_next_48h,0.009328015706647834
RF,osi_target_t48h,30,blh_t,0.009077381783530576
RF,osi_target_t48h,31,min_t2m_next_6h,0.00847378181575067
RF,osi_target_t48h,32,t2m_at_t6h,0.007743715390643893
RF,osi_target_t48h,33,pressure_change_3h,0.007701804036725832
RF,osi_target_t48h,34,soil_moist_t,0.007623040101065339
RF,osi_target_t48h,35,gust_mean_next_24h,0.007416420057667303
RF,osi_target_t48h,36,mslma_t,0.007294771753650742
RF,osi_target_t48h,37,frac_zero_72h,0.007063373685579805
RF,osi_target_t48h,38,pop_density,0.0054931196963138714
RF,osi_target_t48h,39,wind_sin_t,0.005401607740031379
RF,osi_target_t48h,40,forest_x_customers,0.005351876256866499
RF,osi_target_t48h,41,t2m_at_t24h,0.005307748335936054
RF,osi_target_t48h,42,last_N_t,0.005301447087116421
RF,osi_target_t48h,43,temp_change_6h,0.004992392711275612
RF,osi_target_t48h,44,vpd_t,0.004932350884639775
RF,osi_target_t48h,45,wind_speed_at_t48h,0.004708306553979321
RF,osi_target_t48h,46,gust_last_obs,0.004560522403492131
RF,osi_target_t48h,47,gust_gt30_obs,0.004517551812314776
RF,osi_target_t48h,48,tree_canopy_std,0.0038202215161781327
RF,osi_target_t48h,49,storm_onset_mean_osi,0.0037980229452230355
RF,osi_target_t48h,50,gust_peak4h_mean_next_48h,0.0035499838616201095
RF,osi_target_t48h,51,min_t2m_next_1h,0.0034549221066730307
RF,osi_target_t48h,52,cumul_tp_since_onset,0.0034507547992386916
RF,osi_target_t48h,53,outage_pct_mean_72h,0.0034241630725829965
RF,osi_target_t48h,54,pct_agriculture,0.003335441756140473
RF,osi_target_t48h,55,t2m_at_t1h,0.0031759525844085473
RF,osi_target_t48h,56,pct_developed,0.00303677134530488
RF,osi_target_t48h,57,gust_gt30_since_onset,0.0029906698040913027
RF,osi_target_t48h,58,wind_speed_max_next_48h,0.0026327636240361186
RF,osi_target_t48h,59,wind_speed_max_next_6h,0.0026054655414725655
RF,osi_target_t48h,60,dewpoint_c_t,0.002491886736603993
RF,osi_target_t48h,61,diffuse_rad_t,0.002481910624465814
RF,osi_target_t48h,62,r2_t,0.0024686310183301636
RF,osi_target_t48h,63,d2m_t,0.0023404324792322107
RF,osi_target_t48h,64,pct_water,0.0023155275840346704
RF,osi_target_t48h,65,gust_trend_last6h_obs,0.0022778206528831393
RF,osi_target_t48h,66,osi_mean_72h,0.0022704262957503503
RF,osi_target_t48h,67,hours_since_peak,0.0021546836236247128
RF,osi_target_t48h,68,et0_t,0.0020585613257982777
RF,osi_target_t48h,69,gust_max_next_48h,0.0020213351959666873
RF,osi_target_t48h,70,last_R_t,0.0020094555509238637
RF,osi_target_t48h,71,gust_max_last6h_obs,0.001999316851793216
RF,osi_target_t48h,72,t2m_t,0.001993670435763544
RF,osi_target_t48h,73,wind_speed_at_t6h,0.001973524941258526
RF,osi_target_t48h,74,temp_c_t,0.001971773434422365
RF,osi_target_t48h,75,gust_gt40_next_24h,0.0019100232668543046
RF,osi_target_t48h,76,gust_at_t6h,0.0018953699693076552
RF,osi_target_t48h,77,pre_event_mean_osi,0.0018707387744411866
RF,osi_target_t48h,78,hour_sin,0.0018632405930806147
RF,osi_target_t48h,79,pre_event_max_outage_pct,0.0018454722797039834
RF,osi_target_t48h,80,gust_max_obs,0.0017325237318236888
RF,osi_target_t48h,81,storm_onset_max_osi,0.0017238053322296593
RF,osi_target_t48h,82,N_t_mean_72h,0.0016481597839120427
RF,osi_target_t48h,83,gust_at_t24h,0.0016397964102108883
RF,osi_target_t48h,84,gust_at_t48h,0.0016033990101700698
RF,osi_target_t48h,85,outage_pct_max_72h,0.0015570046649686735
RF,osi_target_t48h,86,rural_urban_code,0.0015483872070786609
RF,osi_target_t48h,87,wind_speed_at_t24h,0.001518680836278192
RF,osi_target_t48h,88,hour_cos,0.0015153258116956394
RF,osi_target_t48h,89,osi_std_72h,0.001512320201781165
RF,osi_target_t48h,90,wind_cos_t,0.001503023109518259
RF,osi_target_t48h,91,tp_at_t6h,0.0014877375093539725
RF,osi_target_t48h,92,gust_gt40_next_48h,0.0014526332092370787
RF,osi_target_t48h,93,cumul_gust_obs,0.0014490528070823824
RF,osi_target_t48h,94,gust_mean_obs,0.0013601293544555388
RF,osi_target_t48h,95,gust_change_3h,0.0013454313418523273
RF,osi_target_t48h,96,gust_max_next_6h,0.001329934823339991
RF,osi_target_t48h,97,n_utilities,0.0013234758889724711
RF,osi_target_t48h,98,tp_rate_next_24h,0.0012710893325789704
RF,osi_target_t48h,99,gust_mean_next_6h,0.0012599999136124237
RF,osi_target_t48h,100,R_t_mean_72h,0.0012520180807875075
RF,osi_target_t48h,101,N_t_max_72h,0.001202111395980553
RF,osi_target_t48h,102,wind_speed_max_next_1h,0.0011953484218472257
RF,osi_target_t48h,103,gust_peak4h_mean_next_6h,0.0011927655710352526
RF,osi_target_t48h,104,gust_peak4h_mean_next_1h,0.0011874663437664275
RF,osi_target_t48h,105,soil_moist_x_gust,0.001172639205897056
RF,osi_target_t48h,106,R_t_max_72h,0.0011570400697475055
RF,osi_target_t48h,107,hour_of_day,0.0011422011101800327
RF,osi_target_t48h,108,total_tp_next_24h,0.0011192277638932097
RF,osi_target_t48h,109,soil_gust_x_phase,0.001052753281516175
RF,osi_target_t48h,110,gust_mean_next_1h,0.0010342780277575734
RF,osi_target_t48h,111,gust_max_next_1h,0.0010229512377275746
RF,osi_target_t48h,112,gust_at_t1h,0.0009989549276595577
RF,osi_target_t48h,113,gust_gt40_obs,0.0009955865370130683
RF,osi_target_t48h,114,mcc_t,0.0008785510054950295
RF,osi_target_t48h,115,osi_max_72h,0.0008771272824934682
RF,osi_target_t48h,116,wind_speed_t,0.0008275236521789896
RF,osi_target_t48h,117,tp_at_t48h,0.0007834193578278231
RF,osi_target_t48h,118,lcc_t,0.0007767921155964837
RF,osi_target_t48h,119,wind_speed_at_t1h,0.0007572447907922517
RF,osi_target_t48h,120,sdswrf_t,0.0007272941803334162
RF,osi_target_t48h,121,gust_t,0.0006634120204765052
RF,osi_target_t48h,122,hcc_t,0.0006458352186466275
RF,osi_target_t48h,123,direct_rad_t,0.0006160248481912602
RF,osi_target_t48h,124,wind_change_1h,0.0005299403050943116
RF,osi_target_t48h,125,gust_change_1h,0.0005123967791909429
RF,osi_target_t48h,126,tcc_t,0.00048609415503467283
RF,osi_target_t48h,127,gust_exceed30_x_hso,0.0004520879441558138
RF,osi_target_t48h,128,gust_gt30_frac_next_6h,0.00043147606966058755
RF,osi_target_t48h,129,tp_at_t24h,0.0004300828604511188
RF,osi_target_t48h,130,gust_gt30_next_6h,0.0004218607520582985
