horizon,model,rmse,mae,n,fipsCode
osi_target_t24h,v1.8_rule,0.005074800286998218,0.0014982234197219377,120,18179
osi_target_t24h,v1.12,0.004944395665274879,0.001481177716875757,120,18179
osi_target_t24h,RF,0.005011146854980126,0.0015329432623244243,120,18179
osi_target_t24h,v1.8_rule,0.001899885896791115,0.0007541373987161959,120,18181
osi_target_t24h,v1.12,0.001821061535325833,0.0007644629660840763,120,18181
osi_target_t24h,RF,0.0007472132872454372,0.00033860130753009244,120,18181
osi_target_t24h,v1.8_rule,0.0035397551248147942,0.0024290079839199385,120,18183
osi_target_t24h,v1.12,0.0031131596375259377,0.0008069656447503716,120,18183
osi_target_t24h,RF,0.0031334014904726686,0.0007524769903696426,120,18183
osi_target_t24h,v1.8_rule,0.001997274079568142,0.001918491788361989,120,39017
osi_target_t24h,v1.12,0.0007866527080549752,0.0003111018906882013,120,39017
osi_target_t24h,RF,0.000993663851739871,0.00044549579256479495,120,39017
osi_target_t24h,v1.8_rule,0.0014357527241399884,0.0012903134284757355,120,39023
osi_target_t24h,v1.12,0.000969904483906558,0.0006712577875169073,120,39023
osi_target_t24h,RF,0.0018476833025531927,0.0010925372351431567,120,39023
osi_target_t24h,v1.8_rule,0.0025982922574956423,0.0021538368580080645,120,39025
osi_target_t24h,v1.12,0.0018142627252951116,0.0007097305399032722,120,39025
osi_target_t24h,RF,0.0018424932805051278,0.0007052587776736455,120,39025
osi_target_t24h,v1.8_rule,0.001376918251153926,0.000594080563384775,120,39027
osi_target_t24h,v1.12,0.0012823006122481412,0.0005794334870776387,120,39027
osi_target_t24h,RF,0.0014698907507576622,0.0007155462471751969,120,39027
osi_target_t24h,v1.8_rule,0.003216054891936575,0.0018798720194522225,120,39029
osi_target_t24h,v1.12,0.0034284501605387828,0.001983877005776643,120,39029
osi_target_t24h,RF,0.00415033232807833,0.0024505620967568615,120,39029
osi_target_t24h,v1.8_rule,0.01133899273463197,0.006626198297220326,120,39031
osi_target_t24h,v1.12,0.011450339704887819,0.006875998534079448,120,39031
osi_target_t24h,RF,0.013906181997702381,0.008376976224956636,120,39031
osi_target_t24h,v1.8_rule,0.003932788919546881,0.002248235575125072,120,39033
osi_target_t24h,v1.12,0.0023540173479370346,0.001309162713071998,120,39033
osi_target_t24h,RF,0.005933851921921356,0.0034815376961077,120,39033
