case,reference,pair,horizon,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NR_both,N_only,NR_both_minus_N_only,1,2,6864,0.01248993205515097,1.070773036423063,0.0038177612366262505,-0.0006175070334540416,0.012486959546675882,2.9725084750870795e-06,0.023804901937696243,-0.000509610966786811
NR_both,N_only,NR_both_minus_N_only,1,3,6864,0.015254277233817441,1.5972045730291697,0.0035092262019102696,0.0002971825451966061,0.015257302729196249,-3.025495378807669e-06,-0.01982981810421114,0.0006336339896391152
NR_both,N_only,NR_both_minus_N_only,1,4,6864,0.008140105208570659,0.4548176511044968,0.0028773845153557717,1.6517837571461773e-05,0.008137987812483236,2.117396087422674e-06,0.026018668695648728,-0.00023658265813009116
NR_both,R_only,NR_both_minus_R_only,1,0,6864,0.006473099258331619,0.28760856015237646,0.0026264596322727604,0.00014366082970502606,0.006481289856979706,-8.190598648087632e-06,-0.12637297249199486,0.0007282992423540691
NR_both,R_only,NR_both_minus_R_only,1,1,6721,0.009466780915493838,0.602335622802062,0.0032718324826525747,-0.000504835953935515,0.0094813027740753,-1.4521858581462849e-05,-0.15316311405190186,0.0018493597138151685
NR_both,R_only,NR_both_minus_R_only,1,2,6864,0.01248993205515097,1.070773036423063,0.0038177612366262505,-0.0006175070334540416,0.0124923345264891,-2.402471338130291e-06,-0.01923156422873884,0.0004119716475656787
NR_both,R_only,NR_both_minus_R_only,1,3,6864,0.015254277233817441,1.5972045730291697,0.0035092262019102696,0.0002971825451966061,0.01526047717078924,-6.1999369717988945e-06,-0.04062741225200339,0.0012985970987828832
NR_both,R_only,NR_both_minus_R_only,1,4,6864,0.008140105208570659,0.4548176511044968,0.0028773845153557717,1.6517837571461773e-05,0.008139783856430232,3.2135214042723625e-07,0.003947919823121815,-3.59095458800085e-05
N_only,B0,N_only_minus_B0,6,0,6624,0.006381545708401867,0.2697566081626693,0.0025476603665098158,0.0001429165381172188,0.006388329605056966,-6.783896655098917e-06,-0.10619202631199087,0.0005738339035512019
N_only,B0,N_only_minus_B0,6,1,6486,0.009173692503990681,0.5458399291473275,0.0031507314438550854,-0.00046136175683795855,0.009175530588236936,-1.8380842462546038e-06,-0.020032457290386496,0.00021875603247889508
N_only,B0,N_only_minus_B0,6,2,6624,0.012544097619007986,1.0423154467381368,0.003762448416465216,-0.0007556608205743379,0.012539288368735009,4.809250272977406e-06,0.038353454610451365,-0.0007990682287395412
N_only,B0,N_only_minus_B0,6,3,6624,0.012019065281509393,0.956889329917606,0.003231742301685284,0.00044552207482875404,0.012031875504081455,-1.2810222572061727e-05,-0.10646904190220186,0.002040840519612508
N_only,B0,N_only_minus_B0,6,4,6624,0.007982726131215074,0.42210722280315793,0.0027823787765082035,4.687405020874247e-05,0.007978413080888645,4.3130503264293685e-06,0.05405899998787156,-0.00045600408686763405
