case,horizon,mode,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t24h,C3_aligned_component,28680,0.008341538528872173,0.002698107787750807,1.9955906810219377,-8.386054931826633e-05,0.008341538528872173,0.0,0.0,0.0
B0,osi_target_t24h,v18_rule,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
B0,osi_target_t48h,C0_direct_osi,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.0,0.0,0.0
B0,osi_target_t48h,C1_component_osi,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
B0,osi_target_t48h,C2_equal_blend,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.0,0.0,0.0
B0,osi_target_t48h,C3_aligned_component,22944,0.007719715877085945,0.002202999203899708,1.3673250393869707,-0.00012206482314400291,0.007719715877085945,0.0,0.0,0.0
B0,osi_target_t48h,v18_rule,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P06,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.0,0.0,0.0
NB_P06,osi_target_t01h,C1_component_osi,34177,0.01099408271972475,0.003278457649174449,4.130969029145235,-0.00010064466718107809,0.01099408271972475,0.0,0.0,0.0
NB_P06,osi_target_t01h,C2_equal_blend,34177,0.011319898969309572,0.003364610377481295,4.379444630906323,-0.0001314229386326237,0.011319898969309572,0.0,0.0,0.0
NB_P06,osi_target_t01h,C3_aligned_component,34177,0.010839305194285513,0.0032122365598017885,4.0154740862911975,-0.00013042578517183533,0.010853078422434704,-1.3773228149190422e-05,-0.12690618839277246,0.010211204078508729
NB_P06,osi_target_t01h,v18_rule,34177,0.010839305194285513,0.0032122365598017885,4.0154740862911975,-0.00013042578517183533,0.010853078422434704,-1.3773228149190422e-05,-0.12690618839277246,0.010211204078508729
NB_P06,osi_target_t06h,C0_direct_osi,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.0,0.0,0.0
NB_P06,osi_target_t06h,C1_component_osi,32982,0.010025061197763934,0.003158506615860753,3.3147520832877575,-7.984058305191959e-05,0.010109519599414293,-8.44584016503596e-05,-0.8354343727198787,0.05608702927576292
NB_P06,osi_target_t06h,C2_equal_blend,32982,0.010248407625047458,0.003251400198279762,3.4640948045620346,-4.831531964402892e-05,0.010279677323357887,-3.1269698310429014e-05,-0.30418949279056307,0.021171377440089234
NB_P06,osi_target_t06h,C3_aligned_component,32982,0.00990749362850867,0.003084875229086204,3.2374613382250357,-0.00011488102553104586,0.009923105829220319,-1.5612200711648608e-05,-0.1573317969226551,0.010211204078508729
NB_P06,osi_target_t06h,v18_rule,32982,0.00990749362850867,0.003084875229086204,3.2374613382250357,-0.00011488102553104586,0.009923105829220319,-1.5612200711648608e-05,-0.1573317969226551,0.010211204078508729
NB_P06,osi_target_t24h,C0_direct_osi,28680,0.00861830195271674,0.0028389953167640646,2.13021068676241,-8.851748810857948e-05,0.00861830195271674,0.0,0.0,0.0
NB_P06,osi_target_t24h,C1_component_osi,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
NB_P06,osi_target_t24h,C2_equal_blend,28680,0.0085370574557761,0.002808167540871237,2.090237118092415,-9.551377495420408e-05,0.0085370574557761,0.0,0.0,0.0
NB_P06,osi_target_t24h,C3_aligned_component,28680,0.008318525292783756,0.0026689633897363113,1.9845947121788703,-9.475301821704367e-05,0.008341538528872173,-2.3013236088416725e-05,-0.2758871880620406,0.010995968843067416
NB_P06,osi_target_t24h,v18_rule,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
NB_P06,osi_target_t48h,C0_direct_osi,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.0,0.0,0.0
NB_P06,osi_target_t48h,C1_component_osi,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P06,osi_target_t48h,C2_equal_blend,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.0,0.0,0.0
NB_P06,osi_target_t48h,C3_aligned_component,22944,0.007728426516950017,0.0021889333147577256,1.3704124575616496,-0.00013633622258188668,0.007719715877085945,8.710639864071765e-06,0.11283627535991769,-0.0030874181746789464
NB_P06,osi_target_t48h,v18_rule,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P24,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.0,0.0,0.0
NB_P24,osi_target_t01h,C1_component_osi,34177,0.01099408271972475,0.003278457649174449,4.130969029145235,-0.00010064466718107809,0.01099408271972475,0.0,0.0,0.0
NB_P24,osi_target_t01h,C2_equal_blend,34177,0.011319898969309572,0.003364610377481295,4.379444630906323,-0.0001314229386326237,0.011319898969309572,0.0,0.0,0.0
NB_P24,osi_target_t01h,C3_aligned_component,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,-0.0001234873431378002,0.010853078422434704,-1.2389131033605644e-05,-0.11415315131231285,0.00918564739461214
NB_P24,osi_target_t01h,v18_rule,34177,0.010840689291401098,0.003227290776446228,4.016499642975094,-0.0001234873431378002,0.010853078422434704,-1.2389131033605644e-05,-0.11415315131231285,0.00918564739461214
NB_P24,osi_target_t06h,C0_direct_osi,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.0,0.0,0.0
NB_P24,osi_target_t06h,C1_component_osi,32982,0.010109519599414293,0.003250413710500381,3.3708391125635204,-4.116579609706818e-05,0.010109519599414293,0.0,0.0,0.0
NB_P24,osi_target_t06h,C2_equal_blend,32982,0.010279677323357887,0.00329414557036995,3.485266182002124,-2.951528418216472e-05,0.010279677323357887,0.0,0.0,0.0
NB_P24,osi_target_t06h,C3_aligned_component,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,-0.00010769119066969052,0.009923105829220319,-1.4043086719851827e-05,-0.1415190663239696,0.009185647394611696
NB_P24,osi_target_t06h,v18_rule,32982,0.009909062742500467,0.003100474888362688,3.2384868949089327,-0.00010769119066969052,0.009923105829220319,-1.4043086719851827e-05,-0.1415190663239696,0.009185647394611696
NB_P24,osi_target_t24h,C0_direct_osi,28680,0.00861830195271674,0.0028389953167640646,2.13021068676241,-8.851748810857948e-05,0.00861830195271674,0.0,0.0,0.0
NB_P24,osi_target_t24h,C1_component_osi,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,-9.257391647402344e-05,0.008492701524253245,-5.796492783256661e-05,-0.6825263747587518,0.028140750869300568
NB_P24,osi_target_t24h,C2_equal_blend,28680,0.008498369961264574,0.0027820845436543028,2.0713353345176695,-0.00010285886097246099,0.0085370574557761,-3.868749451152627e-05,-0.45317130301554265,0.01890178357474559
NB_P24,osi_target_t24h,C3_aligned_component,28680,0.00832231845317753,0.002684194973830968,1.9864050336273262,-8.727009176011457e-05,0.008341538528872173,-1.9220075694641875e-05,-0.230414037268023,0.009185647394611474
NB_P24,osi_target_t24h,v18_rule,28680,0.008434736596420678,0.002779739911447673,2.040432332014631,-9.257391647402344e-05,0.008492701524253245,-5.796492783256661e-05,-0.6825263747587518,0.028140750869300568
NB_P24,osi_target_t48h,C0_direct_osi,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.0,0.0,0.0
NB_P24,osi_target_t48h,C1_component_osi,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P24,osi_target_t48h,C2_equal_blend,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.0,0.0,0.0
NB_P24,osi_target_t48h,C3_aligned_component,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,-0.0001324787250324035,0.007719715877085945,1.3986210808435498e-06,0.018117520166716083,-0.0004954956612079897
NB_P24,osi_target_t48h,v18_rule,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P48,osi_target_t01h,C0_direct_osi,34177,0.012037457339389941,0.003599131095178727,4.952260259837495,-0.00013171246546132397,0.012037457339389941,0.0,0.0,0.0
NB_P48,osi_target_t01h,C1_component_osi,34177,0.01099408271972475,0.003278457649174449,4.130969029145235,-0.00010064466718107809,0.01099408271972475,0.0,0.0,0.0
NB_P48,osi_target_t01h,C2_equal_blend,34177,0.011319898969309572,0.003364610377481295,4.379444630906323,-0.0001314229386326237,0.011319898969309572,0.0,0.0,0.0
NB_P48,osi_target_t01h,C3_aligned_component,34177,0.010851196041440948,0.0032347784239058538,4.024288964641418,-0.00012594322370009666,0.010853078422434704,-1.8823809937555669e-06,-0.017344212586400953,0.0013963257282885166
NB_P48,osi_target_t01h,v18_rule,34177,0.010851196041440948,0.0032347784239058538,4.024288964641418,-0.00012594322370009666,0.010853078422434704,-1.8823809937555669e-06,-0.017344212586400953,0.0013963257282885166
NB_P48,osi_target_t06h,C0_direct_osi,32982,0.01073393416160627,0.003461091435797809,3.8000983931614947,1.0093322570397718e-05,0.01073393416160627,0.0,0.0,0.0
NB_P48,osi_target_t06h,C1_component_osi,32982,0.010109519599414293,0.003250413710500381,3.3708391125635204,-4.116579609706818e-05,0.010109519599414293,0.0,0.0,0.0
NB_P48,osi_target_t06h,C2_equal_blend,32982,0.010279677323357887,0.00329414557036995,3.485266182002124,-2.951528418216472e-05,0.010279677323357887,0.0,0.0,0.0
NB_P48,osi_target_t06h,C3_aligned_component,32982,0.009920972397133715,0.0031082338273969385,3.2462762165752554,-0.00011023605241178037,0.009923105829220319,-2.1334320866039924e-06,-0.021499640569400125,0.0013963257282889607
NB_P48,osi_target_t06h,v18_rule,32982,0.009920972397133715,0.0031082338273969385,3.2462762165752554,-0.00011023605241178037,0.009923105829220319,-2.1334320866039924e-06,-0.021499640569400125,0.0013963257282889607
NB_P48,osi_target_t24h,C0_direct_osi,28680,0.00861830195271674,0.0028389953167640646,2.13021068676241,-8.851748810857948e-05,0.00861830195271674,0.0,0.0,0.0
NB_P48,osi_target_t24h,C1_component_osi,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
NB_P48,osi_target_t24h,C2_equal_blend,28680,0.0085370574557761,0.002808167540871237,2.090237118092415,-9.551377495420408e-05,0.0085370574557761,0.0,0.0,0.0
NB_P48,osi_target_t24h,C3_aligned_component,28680,0.008338619708108721,0.002693117753720356,1.994194355293649,-9.01966827635179e-05,0.008341538528872173,-2.9188207634513186e-06,-0.03499139581203403,0.0013963257282887387
NB_P48,osi_target_t24h,v18_rule,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0,0.0,0.0
NB_P48,osi_target_t48h,C0_direct_osi,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.0,0.0,0.0
NB_P48,osi_target_t48h,C1_component_osi,22944,0.0076777195364385415,0.0022128540239072536,1.3524886243171395,-0.00018471383054033776,0.007691202257793633,-1.3482721355091536e-05,-0.17530056944516925,0.0047543384379915565
NB_P48,osi_target_t48h,C2_equal_blend,22944,0.007689610598828044,0.0022127519314008646,1.3566812704919475,-0.0001829247691106781,0.007702283879539482,-1.2673280711437973e-05,-0.16453925757142773,0.004475589701552263
NB_P48,osi_target_t48h,C3_aligned_component,22944,0.007715773145491196,0.0021967616613616453,1.365928713658681,-0.00012998498995056727,0.007719715877085945,-3.942731594749026e-06,-0.05107353246577295,0.0013963257282896269
NB_P48,osi_target_t48h,v18_rule,22944,0.0076777195364385415,0.0022128540239072536,1.3524886243171395,-0.00018471383054033776,0.007691202257793633,-1.3482721355091536e-05,-0.17530056944516925,0.0047543384379915565
