case,horizon,space,group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NB_P24,osi_target_t06h,component_clipped,full,32982,0.016247431187159732,0.005153770877592177,8.706556043625927,0.00015903789504835344,0.016247431187159732,0.0,0.0,0.0
NB_P24,osi_target_t06h,component_clipped,common_120_215,22944,0.012674554734460074,0.0036838837518163455,3.6858236845748165,0.0002390061932351375,0.012674554734460074,0.0,0.0,0.0
NB_P24,osi_target_t06h,aligned,full,32982,0.015680217442499467,0.004860137197821502,8.109258582511336,5.953293398750473e-05,0.01570824624527064,-2.802880277117184e-05,-0.17843368593493114,0.029016938854779184
NB_P24,osi_target_t06h,aligned,common_120_215,22944,0.012333810139773057,0.0034430278074442707,3.4903071881076975,6.740397172214066e-05,0.012325350266945725,8.459872827331835e-06,0.06863799116541003,-0.004786424956381818
NB_P24,osi_target_t24h,component_clipped,full,28680,0.013537162835787092,0.004315395510719358,5.255747022790206,3.316438469985352e-05,0.01363012843468114,-9.296559889404761e-05,-0.6820595956931852,0.07243488207430193
NB_P24,osi_target_t24h,component_clipped,common_120_215,22944,0.012374942741870905,0.0034357008669951444,3.513625985245002,-3.488026441117494e-05,0.012351184882079353,2.375785979155144e-05,0.1923528796498042,-0.013478220452486589
NB_P24,osi_target_t24h,aligned,full,28680,0.013388855157949416,0.004219663133237236,5.141218169194936,9.991052081352315e-05,0.013426585219527803,-3.773006157838793e-05,-0.281010107644597,0.029016938854779184
NB_P24,osi_target_t24h,aligned,common_120_215,22944,0.012333810139773057,0.0034430278074442707,3.4903071881076975,6.740397172214066e-05,0.012325350266945725,8.459872827331835e-06,0.06863799116541003,-0.004786424956381818
NB_P24,osi_target_t48h,component_clipped,full,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
NB_P24,osi_target_t48h,component_clipped,common_120_215,22944,0.01234645607437439,0.0034840596165209028,3.4974681259730933,1.7980149336858274e-06,0.01234645607437439,0.0,0.0,0.0
NB_P24,osi_target_t48h,aligned,full,22944,0.012333810139773057,0.0034430278074442707,3.4903071881076975,6.740397172214066e-05,0.012325350266945725,8.459872827331835e-06,0.06863799116541003,-0.004786424956381818
NB_P24,osi_target_t48h,aligned,common_120_215,22944,0.012333810139773057,0.0034430278074442707,3.4903071881076975,6.740397172214066e-05,0.012325350266945725,8.459872827331835e-06,0.06863799116541003,-0.004786424956381818
NB_P48,osi_target_t01h,component_clipped,full,34177,0.017861487700620824,0.005219315121071696,10.903582053390243,2.7250338117868578e-05,0.017861487700620824,0.0,0.0,0.0
