case,horizon,start,end,common_target,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
NB_P06,osi_target_t48h,96,143,False,5736,0.009851380342539039,0.00431227695207857,0.5566770485316992,-5.147371735132227e-05,0.009851380342539039,0.0,0.0,0.0
NB_P06,osi_target_t48h,144,215,False,17208,0.006820769116646474,0.0015425792030725142,0.8005659142234318,-0.00019162948224700884,0.006820769116646474,0.0,0.0,0.0
NB_P06,osi_target_t48h,120,215,True,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0
NB_P24,osi_target_t01h,73,76,False,956,0.023564781526417063,0.00639516555292622,0.5308657755387052,-0.00042991651861295414,0.023564781526417063,0.0,0.0,0.0
NB_P24,osi_target_t01h,77,95,False,4541,0.01817013743080561,0.005990448524231025,1.4992288338090627,-0.0002877164727915715,0.01817013743080561,0.0,0.0,0.0
NB_P24,osi_target_t01h,96,143,False,11472,0.010144547273467131,0.0044914508599873575,1.1806046214087669,0.00012159245155625244,0.01018711961213732,-4.257233867018852e-05,-0.4179035909175566,0.009929780131374688
NB_P24,osi_target_t01h,144,215,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,-0.00022651178730435928,0.006839871177132626,3.160397963250343e-06,0.046205518808828394,-0.0007441327367631034
NB_P24,osi_target_t01h,120,215,True,22944,0.0077211144981667885,0.0021926775801264483,1.3678205350481787,-0.0001324787250324035,0.007719715877085945,1.3986210808435498e-06,0.018117520166716083,-0.0004954956612079897
NB_P24,osi_target_t06h,73,76,False,0,,,0.0,,,,,0.0
NB_P24,osi_target_t06h,77,95,False,4302,0.017060083755936113,0.005875674318574152,1.2520818612816065,-0.00024383185006686368,0.017060083755936113,0.0,0.0,0.0
NB_P24,osi_target_t06h,96,143,False,11472,0.010144547273467131,0.0044914508599873575,1.1806046214087669,0.00012159245155625244,0.01018711961213732,-4.257233867018852e-05,-0.4179035909175566,0.009929780131374688
NB_P24,osi_target_t06h,144,215,False,17208,0.006843031575095877,0.001479357716393376,0.8058004122185595,-0.00022651178730435928,0.006839871177132626,3.160397963250343e-06,0.046205518808828394,-0.0007441327367631034
