horizon,component,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t48h,N_t,4,18336,4608,627,0.0027211484874522817,0.0005188501078420587
osi_target_t48h,D_t,0,18336,4608,391,0.005480063348711037,0.0022844547260864987
osi_target_t48h,D_t,1,18432,4512,154,0.00797377426299402,0.0026792780433891293
osi_target_t48h,D_t,2,18336,4608,1857,0.019033797405971383,0.004984163558099968
osi_target_t48h,D_t,3,18336,4608,147,0.007490732121486359,0.0031788336979034185
osi_target_t48h,D_t,4,18336,4608,333,0.009949004344018887,0.0031443308096054897
osi_target_t48h,R_t,0,18336,4608,220,0.001380845256528007,0.00046134560536255516
osi_target_t48h,R_t,1,18432,4512,274,0.0023194293627532506,0.0005952848760243251
osi_target_t48h,R_t,2,18336,4608,1001,0.00550545076257303,0.0008959603378410996
osi_target_t48h,R_t,3,18336,4608,48,0.002198475496230568,0.0006289528677410912
osi_target_t48h,R_t,4,18336,4608,673,0.003354963161777568,0.0006690753431519955
