cv_seed,pair,candidate,reference,horizon,severity,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42,I3_minus_I2,I3,I2,1,.01_to_.05,2628,0.014609016510219548,0.010809028312630331,0.5608765990043393,28.40612640559251,-0.005191579594438912,0.014609016510219548,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,1,above_.05,948,0.057107572594598414,0.03520497135288973,3.0916885555696667,33.37431284253947,-0.026071625970653975,0.057107572594598414,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,zero,14147,0.0017368697072754002,0.0005654631457977012,0.04267748662858057,7.999607123600078,0.0005654631457977012,0.0017368697072754002,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,0_to_.01,15675,0.004429847137159337,0.002499842007112599,0.3075990781985357,39.18502346148999,0.0016045563186401664,0.004429847137159337,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,.01_to_.05,2421,0.014691277172070976,0.011027698613505913,0.5225332059957519,26.698058343297816,-0.006016036293085009,0.014691277172070976,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,6,above_.05,739,0.05657903239493446,0.038399423328268324,2.365677124086065,28.37717383959029,-0.029956798922048188,0.05657903239493446,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,24,zero,12791,0.001644422464150435,0.00043875393690256606,0.03458846595254772,5.612101606920723,0.00043875393690256606,0.0016032308873062653,4.1191576844169754e-05,2.5692853830541873,-0.0017111283374855457
42,I3_minus_I2,I3,I2,24,0_to_.01,13815,0.004483826440897752,0.002487267038189934,0.2777464243121759,34.361594132593936,0.0013838409701222142,0.0045802730347558685,-9.644659385811636e-05,-2.10569529646516,0.01207709401009971
42,I3_minus_I2,I3,I2,24,.01_to_.05,1763,0.015434302324769486,0.011844370766529931,0.41997778438895433,20.88162566139227,-0.00906129586060752,0.015590148138770044,-0.00015584581400055787,-0.9996429322759015,0.008524159188291358
42,I3_minus_I2,I3,I2,24,above_.05,311,0.06460965013149533,0.05178787994846773,1.2982405428255273,16.106030663973463,-0.048139233548123495,0.06451480241615024,9.484771534509773e-05,0.14701698182888467,-0.0038088665483118067
42,I3_minus_I2,I3,I2,48,zero,10947,0.0016319385216335656,0.0004054554396061755,0.029154305885372274,4.438520697368803,0.0004054554396061755,0.0016319385216335656,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,0_to_.01,10861,0.003876431237016522,0.0019946965317926084,0.16320519652868276,21.664399031799523,0.00082496019532966,0.003876431237016522,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,.01_to_.05,985,0.015259230103069824,0.012328946621515189,0.22935144178835584,12.14401242219246,-0.01119474208905753,0.015259230103069824,0.0,0.0,0.0
42,I3_minus_I2,I3,I2,48,above_.05,151,0.07827102758887439,0.06683006440775503,0.9250794177325687,10.09133972557101,-0.06683006440775503,0.07827102758887439,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,zero,14503,0.0017455816458755973,0.0005686809526803038,0.04419144276090476,8.247579856722446,0.0005686809526803038,0.0017455816458755973,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,0_to_.01,16098,0.0044567122258280705,0.002501621180379445,0.3197430456401832,40.27109776174831,0.001608359163326027,0.0044567122258280705,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,.01_to_.05,2628,0.014609016510219548,0.010809028312630331,0.5608765990043393,28.40612640559251,-0.005191579594438912,0.014609016510219548,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,1,above_.05,948,0.057107572594598414,0.03520497135288973,3.0916885555696667,33.37431284253947,-0.026071625970653975,0.057107572594598414,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,zero,14147,0.0017368697072754002,0.0005654631457977012,0.04267748662858057,7.999607123600078,0.0005654631457977012,0.0017368697072754002,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,0_to_.01,15675,0.004429847137159337,0.002499842007112599,0.3075990781985357,39.18502346148999,0.0016045563186401664,0.004429847137159337,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,.01_to_.05,2421,0.014691277172070976,0.011027698613505913,0.5225332059957519,26.698058343297816,-0.006016036293085009,0.014691277172070976,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,6,above_.05,739,0.05657903239493446,0.038399423328268324,2.365677124086065,28.37717383959029,-0.029956798922048188,0.05657903239493446,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,24,zero,12791,0.0016032308873062653,0.0004207749855568773,0.032877337615062174,5.382132840258018,0.0004207749855568773,0.0017723405683667454,-0.00016910968106048012,-9.541601883904216,0.0073016376206908595
42,I2_minus_I1,I2,I1,24,0_to_.01,13815,0.0045802730347558685,0.0024362559268092097,0.2898235183222756,33.65687562886923,0.0013327061172243887,0.004505317962263268,7.495507249260028e-05,1.663702165317238,-0.00940816878608891
42,I2_minus_I1,I2,I1,24,.01_to_.05,1763,0.015590148138770044,0.01193840351071484,0.4285019435772457,21.047405389390264,-0.009005599055223542,0.015361702033335796,0.00022844610543424834,1.4871145458914992,-0.012465872633814823
42,I2_minus_I1,I2,I1,24,above_.05,311,0.06451480241615024,0.05175819072809483,1.2944316762772154,16.096797316437492,-0.0481161253568054,0.06474788941920806,-0.0002330870030578247,-0.35999166173388275,0.009370260022044885
42,I2_minus_I1,I2,I1,48,zero,10947,0.0016319385216335656,0.0004054554396061755,0.029154305885372274,4.438520697368803,0.0004054554396061755,0.0016319385216335656,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,48,0_to_.01,10861,0.003876431237016522,0.0019946965317926084,0.16320519652868276,21.664399031799523,0.00082496019532966,0.003876431237016522,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,48,.01_to_.05,985,0.015259230103069824,0.012328946621515189,0.22935144178835584,12.14401242219246,-0.01119474208905753,0.015259230103069824,0.0,0.0,0.0
42,I2_minus_I1,I2,I1,48,above_.05,151,0.07827102758887439,0.06683006440775503,0.9250794177325687,10.09133972557101,-0.06683006440775503,0.07827102758887439,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,1,zero,14503,0.0017455816458755973,0.0005686809526803038,0.04419144276090476,8.247579856722446,0.0005686809526803038,0.0017455816458755973,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,1,0_to_.01,16098,0.0044567122258280705,0.002501621180379445,0.3197430456401832,40.27109776174831,0.001608359163326027,0.0044567122258280705,0.0,0.0,0.0
42,I1_minus_B0,I1,B0,1,.01_to_.05,2628,0.014609016510219548,0.010809028312630331,0.5608765990043393,28.40612640559251,-0.005191579594438912,0.014609016510219548,0.0,0.0,0.0
