cv_seed,pair,candidate,reference,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I3_minus_I2,I3,I2,24,39115,Morgan County,OH,0,120,0.03458780820878532,0.00791763998234752,0.14355797720252605,0.9501167978817024,-0.007834092419466183,0.034613279505524557,-2.5471296739236482e-05,-0.07358822135062892,0.0002115169727819055
20260917,I3_minus_I2,I3,I2,24,39117,Morrow County,OH,4,120,0.01155874935154815,0.007547024399978838,0.016032562388629774,0.9056429279974605,-0.0035711477191147367,0.011297239159015551,0.00026151019253259876,2.314815052170549,-0.0007172488747104466
20260917,I3_minus_I2,I3,I2,24,39149,Shelby County,OH,1,120,0.014554029435713964,0.009723713244458348,0.025418372737875422,1.1668455893350018,0.00872306287328527,0.01677989412376008,-0.002225864688046114,-13.265069920163096,0.008369408878676342
20260917,I3_minus_I2,I3,I2,24,39157,Tuscarawas County,OH,3,120,0.02526398702709288,0.016471476025386317,0.07659228486061409,1.976577123046358,-0.016471476025386317,0.024320560209164965,0.000943426817927917,3.879132757691961,-0.005613526994099907
20260917,I3_minus_I2,I3,I2,24,42053,Forest County,PA,3,120,0.009600431043319226,0.005814071271578911,0.011060193146103299,0.6976885525894693,-0.001176368785002088,0.009692946212742455,-9.251516942322853e-05,-0.9544587104136304,0.00021419160787089844
20260917,I3_minus_I2,I3,I2,24,42131,Wyoming County,PA,2,120,0.003098394166385915,0.0015894843016225563,0.0011520055692353123,0.19073811619470676,-0.0008445420224526504,0.0031289698057258737,-3.057563933995871e-05,-0.9771791112846984,2.2848676181993002e-05
20260917,I3_minus_I2,I3,I2,24,54013,Calhoun County,WV,4,120,0.047865172012611965,0.02621439024916291,0.27492896301563186,3.1457268298995493,-0.02469622793643978,0.04777802679489143,8.714521772053285e-05,0.1823960166765337,-0.001000181686028223
20260917,I3_minus_I2,I3,I2,24,54015,Clay County,WV,4,120,0.053252008968273534,0.02889188843996691,0.3402931750988502,3.467026612796029,-0.026176285605859925,0.05391897892250982,-0.0006669699542362836,-1.2369855059659485,0.008577579466676755
20260917,I3_minus_I2,I3,I2,24,54101,Webster County,WV,4,120,0.007131362553368853,0.005705324985705491,0.006102759824110984,0.6846389982846589,0.004947870701835729,0.006918851933100149,0.00021251062026870354,3.071472295165645,-0.00035829837545134184
20260917,I3_minus_I2,I3,I2,24,54105,Wirt County,WV,0,120,0.004309239416619497,0.002350821197214825,0.002228345321969657,0.282098543665779,0.0006110347474225798,0.004530530575130555,-0.00022129115851105777,-4.8844424475533055,0.000234739553093478
20260917,I3_minus_I2,I3,I2,48,18013,Brown County,IN,0,96,0.017261812678710985,0.006844435170538957,0.028605136987671104,0.6570657763717399,-0.006044419984715496,0.017261812678710985,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,39115,Morgan County,OH,0,96,0.03861072405248727,0.008803045609491085,0.1431156491383026,0.8450923785111442,-0.008675837271398475,0.03861072405248727,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,39117,Morrow County,OH,4,96,0.006967314383025847,0.0053642734973566595,0.004660173092344209,0.5149702557462393,-0.005352946667154398,0.006967314383025847,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,39149,Shelby County,OH,1,96,0.010314585420023349,0.006534128106691527,0.010213504549147991,0.6272762982423866,0.005381092594308807,0.010314585420023349,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,39157,Tuscarawas County,OH,3,96,0.01537318134509484,0.008377856062749997,0.02268813164824051,0.8042741820239998,-0.008377856062749997,0.01537318134509484,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,42053,Forest County,PA,3,96,0.006650484996528971,0.00398867669650771,0.0042459792661494675,0.38291296286474014,-0.002600032192300205,0.006650484996528971,0.0,0.0,0.0
20260917,I3_minus_I2,I3,I2,48,42131,Wyoming County,PA,2,96,0.0031634200196525566,0.001629273385460121,0.0009606937171909039,0.1564102450041716,-0.001008624156795203,0.0031634200196525566,0.0,0.0,0.0
