cv_seed,pair,candidate,reference,horizon,start,end,common_target,accounting_only,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260917,I2_minus_I1,I2,I1,24,120,143,False,False,5736,0.010273422329668892,0.004387477201724591,0.6053958317024093,25.166569229092254,-0.0002130279767060662,0.010300423260235317,-2.7000930566425246e-05,-0.262134185016083,0.003186422431812108
20260917,I2_minus_I1,I2,I1,24,144,215,False,False,17208,0.007221523929764585,0.0015365043363566174,0.8974042185953409,26.440166620024673,-0.00030634738121294045,0.007180145102819985,4.137882694460037e-05,0.5762951354332468,-0.010254663127903685
20260917,I2_minus_I1,I2,I1,24,120,215,True,False,22944,0.008093120998234041,0.002249247552698611,1.5028000502977505,51.60673584911693,-0.0002830175300862218,0.008074066051758652,1.9054946475388634e-05,0.23600186514747268,-0.007068240696091799
20260917,I2_minus_I1,I2,I1,24,96,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I2_minus_I1,I2,I1,48,96,119,False,False,0,,,0.0,0.0,,,,,0.0
20260917,I2_minus_I1,I2,I1,48,120,143,False,False,5736,0.00990031598846555,0.004215629531323868,0.5622212482675324,24.180850991673704,-0.000422767367829457,0.00990031598846555,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,144,215,False,False,17208,0.0070314426775457415,0.0014509346762518586,0.8507839308839408,24.967683908941982,-0.00041306178089549995,0.0070314426775457415,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,120,215,True,False,22944,0.007847608155583162,0.002142108390019861,1.413005179151473,49.14853490061569,-0.00041548817762898914,0.007847608155583162,0.0,0.0,0.0
20260917,I2_minus_I1,I2,I1,48,120,95,False,True,0,,,0.0,0.0,,,,,0.0
20260917,I1_minus_B0,I1,B0,1,96,119,False,False,5736,0.009867045371782474,0.004507385083869511,0.5584488399395168,25.854360841075515,-1.141176933259392e-05,0.009867045371782474,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,120,143,False,False,5736,0.010026223598484561,0.00430787543389956,0.5766123157340947,24.709973488847872,-1.41443149202105e-05,0.010026223598484561,0.0,0.0,0.0
20260917,I1_minus_B0,I1,B0,1,144,215,False,False,17208,0.0071910927534974915,0.0015497044157602691,0.8898569123376663,26.667313586402713,-0.00027374638516171454,0.0071910927534974915,0.0,0.0,0.0
