split_seed,domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18095,1,Madison County,143,0.0013611222740942922,0.000612301926322216,0.0002649294998400933,-5.681213065395125e-05,0.0014186945385673692,0.0006363272599290863,0.0002878152697078059,-8.034566385246243e-05,5.7572264473076994e-05,4.229764332626651,-2.2885769867712598e-05,44,-0.0002755432125032951
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18097,1,Marion County,143,0.0006356622640800276,0.0002975173703690362,5.778151149847459e-05,7.448812690599295e-05,0.0006192874879233505,0.0002858616263293364,5.4842929955873214e-05,4.7857833485313603e-05,-1.6374776156677113e-05,-2.5760182854924984,2.9385815426013784e-06,24,3.5380334729032276e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18099,1,Marshall County,143,0.008860860039028865,0.0028167206541499456,0.011227622210269983,-0.0015791930519305616,0.00885972570616183,0.0027826153797087553,0.011224747761144734,-0.001622404518509244,-1.1343328670358754e-06,-0.012801611379020805,2.874449125249076e-06,65,3.4608184506208175e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18101,1,Martin County,143,0.003897931197106436,0.0022934963269506206,0.0021727230692847126,0.0008641633576020591,0.003513976640261446,0.001947506111109706,0.0017657685514473461,0.0005994828490943369,-0.00038395455684499,-9.850213803927899,0.0004069545178373665,92,0.004899706491667395
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18103,1,Miami County,143,0.0024824775118504,0.0011712659169705346,0.0008812653273485424,0.0010571548264770563,0.0025081390962864007,0.0011804991675987409,0.000899578926863812,0.0009958494669780101,2.5661584436000636e-05,1.0337086363724213,-1.831359951526962e-05,62,-0.00022049457248346174
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18105,1,Monroe County,143,0.0021291276186608614,0.0007128032207560876,0.0006482453715658593,-0.0004556144629615696,0.0020858959908437633,0.000701351644080624,0.0006221875781003862,-0.0004626824126906758,-4.3231627817098134e-05,-2.030485511445723,2.6057793465473133e-05,29,0.0003137341747176048
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18107,1,Montgomery County,143,0.0009772580113843175,0.00045811226169777613,0.0001365697505765208,0.0002044710657842089,0.0010045281953544745,0.0004680199338906571,0.00014429799602248277,0.0002149935334555787,2.7270183970157062e-05,2.7904794488742946,-7.72824544596198e-06,35,-9.304758325821452e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18109,1,Morgan County,143,0.0028808601430076524,0.001157630301803098,0.0011868077883905202,0.0008639240080968043,0.003122409461810469,0.0012296027301964938,0.0013941700411501065,0.0009358964364902002,0.00024154931880281637,8.38462496657808,-0.00020736225275958626,28,-0.002496628324394117
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18111,1,Newton County,143,0.004059586898270677,0.002742743970132083,0.002356675147199364,0.002426868909157355,0.0038907483334717973,0.0025932478436546816,0.0021647229310011403,0.002219321623159544,-0.0001688385647988797,-4.159008515639917,0.00019195221619822383,89,0.0023110924650607805
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18113,1,Noble County,143,0.0010125530426116892,0.0006178759269850768,0.00014661270396661304,-6.601339000093453e-05,0.000992221038410071,0.0006049694835114088,0.00014078387023608904,-6.347821479500038e-05,-2.033200420161808e-05,-2.007993986090395,5.8288337305240035e-06,43,7.017878710394797e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18117,1,Orange County,143,0.013174641214724609,0.0037087039911685997,0.024820677472551,-0.003577952253269167,0.013108323758849393,0.003690544375146856,0.02457142570265461,-0.003514238745266218,-6.631745587521581e-05,-0.5033720068300274,0.0002492517698963921,32,0.0030009754444082605
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18121,1,Parke County,143,0.0239017036250099,0.008507270346991494,0.08169467537342703,-0.005848615631712016,0.024091596614330465,0.008509456572954939,0.08299791892214954,-0.006009951746518039,0.0001898929893205635,0.7944747048150402,-0.0013032435487225075,95,-0.01569096937375985
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18123,1,Perry County,143,0.0054093423105027495,0.0020643752775257778,0.004184320745203917,0.00201682282997333,0.004932803455150498,0.0019172932108548453,0.0034795546395816907,0.0018697407633023976,-0.00047653885535225114,-8.809552585108282,0.0007047661056222261,45,0.00848533905256796
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18125,1,Pike County,143,0.0028796403734699504,0.0009708698113536783,0.0011858030013140962,0.000886496981933835,0.0027048532900461196,0.0009094795792189955,0.0010462210788562843,0.0007922374951810579,-0.0001747870834238308,-6.069753884344021,0.0001395819224578119,24,0.001680557461851968
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18127,1,Porter County,143,0.002780102817063801,0.0019592649372995176,0.00110524294930279,0.0018433056025422964,0.002646246868255278,0.0018522655013838234,0.0010013750157483738,0.0017082344095031361,-0.00013385594880852307,-4.814784114707482,0.00010386793355441617,86,0.0012505633086890415
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18129,1,Posey County,143,0.0011626924670997188,0.0005876032101571904,0.00019331508954621162,0.0003259463560207922,0.0010458456990285153,0.0005363138222703326,0.00015641243134323148,0.00026381784034003173,-0.00011684676807120352,-10.049671033190076,3.6902658202980136e-05,37,0.0004443056558698381
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18131,1,Pulaski County,143,0.01763186898646867,0.004438156526964116,0.04445624096570739,-0.0030881208477421688,0.017645250617343716,0.00443495756182346,0.04452374631688823,-0.0030898794486410312,1.3381630875046457e-05,0.07589456843919429,-6.750535118083684e-05,63,-0.0008127601314287794
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18133,1,Putnam County,143,0.0010103464721553045,0.0003987370229358353,0.00014597439911292372,-0.00021330995025230676,0.0010892920444401449,0.00042106630790716585,0.0001696776736055245,-0.0002545490905593311,7.894557228484036e-05,7.81371286588759,-2.3703274492600768e-05,27,-0.00028538591615189657
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18135,1,Randolph County,143,0.0038776517404444373,0.0023783910640156757,0.002150174171884564,0.0018284344579929143,0.003689320855709401,0.0023074214396788676,0.0019463856378212458,0.0017003826481241456,-0.0001883308847350361,-4.85682823887249,0.00020378853406331798,68,0.0024536009787621007
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18137,1,Ripley County,143,0.0036040412760370857,0.0012294201923314806,0.0018574432332712006,-0.00014112289770386774,0.0036058653343628514,0.0012478548962035461,0.0018593238677670398,-0.00010697153650836543,1.8240583257657546e-06,0.05061147156926182,-1.8806344958392264e-06,33,-2.2642719625487883e-05
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18139,1,Rush County,143,0.0028133246350727915,0.0008669264402521279,0.001131815756829966,-0.0002744252979834589,0.0028592493263386734,0.000873183828494926,0.0011690688595540463,-0.00028889754616543084,4.5924691265881914e-05,1.632399286358699,-3.725310272408022e-05,48,-0.0004485249855977109
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18141,1,St. Joseph County,143,0.0017231835486846705,0.0012140678183135698,0.0004246187005714216,0.0009232791941075236,0.0017979066672200357,0.00124144307264085,0.0004622429789168986,0.0008937161793787158,7.472311853536518e-05,4.336341221015161,-3.7624278345476975e-05,91,-0.0004529939164535987
42,OSI,v18_rule,osi_target_t01h,F2_minus_F0,county,18143,1,Scott County,143,0.0040089672511264066,0.0017586937531673828,0.002298270034146375,-0.0012956734715374757,0.0040153542251296056,0.0017584275976150257,0.002305598946117063,-0.001166727451019393,6.386974003198993e-06,0.15931719076538453,-7.328911970688225e-06,25,-8.82396336339254e-05
