split_seed,candidate,outer_fold,kind,target,inner_fold,best_iteration,refit_rounds,actual_trees,training_rows,training_counties,validation_rows,weight_mean,row_weight_ess,model_id
20260917,F2,4,a,P_anchor_a_t01h,1,309,139,139,16445,115,4719,0.011704820192226868,1702.5109349714726,6f9629643d4710b56f1a7bd82209a81d915ff388b4432fb31d4d9154bf4ed160
20260917,F2,4,a,P_anchor_a_t01h,2,120,139,139,15873,111,5291,0.011379900827016383,1551.6074440656532,6f9629643d4710b56f1a7bd82209a81d915ff388b4432fb31d4d9154bf4ed160
20260917,F2,4,a,P_anchor_a_t01h,3,65,139,139,15730,110,5434,0.012367472496418688,1605.8014604136554,6f9629643d4710b56f1a7bd82209a81d915ff388b4432fb31d4d9154bf4ed160
20260917,F2,4,b,P_excess_b_t01h,0,195,115,115,20449,143,6864,0.9216167057224941,19980.928863728113,9e8b0fd65f5970591daee35d8b4cdba0ca74878fb97fab449053b84b8d75e80c
20260917,F2,4,b,P_excess_b_t01h,1,2,115,115,20449,143,6864,0.9188507810357069,19960.424420419815,9e8b0fd65f5970591daee35d8b4cdba0ca74878fb97fab449053b84b8d75e80c
20260917,F2,4,b,P_excess_b_t01h,2,62,115,115,20449,143,6864,0.9227048802503415,19990.907124080506,9e8b0fd65f5970591daee35d8b4cdba0ca74878fb97fab449053b84b8d75e80c
20260917,F2,4,b,P_excess_b_t01h,3,203,115,115,20592,144,6721,0.9210041951430976,20099.996104659564,9e8b0fd65f5970591daee35d8b4cdba0ca74878fb97fab449053b84b8d75e80c
20260918,F2,0,a,P_anchor_a_t01h,1,44,157,157,15587,109,5148,0.012898766168363473,1633.4988299901036,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
20260918,F2,0,a,P_anchor_a_t01h,2,105,157,157,15730,110,5005,0.01606537335234457,822.1652824401574,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
20260918,F2,0,a,P_anchor_a_t01h,3,334,157,157,15587,109,5148,0.01859197286116707,925.9675155517803,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
20260918,F2,0,a,P_anchor_a_t01h,4,148,157,157,15301,107,5434,0.01684826463031558,778.6947154648161,8c621e948090bce291a968c5842618cec039e8ad4e9ef905d72707fd77f6f185
20260918,F2,0,b,P_excess_b_t01h,1,104,311,311,20592,144,6721,0.9214933706552195,20082.791402330273,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
20260918,F2,0,b,P_excess_b_t01h,2,549,311,311,20449,143,6864,0.9171621725087965,19905.395485192388,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
20260918,F2,0,b,P_excess_b_t01h,3,345,311,311,20449,143,6864,0.9175341661389315,19830.426018048674,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
20260918,F2,0,b,P_excess_b_t01h,4,246,311,311,20449,143,6864,0.9232117898562502,19905.556940570852,4bc3151cbef8477bbadfaa2e4c822d01b9de2132c6031742d85e607b6681b375
20260918,F2,1,a,P_anchor_a_t01h,0,45,170,170,15587,109,5863,0.012898766168363473,1633.4988299901036,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
20260918,F2,1,a,P_anchor_a_t01h,2,441,170,170,16445,115,5005,0.010062883290226211,2360.673400401161,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
20260918,F2,1,a,P_anchor_a_t01h,3,67,170,170,16302,114,5148,0.012426013609520373,1666.6935422710965,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
20260918,F2,1,a,P_anchor_a_t01h,4,129,170,170,16016,112,5434,0.010650043080909631,1509.7043784075847,9ec52cd181ea6d89d36f1ba4c6adca6e141b69c506ea7c3be9e749df0ec087cf
20260918,F2,1,b,P_excess_b_t01h,0,449,414,414,20592,144,6864,0.9214933706552195,20082.791402330273,7fee49c038b20d3e128310c845d689b0f2a4e6de1ae7547bd1c1ecaf551fafb9
20260918,F2,1,b,P_excess_b_t01h,2,660,414,414,20592,144,6864,0.9206337351692779,20152.37670428022,7fee49c038b20d3e128310c845d689b0f2a4e6de1ae7547bd1c1ecaf551fafb9
20260918,F2,1,b,P_excess_b_t01h,3,534,414,414,20592,144,6864,0.9210031455103148,20077.140530156852,7fee49c038b20d3e128310c845d689b0f2a4e6de1ae7547bd1c1ecaf551fafb9
20260918,F2,1,b,P_excess_b_t01h,4,13,414,414,20592,144,6864,0.926641341285152,20152.1164388428,7fee49c038b20d3e128310c845d689b0f2a4e6de1ae7547bd1c1ecaf551fafb9
20260918,F2,2,a,P_anchor_a_t01h,0,43,62,62,15730,110,5863,0.01606537335234457,822.1652824401574,ee4b456e80c98b0ca4677dc1129c7af3a6cda570ca0a9932b1d7f2861e9daba2
20260918,F2,2,a,P_anchor_a_t01h,1,37,62,62,16445,115,5148,0.010062883290226211,2360.673400401161,ee4b456e80c98b0ca4677dc1129c7af3a6cda570ca0a9932b1d7f2861e9daba2
20260918,F2,2,a,P_anchor_a_t01h,3,55,62,62,16445,115,5148,0.015459053112100926,833.4073934968659,ee4b456e80c98b0ca4677dc1129c7af3a6cda570ca0a9932b1d7f2861e9daba2
20260918,F2,2,a,P_anchor_a_t01h,4,116,62,62,16159,113,5434,0.013752481251930643,683.9912416068033,ee4b456e80c98b0ca4677dc1129c7af3a6cda570ca0a9932b1d7f2861e9daba2
20260918,F2,2,b,P_excess_b_t01h,0,187,367,367,20449,143,6864,0.9171621725087965,19905.395485192388,81954c9b9bbee0c98300fef1bc54d147ae2bdec8d6912dad62d8f76879bc6887
20260918,F2,2,b,P_excess_b_t01h,1,22,367,367,20592,144,6721,0.9206337351692779,20152.37670428022,81954c9b9bbee0c98300fef1bc54d147ae2bdec8d6912dad62d8f76879bc6887
20260918,F2,2,b,P_excess_b_t01h,3,546,367,367,20449,143,6864,0.9166685192160252,19899.7730706776,81954c9b9bbee0c98300fef1bc54d147ae2bdec8d6912dad62d8f76879bc6887
20260918,F2,2,b,P_excess_b_t01h,4,715,367,367,20449,143,6864,0.9223461429333438,19974.480948835328,81954c9b9bbee0c98300fef1bc54d147ae2bdec8d6912dad62d8f76879bc6887
20260918,F2,3,a,P_anchor_a_t01h,0,48,147,147,15587,109,5863,0.01859197286116707,925.9675155517803,37771ee8666aa9f3a6265d8b442dba822193a2a4a48528ff13a5a0cde701de2c
20260918,F2,3,a,P_anchor_a_t01h,1,40,147,147,16302,114,5148,0.012426013609520373,1666.6935422710965,37771ee8666aa9f3a6265d8b442dba822193a2a4a48528ff13a5a0cde701de2c
20260918,F2,3,a,P_anchor_a_t01h,2,384,147,147,16445,115,5005,0.015459053112100926,833.4073934968659,37771ee8666aa9f3a6265d8b442dba822193a2a4a48528ff13a5a0cde701de2c
20260918,F2,3,a,P_anchor_a_t01h,4,116,147,147,16016,112,5434,0.016190753165870275,789.0416687109903,37771ee8666aa9f3a6265d8b442dba822193a2a4a48528ff13a5a0cde701de2c
20260918,F2,3,b,P_excess_b_t01h,0,276,264,264,20449,143,6864,0.9175341661389315,19830.426018048674,4aab94107bfb9f8488d4698fbc28b9f96299461d7c53a2dcb30aa2740cfeb118
20260918,F2,3,b,P_excess_b_t01h,1,36,264,264,20592,144,6721,0.9210031455103148,20077.140530156852,4aab94107bfb9f8488d4698fbc28b9f96299461d7c53a2dcb30aa2740cfeb118
20260918,F2,3,b,P_excess_b_t01h,2,744,264,264,20449,143,6864,0.9166685192160252,19899.7730706776,4aab94107bfb9f8488d4698fbc28b9f96299461d7c53a2dcb30aa2740cfeb118
20260918,F2,3,b,P_excess_b_t01h,4,2,264,264,20449,143,6864,0.9227181365634788,19899.86850673075,4aab94107bfb9f8488d4698fbc28b9f96299461d7c53a2dcb30aa2740cfeb118
20260918,F2,4,a,P_anchor_a_t01h,0,68,106,106,15301,107,5863,0.01684826463031558,778.6947154648161,ed3011904cf00eec31e7bb079c04569414fc396719ad1ba265cd60d587f4c1a1
20260918,F2,4,a,P_anchor_a_t01h,1,55,106,106,16016,112,5148,0.010650043080909631,1509.7043784075847,ed3011904cf00eec31e7bb079c04569414fc396719ad1ba265cd60d587f4c1a1
20260918,F2,4,a,P_anchor_a_t01h,2,233,106,106,16159,113,5005,0.013752481251930643,683.9912416068033,ed3011904cf00eec31e7bb079c04569414fc396719ad1ba265cd60d587f4c1a1
20260918,F2,4,a,P_anchor_a_t01h,3,71,106,106,16016,112,5148,0.016190753165870275,789.0416687109903,ed3011904cf00eec31e7bb079c04569414fc396719ad1ba265cd60d587f4c1a1
20260918,F2,4,b,P_excess_b_t01h,0,310,359,359,20449,143,6864,0.9232117898562502,19905.556940570852,6f5e4993192d5e0c948dc6e63aa5821b43bfba73ee4325d59f06cac111798bb4
20260918,F2,4,b,P_excess_b_t01h,1,23,359,359,20592,144,6721,0.926641341285152,20152.1164388428,6f5e4993192d5e0c948dc6e63aa5821b43bfba73ee4325d59f06cac111798bb4
20260918,F2,4,b,P_excess_b_t01h,2,600,359,359,20449,143,6864,0.9223461429333438,19974.480948835328,6f5e4993192d5e0c948dc6e63aa5821b43bfba73ee4325d59f06cac111798bb4
20260918,F2,4,b,P_excess_b_t01h,3,506,359,359,20449,143,6864,0.9227181365634788,19899.86850673075,6f5e4993192d5e0c948dc6e63aa5821b43bfba73ee4325d59f06cac111798bb4
