horizon,fipsCode,countyName,improved_splits,worsened_splits,minimum_rmse_change_pct,maximum_rmse_change_pct
osi_target_t01h,54013,Calhoun County,0,3,4.602632726058431e-05,0.22994625118930578
osi_target_t01h,54015,Clay County,2,1,-0.6296555303015094,1.271932387990793
osi_target_t01h,54019,Fayette County,2,1,-0.9981691661141823,1.099873907385307
osi_target_t01h,54023,Grant County,2,1,-5.348334630289009,5.502402420466446
osi_target_t01h,54025,Greenbrier County,0,3,3.720721768562818,18.803195754664493
osi_target_t01h,54027,Hampshire County,1,2,-6.824305062991098,2.1616717680101205
osi_target_t01h,54029,Hancock County,0,3,1.5404403411810597,6.08560152415627
osi_target_t01h,54031,Hardy County,1,2,-2.9297734389961083,11.17278897670555
osi_target_t01h,54033,Harrison County,2,1,-3.379062127136234,2.7536584708987233
osi_target_t01h,54035,Jackson County,2,1,-2.66480339193077,3.2658263189761616
osi_target_t01h,54037,Jefferson County,2,1,-1.1665361769786275,0.09115498327085803
osi_target_t01h,54039,Kanawha County,0,3,0.38158337128675335,9.337214250043878
osi_target_t01h,54041,Lewis County,2,1,-0.1319932809558444,0.0008423737012597243
osi_target_t01h,54043,Lincoln County,2,1,-1.7065437248434678,0.13103926615880557
osi_target_t01h,54045,Logan County,1,2,-1.9717503281149074,0.237817465312129
osi_target_t01h,54047,McDowell County,3,0,-2.2807462325231342,-0.648156899233554
osi_target_t01h,54053,Mason County,1,2,-1.8697205608431133,2.7413359755940725
osi_target_t01h,54055,Mercer County,0,3,0.8166511410588662,2.450519846150767
osi_target_t01h,54057,Mineral County,3,0,-3.0162511001264325,-0.3040412208097587
osi_target_t01h,54059,Mingo County,1,2,-0.2208471785724364,0.4108359694542818
osi_target_t01h,54063,Monroe County,1,2,-4.509928103262684,0.47257013752231014
osi_target_t01h,54067,Nicholas County,3,0,-4.809302871444454,-0.9281891047090651
osi_target_t01h,54069,Ohio County,3,0,-1.72992843430535,-0.6557400091241172
osi_target_t01h,54071,Pendleton County,2,1,-9.481714455210867,1.5467199950162325
osi_target_t01h,54073,Pleasants County,2,1,-1.6306610708752833,2.5622986348533328
osi_target_t01h,54075,Pocahontas County,3,0,-7.457552589667326,-1.6800332038098276
osi_target_t01h,54077,Preston County,0,3,0.20616218223583616,0.40434763241703475
osi_target_t01h,54079,Putnam County,3,0,-2.8605926664727943,-1.8285641844405287
osi_target_t01h,54081,Raleigh County,1,2,-1.6587082469489256,5.799234942608056
osi_target_t01h,54083,Randolph County,3,0,-13.644486350088048,-3.608476633188684
osi_target_t01h,54085,Ritchie County,2,1,-2.34033945366825,0.9282440517735857
osi_target_t01h,54087,Roane County,2,1,-0.5881549521254636,2.1165865248576443
osi_target_t01h,54089,Summers County,3,0,-15.440056621871657,-0.09387177469909469
osi_target_t01h,54091,Taylor County,1,2,-8.31431601014021,0.6626102077877061
osi_target_t01h,54093,Tucker County,3,0,-14.112880858015565,-7.746876469572883
osi_target_t01h,54095,Tyler County,2,1,-0.2839850575812042,0.2892509813569477
osi_target_t01h,54097,Upshur County,3,0,-6.597210091905847,-0.00018996068681387257
osi_target_t01h,54099,Wayne County,2,1,-1.556250322054642,4.01730886637317
osi_target_t01h,54101,Webster County,3,0,-6.376685768429913,-2.069093680366174
osi_target_t01h,54103,Wetzel County,3,0,-5.6724340376745115,-1.095452333862501
osi_target_t01h,54105,Wirt County,2,1,-1.5142028514546269,5.928546570619786
osi_target_t01h,54107,Wood County,3,0,-3.152118887254196,-1.986115416149714
osi_target_t01h,54109,Wyoming County,1,2,-3.1800726732270967,1.5434245911772893
osi_target_t06h,18009,Blackford County,3,0,-11.258114648716166,-6.850704868870117
osi_target_t06h,18013,Brown County,2,1,-2.0903182126077113,0.271618915533689
osi_target_t06h,18023,Clinton County,0,3,1.0475366792891627,9.745086435962058
osi_target_t06h,18025,Crawford County,2,1,-0.31075697704484595,0.8225691279659442
osi_target_t06h,18027,Daviess County,0,3,14.304009808772399,33.707118931072074
osi_target_t06h,18029,Dearborn County,1,2,-0.3074748503772984,1.8254510440056881
osi_target_t06h,18033,DeKalb County,2,1,-1.9095877332519828,0.9841512093673455
osi_target_t06h,18035,Delaware County,1,2,-0.3234906236475821,4.133684370487156
osi_target_t06h,18037,Dubois County,3,0,-8.567713588486313,-5.454180023690347
osi_target_t06h,18039,Elkhart County,3,0,-1.46705500469001,-0.09475842668968948
osi_target_t06h,18041,Fayette County,1,2,-0.1302299649873606,1.5456062988580488
osi_target_t06h,18043,Floyd County,0,3,5.191753043359881,16.713392099588155
osi_target_t06h,18045,Fountain County,1,2,-1.9159582921508767,3.709162778870656
osi_target_t06h,18047,Franklin County,2,1,-1.4233616066001487,2.0941828657333073
osi_target_t06h,18051,Gibson County,1,2,-1.1698834403007008,7.26930359349558
osi_target_t06h,18059,Hancock County,1,2,-0.00836993287069987,2.591860920799105
osi_target_t06h,18061,Harrison County,2,1,-0.8390716423401168,1.24729196972726
osi_target_t06h,18065,Henry County,3,0,-0.8895709791500561,-0.07659831845377996
osi_target_t06h,18067,Howard County,1,2,-0.03648791377934835,0.8514881609708036
osi_target_t06h,18069,Huntington County,0,3,4.915415684951818,9.001306716446479
osi_target_t06h,18071,Jackson County,2,1,-2.4623084483991753,5.835808607159709
osi_target_t06h,18073,Jasper County,1,2,-3.1159876902732364,0.7308460815836471
osi_target_t06h,18077,Jefferson County,3,0,-4.409500059425819,-3.3168993360055077
osi_target_t06h,18083,Knox County,1,2,-8.980146408901636,4.219218960917148
osi_target_t06h,18085,Kosciusko County,3,0,-1.9256035243910619,-1.304214618613242
osi_target_t06h,18087,LaGrange County,0,3,5.097118804782341,17.14291111997992
osi_target_t06h,18089,Lake County,0,3,0.5072919323108938,1.62815900862745
osi_target_t06h,18091,LaPorte County,1,2,-4.220666626510738,1.587533308028899
osi_target_t06h,18093,Lawrence County,1,2,-0.729306554860798,2.005782094597941
osi_target_t06h,18095,Madison County,0,3,1.580856437683975,4.045988971429471
osi_target_t06h,18097,Marion County,2,1,-2.6523689730241884,0.3184627558323161
osi_target_t06h,18099,Marshall County,3,0,-0.2062041803050474,-0.015039091467150545
osi_target_t06h,18101,Martin County,2,1,-8.094297015230723,2.116264603379414
osi_target_t06h,18103,Miami County,2,1,-1.0855921575730898,0.7233236234630791
osi_target_t06h,18105,Monroe County,1,2,-2.030485511445712,2.937171273895145
osi_target_t06h,18107,Montgomery County,0,3,0.03638841000608295,2.790479448874339
osi_target_t06h,18109,Morgan County,0,3,4.1563372570299295,8.38462496657808
osi_target_t06h,18111,Newton County,1,2,-2.1979643086972533,6.014323540514588
osi_target_t06h,18113,Noble County,3,0,-2.142236630590366,-1.1188761435839356
osi_target_t06h,18117,Orange County,2,1,-1.269389596214665,0.22142878614390682
osi_target_t06h,18121,Parke County,1,2,-0.3918041793593008,0.7829797170944897
osi_target_t06h,18123,Perry County,2,1,-9.387277792761273,3.282903811510929
osi_target_t06h,18125,Pike County,2,1,-8.766974763027013,1.8790921768229163
osi_target_t06h,18127,Porter County,3,0,-5.482359985505559,-3.1452878113653937
osi_target_t06h,18129,Posey County,3,0,-10.049671033190089,-1.1706241183800703
osi_target_t06h,18131,Pulaski County,1,2,-0.04207972557039863,0.14400903838593937
osi_target_t06h,18133,Putnam County,1,2,-3.7958898262647867,7.813712865887612
osi_target_t06h,18135,Randolph County,2,1,-5.8712979614158005,0.45410133196330804
osi_target_t06h,18137,Ripley County,0,3,0.05061147156926182,2.4493979872263205
osi_target_t06h,18139,Rush County,1,2,-0.32619207531123795,1.632399286358699
osi_target_t06h,18141,St. Joseph County,1,2,-2.5009261600263732,1.6943863713664742
osi_target_t06h,18143,Scott County,1,2,-2.6121669733048747,3.4295511632699505
osi_target_t06h,18145,Shelby County,2,1,-4.704483881688882,1.9576305443206765
osi_target_t06h,18147,Spencer County,1,2,-1.80780514168013,6.719799883689426
osi_target_t06h,18149,Starke County,2,1,-2.023096214560738,2.154239520020873
osi_target_t06h,18151,Steuben County,1,2,-0.5515759893395256,1.4561131337682331
osi_target_t06h,18153,Sullivan County,1,2,-2.4566773832948474,10.381805239024144
osi_target_t06h,18155,Switzerland County,3,0,-8.15953957240081,-6.264189563514922
osi_target_t06h,18157,Tippecanoe County,1,2,-0.44931128138231413,25.79773779728105
osi_target_t06h,18159,Tipton County,2,1,-2.145915134665599,0.887993783600094
osi_target_t06h,18161,Union County,2,1,-5.6327821535897655,1.5030911369157351
osi_target_t06h,18163,Vanderburgh County,2,1,-2.8875682855698304,3.1590799951104476
osi_target_t06h,18165,Vermillion County,2,1,-0.15658334686784459,0.001340963370699555
osi_target_t06h,18167,Vigo County,2,1,-5.3043208875528824,1.9333176938193697
osi_target_t06h,18169,Wabash County,0,3,0.7061380181787147,7.697697056256514
osi_target_t06h,18171,Warren County,2,1,-1.1894720754729637,1.4793372495377044
osi_target_t06h,18173,Warrick County,1,2,-1.831901611715292,37.7308070077494
osi_target_t06h,18175,Washington County,1,2,-0.15220343954641669,2.0010022930077698
osi_target_t06h,18177,Wayne County,2,1,-4.886496142378327,0.6157525251630158
osi_target_t06h,18179,Wells County,1,2,-0.02594022241627636,0.340918453792205
osi_target_t06h,18181,White County,0,3,0.7562873185235741,1.2084492285522774
osi_target_t06h,18183,Whitley County,3,0,-0.41110670913033776,-0.23057835178096342
osi_target_t06h,39017,Butler County,2,1,-4.797321554192246,4.786490549944533
osi_target_t06h,39023,Clark County,2,1,-4.840204172954254,15.363598024255598
osi_target_t06h,39025,Clermont County,3,0,-5.538712992410966,-0.6320159202469089
osi_target_t06h,39027,Clinton County,1,2,-3.2126271002323348,5.717400809611939
osi_target_t06h,39029,Columbiana County,2,1,-3.082245135568784,2.469878832797323
osi_target_t06h,39031,Coshocton County,0,3,9.65450657831819,18.605555283180596
osi_target_t06h,39033,Crawford County,2,1,-2.978954571580017,2.140993021943749
osi_target_t06h,39035,Cuyahoga County,2,1,-1.5311001679347735,0.2408101253761119
osi_target_t06h,39037,Darke County,3,0,-3.273000187959685,-2.258984788713725
osi_target_t06h,39039,Defiance County,2,1,-4.007959109719639,0.021082111153969407
osi_target_t06h,39045,Fairfield County,0,3,0.012673434175725085,2.604554006221771
osi_target_t06h,39049,Franklin County,3,0,-13.157356202986525,-5.0574410945927735
osi_target_t06h,39051,Fulton County,2,1,-4.360401461161478,1.3448395242168232
osi_target_t06h,39053,Gallia County,2,1,-0.5890164259224284,0.044801539191552386
osi_target_t06h,39055,Geauga County,0,3,6.951585493518175,10.665855815146497
osi_target_t06h,39059,Guernsey County,2,1,-5.055731989651758,2.0534472332931264
osi_target_t06h,39061,Hamilton County,1,2,-0.4690645885979783,16.939087642991367
osi_target_t06h,39063,Hancock County,3,0,-6.388098415776677,-2.051239691651474
osi_target_t06h,39065,Hardin County,1,2,-3.415831175481665,2.7074979789666553
osi_target_t06h,39069,Henry County,3,0,-3.168002480006027,-0.3620020056994022
osi_target_t06h,39073,Hocking County,2,1,-3.235512780119043,2.7801007107117526
osi_target_t06h,39075,Holmes County,2,1,-8.750043662764828,18.71125014432984
osi_target_t06h,39077,Huron County,3,0,-15.589030239961875,-11.54732604329325
osi_target_t06h,39081,Jefferson County,2,1,-11.237986226641283,1.4021165453114826
osi_target_t06h,39085,Lake County,0,3,1.9722801964484615,3.2545517868638463
osi_target_t06h,39087,Lawrence County,2,1,-0.8414200864776844,0.15170981850081144
osi_target_t06h,39089,Licking County,3,0,-9.944858877310093,-7.166881082618259
osi_target_t06h,39091,Logan County,3,0,-8.717165899079248,-2.5036226101251446
osi_target_t06h,39093,Lorain County,0,3,0.8364135283020158,5.048373059730671
osi_target_t06h,39095,Lucas County,0,3,0.6430754971015196,7.905548519809247
osi_target_t06h,39097,Madison County,0,3,0.2247252393908994,3.8211222858002936
osi_target_t06h,39099,Mahoning County,0,3,0.49152958343980924,3.404809195160441
osi_target_t06h,39101,Marion County,2,1,-3.7384802225436498,1.8050989338419088
osi_target_t06h,39103,Medina County,2,1,-2.3692755694331047,0.8872455456073958
