horizon,model,rmse,mae,n,fipsCode
osi_target_t01h,simple_average,0.0008339625724494143,0.0004623228110047749,143,18069
osi_target_t01h,tail_protected,0.001023049361312369,0.0005242800924774474,143,18069
osi_target_t01h,v1.8_rule,0.0038879578638369265,0.0015674088078421714,143,18071
osi_target_t01h,simple_average,0.003485980617128485,0.0013617709956969194,143,18071
osi_target_t01h,tail_protected,0.0038879578638369265,0.0015674088078421714,143,18071
osi_target_t01h,v1.8_rule,0.0038453592997056475,0.0022962742464135923,143,18073
osi_target_t01h,simple_average,0.0025625281891845254,0.0015030722413386824,143,18073
osi_target_t01h,tail_protected,0.0038453592997056475,0.0022962742464135923,143,18073
osi_target_t01h,v1.8_rule,0.004929562191929267,0.0014831180534448493,143,18077
osi_target_t01h,simple_average,0.004981895672742978,0.0014928312414354077,143,18077
osi_target_t01h,tail_protected,0.004929562191929267,0.0014831180534448493,143,18077
osi_target_t01h,v1.8_rule,0.0034568296485317208,0.0016421378148241575,143,18083
osi_target_t01h,simple_average,0.0028336940136632093,0.0013867030338625321,143,18083
osi_target_t01h,tail_protected,0.0034568296485317208,0.0016421378148241575,143,18083
osi_target_t01h,v1.8_rule,0.005056687402420574,0.004204315260127714,143,18085
osi_target_t01h,simple_average,0.0025882277620727897,0.0017339686578048063,143,18085
osi_target_t01h,tail_protected,0.005056687402420574,0.004204315260127714,143,18085
osi_target_t01h,v1.8_rule,0.0021615899449078362,0.0018853369478732376,143,18087
osi_target_t01h,simple_average,0.001994897176847069,0.0015022950337166643,143,18087
osi_target_t01h,tail_protected,0.0021615899449078362,0.0018853369478732376,143,18087
osi_target_t01h,v1.8_rule,0.0026712293624575147,0.0018339929669580531,143,18089
osi_target_t01h,simple_average,0.0024896964471179265,0.0015474373349156033,143,18089
osi_target_t01h,tail_protected,0.0026712293624575147,0.0018339929669580531,143,18089
osi_target_t01h,v1.8_rule,0.0013944006555708939,0.0007375877262966362,143,18091
osi_target_t01h,simple_average,0.0015944806749876492,0.0008163044069142894,143,18091
osi_target_t01h,tail_protected,0.0013944006555708939,0.0007375877262966362,143,18091
osi_target_t01h,v1.8_rule,0.008223329131699986,0.002994469619469941,143,18093
osi_target_t01h,simple_average,0.00799273008224874,0.002471814657572582,143,18093
osi_target_t01h,tail_protected,0.008223329131699986,0.002994469619469941,143,18093
osi_target_t01h,v1.8_rule,0.001412298415633452,0.0006169881587107985,143,18095
osi_target_t01h,simple_average,0.0013942925853083078,0.0006168980626898071,143,18095
osi_target_t01h,tail_protected,0.001412298415633452,0.0006169881587107985,143,18095
osi_target_t01h,v1.8_rule,0.001080180835511008,0.0007810509126245942,143,18097
osi_target_t01h,simple_average,0.0007165610517048146,0.00033022757218350364,143,18097
osi_target_t01h,tail_protected,0.001080180835511008,0.0007810509126245942,143,18097
osi_target_t01h,v1.8_rule,0.008840949437548191,0.0029107584026109154,143,18099
osi_target_t01h,simple_average,0.008826206389877094,0.002923360100908899,143,18099
osi_target_t01h,tail_protected,0.008840949437548191,0.0029107584026109154,143,18099
osi_target_t01h,v1.8_rule,0.003646040799733803,0.002034911924773349,143,18101
osi_target_t01h,simple_average,0.003626130732228508,0.0017907868310180453,143,18101
osi_target_t01h,tail_protected,0.003646040799733803,0.002034911924773349,143,18101
osi_target_t01h,v1.8_rule,0.0027643022924597896,0.0014686671602694454,143,18103
osi_target_t01h,simple_average,0.0024305381388670983,0.001206793883255469,143,18103
osi_target_t01h,tail_protected,0.0027643022924597896,0.0014686671602694454,143,18103
osi_target_t01h,v1.8_rule,0.0023654030760844134,0.0007808166058306349,143,18105
osi_target_t01h,simple_average,0.002090242515766345,0.0006630830069512182,143,18105
osi_target_t01h,tail_protected,0.0023654030760844134,0.0007808166058306349,143,18105
osi_target_t01h,v1.8_rule,0.0012366470520467777,0.0009406749869157291,143,18107
osi_target_t01h,simple_average,0.0009939010533845125,0.0005049690061704297,143,18107
osi_target_t01h,tail_protected,0.0012366470520467777,0.0009406749869157291,143,18107
osi_target_t01h,v1.8_rule,0.003056950827239221,0.0012226539763625021,143,18109
osi_target_t01h,simple_average,0.0022534369829535824,0.0008565486949948141,143,18109
osi_target_t01h,tail_protected,0.003056950827239221,0.0012226539763625021,143,18109
osi_target_t01h,v1.8_rule,0.004517947818473106,0.0029154339216381996,143,18111
osi_target_t01h,simple_average,0.003438930405352252,0.0021402185045170676,143,18111
osi_target_t01h,tail_protected,0.004517947818473106,0.0029154339216381996,143,18111
osi_target_t01h,v1.8_rule,0.0013066662521584727,0.001017379574501859,143,18113
osi_target_t01h,simple_average,0.0011812639008288506,0.0007081738633964121,143,18113
osi_target_t01h,tail_protected,0.0013066662521584727,0.001017379574501859,143,18113
osi_target_t01h,v1.8_rule,0.013171857021286705,0.0037108006861820133,143,18117
osi_target_t01h,simple_average,0.013556530552978549,0.0038223947676577765,143,18117
osi_target_t01h,tail_protected,0.013171857021286705,0.0037108006861820133,143,18117
osi_target_t01h,v1.8_rule,0.025091486309344924,0.00951951730480912,143,18121
osi_target_t01h,simple_average,0.025232422804849525,0.008782243285606305,143,18121
osi_target_t01h,tail_protected,0.025091486309344924,0.00951951730480912,143,18121
osi_target_t01h,v1.8_rule,0.00396455876130211,0.0016919338245123695,143,18123
osi_target_t01h,simple_average,0.0040803511185079685,0.0018385793272023738,143,18123
osi_target_t01h,tail_protected,0.00396455876130211,0.0016919338245123695,143,18123
osi_target_t01h,v1.8_rule,0.002780910693090914,0.0009495308693191059,143,18125
