horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t24h,simple_average,0.004775976137731798,0.0019304176188979646,5760,0,0.004676006104653076,2.1379363251737837,False
osi_target_t24h,tail_protected,0.004547115912935345,0.001882336260677331,5760,0,0.004676006104653076,-2.756416241404658,True
osi_target_t24h,v1.8_rule,0.008690387584105909,0.003610778243058664,5640,1,0.008690387584105909,0.0,False
osi_target_t24h,simple_average,0.008294303493196799,0.00256520041628537,5640,1,0.008690387584105909,-4.557726419860941,True
osi_target_t24h,tail_protected,0.008263032601321604,0.0025469453473298403,5640,1,0.008690387584105909,-4.9175595294035706,True
osi_target_t24h,v1.8_rule,0.012820869372120618,0.0038387573473299555,5760,2,0.012820869372120618,0.0,False
osi_target_t24h,simple_average,0.012891396898836789,0.003568290861028036,5760,2,0.012820869372120618,0.5500994095574807,False
osi_target_t24h,tail_protected,0.012661692112489091,0.0036515297094518776,5760,2,0.012820869372120618,-1.2415480964002468,True
osi_target_t24h,v1.8_rule,0.005827216074762783,0.0026500630695669306,5760,3,0.005827216074762783,0.0,False
osi_target_t24h,simple_average,0.00637181492864715,0.0026346333162721998,5760,3,0.005827216074762783,9.34578101956749,False
osi_target_t24h,tail_protected,0.00582143408872206,0.0024798964271421945,5760,3,0.005827216074762783,-0.09922381402268643,True
osi_target_t24h,v1.8_rule,0.007410450047646712,0.0024700706125642463,5760,4,0.007410450047646712,0.0,False
osi_target_t24h,simple_average,0.007512320696404687,0.002355254110042827,5760,4,0.007410450047646712,1.3746890958441282,False
osi_target_t24h,tail_protected,0.007334385371080194,0.002321535491945628,5760,4,0.007410450047646712,-1.0264515120869566,True
osi_target_t48h,v1.8_rule,0.003637505972180902,0.0016125080878000183,4608,0,0.003637505972180902,0.0,False
osi_target_t48h,simple_average,0.0035446868158432797,0.0014304298296718664,4608,0,0.003637505972180902,-2.551725194336152,True
osi_target_t48h,tail_protected,0.003539081885677486,0.0014438742657880853,4608,0,0.003637505972180902,-2.7058123685884894,True
osi_target_t48h,v1.8_rule,0.005771282327149259,0.0025272190094480502,4512,1,0.005771282327149259,0.0,False
osi_target_t48h,simple_average,0.005655486491167629,0.0017499895444291684,4512,1,0.005771282327149259,-2.0064143359770137,True
osi_target_t48h,tail_protected,0.005640082137699659,0.001741807681507056,4512,1,0.005771282327149259,-2.273328213946635,True
osi_target_t48h,v1.8_rule,0.012997021644656546,0.00326727110669638,4608,2,0.012997021644656546,0.0,False
osi_target_t48h,simple_average,0.013385173955111023,0.0032383756581827005,4608,2,0.012997021644656546,2.986471216765718,False
osi_target_t48h,tail_protected,0.01296807009821058,0.003224491123350797,4608,2,0.012997021644656546,-0.2227552376037556,True
osi_target_t48h,v1.8_rule,0.004975131815818199,0.0020181512944894894,4608,3,0.004975131815818199,0.0,False
osi_target_t48h,simple_average,0.004980209327799056,0.0018973507776622195,4608,3,0.004975131815818199,0.10205783824086545,False
osi_target_t48h,tail_protected,0.004992649684802682,0.0018993291074240392,4608,3,0.004975131815818199,0.3521086401929052,False
osi_target_t48h,v1.8_rule,0.006897809540513561,0.0021127583284630555,4608,4,0.006897809540513561,0.0,False
osi_target_t48h,simple_average,0.0068830066435327,0.0018964495172484944,4608,4,0.006897809540513561,-0.21460286622757563,True
osi_target_t48h,tail_protected,0.006861674057187713,0.0019289553211435631,4608,4,0.006897809540513561,-0.5238689632355076,True
