cv_seed,pair,candidate,reference,horizon,target_day,n,rmse,mae,sse,sae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
20260918,I1_minus_B0,I1,B0,24,2026-03-16,5736,0.009239409684687764,0.004385579719601539,0.4896633414201357,25.155685271634425,0.00016389195169664997,0.009239409684687764,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,2026-03-17,5736,0.00852108864421808,0.0032535578368341886,0.4164849468515216,18.662407752080906,-0.00016027856154175044,0.00852108864421808,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,2026-03-18,5736,0.005700985706547104,0.0008303943755798094,0.18642710131859516,4.763142138325787,7.971962619000604e-05,0.005700985706547104,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,24,2026-03-19,5736,0.001891250968945485,0.00038542235918187647,0.020516698185153587,2.2107826522672434,6.902788973881544e-05,0.001891250968945485,0.0,0.0,0.0
20260918,I1_minus_B0,I1,B0,48,2026-03-16,5736,0.00927288199344624,0.004099853352408336,0.4932176489036809,23.51675882941421,-0.00021054149785129105,0.00938283107875312,-0.00010994908530687943,-1.1718114115456313,0.011765560380973983
20260918,I1_minus_B0,I1,B0,48,2026-03-17,5736,0.009416383954402644,0.0033467577979334026,0.5086012929513324,19.197002728945996,-0.00038668555168221483,0.009510544607851758,-9.416065344911365e-05,-0.9900658409338181,0.010222538369480838
20260918,I1_minus_B0,I1,B0,48,2026-03-18,5736,0.0057493067220419115,0.0007931056965340136,0.18960077136969117,4.549254275319102,-9.873429878270908e-06,0.005777937295531412,-2.8630573489500655e-05,-0.49551547594057777,0.0018930612976173766
20260918,I1_minus_B0,I1,B0,48,2026-03-19,5736,0.0024940060921565033,0.00038429880708523815,0.03567830079992609,2.204337957440926,4.866421852177923e-05,0.002518288602800555,-2.428251064405182e-05,-0.9642465369953057,0.0006981348654782199
20260918,I3_minus_B0,I3,B0,1,2026-03-14,5497,0.0194691842354253,0.006152487388519108,2.0836330939567533,33.82022317468954,-0.0004283986595843238,0.0194691842354253,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,2026-03-15,5736,0.010719143393607489,0.00472218613855312,0.6590666012918367,27.086459690740696,-0.00017488376019428746,0.010719143393607489,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,2026-03-16,5736,0.00886352223086003,0.004231383391412293,0.45063178306874485,24.271215133140913,0.0002917806653443989,0.00886352223086003,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,2026-03-17,5736,0.008495589056218732,0.0032088541195165834,0.4139959916520551,18.405987229547122,-0.0001734273707099576,0.008495589056218732,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,2026-03-18,5736,0.005609964627946924,0.0008198166313660505,0.18052168913541466,4.702468197515666,6.691271237164087e-05,0.005609964627946924,0.0,0.0,0.0
20260918,I3_minus_B0,I3,B0,1,2026-03-19,5736,0.0018379112261636078,0.00036201558574552525,0.019375735785281126,2.076521399836333,4.4570224295826095e-05,0.0018379112261636078,0.0,0.0,0.0
