model,fipsCode,outer_fold,horizon,rmse,mae,n,sse,sae,evaluation_status
B4_gru_no_future,18145,4,osi_target_t01h,0.0013280874099471341,0.0004900083180078976,143,0.00025222572730854154,0.07007119059562683,strict_nested_cv
B4_gru_no_future,18147,0,osi_target_t01h,0.001825311011680085,0.0006928497126470059,143,0.00047644172445870936,0.099077507853508,strict_nested_cv
B4_gru_no_future,18149,3,osi_target_t01h,0.00611495179196286,0.004112013693922525,143,0.0053471471183001995,0.5880179405212402,strict_nested_cv
B4_gru_no_future,18151,1,osi_target_t01h,0.011307497032337088,0.008426300106204597,143,0.0182839073240757,1.2049609422683716,strict_nested_cv
B4_gru_no_future,18153,3,osi_target_t01h,0.0020737882463949062,0.0007895646514851352,143,0.0006149854743853211,0.11290774494409561,strict_nested_cv
B4_gru_no_future,18155,4,osi_target_t01h,0.0029128934271256055,0.0010422925250905962,143,0.0012133476557210088,0.1490478366613388,strict_nested_cv
B4_gru_no_future,18157,1,osi_target_t01h,0.001015335244989423,0.00039105117137843445,143,0.0001474195159971714,0.0559203177690506,strict_nested_cv
B4_gru_no_future,18159,0,osi_target_t01h,0.004093840116207453,0.0016479580978605688,143,0.0023966121952980757,0.23565801978111267,strict_nested_cv
B4_gru_no_future,18161,0,osi_target_t01h,0.0027126392404497545,0.0014784737623221782,143,0.0010522528318688273,0.21142175793647766,strict_nested_cv
B4_gru_no_future,18163,4,osi_target_t01h,0.0007121362957741338,0.0003637345828290156,143,7.25207501091063e-05,0.05201404541730881,strict_nested_cv
B4_gru_no_future,18165,4,osi_target_t01h,0.013840131884127495,0.0033105381329847547,143,0.027391543611884117,0.47340694069862366,strict_nested_cv
B4_gru_no_future,18167,3,osi_target_t01h,0.0014441998469624877,0.000563392921041948,143,0.0002982569858431816,0.0805651843547821,strict_nested_cv
B4_gru_no_future,18169,3,osi_target_t01h,0.0016441085650213496,0.0006127055031528299,143,0.00038654229138046503,0.08761688321828842,strict_nested_cv
B4_gru_no_future,18171,0,osi_target_t01h,0.004022282178203861,0.0017271543426298328,143,0.002313561737537384,0.24698308110237122,strict_nested_cv
B4_gru_no_future,18173,3,osi_target_t01h,0.0012903835770043557,0.0004870745190989122,143,0.00023810785205569118,0.06965164840221405,strict_nested_cv
B4_gru_no_future,18175,4,osi_target_t01h,0.00394564810213353,0.001175031430247546,143,0.0022262437269091606,0.16802950203418732,strict_nested_cv
B4_gru_no_future,18177,1,osi_target_t01h,0.0017583616513494346,0.000940048911088143,143,0.0004421324993018061,0.13442698121070862,strict_nested_cv
B4_gru_no_future,18179,0,osi_target_t01h,0.004574962746539206,0.0014202220052895072,143,0.002993030706420541,0.20309172570705414,strict_nested_cv
B4_gru_no_future,18181,2,osi_target_t01h,0.0021429913709149796,0.0009795703366113878,143,0.0006567149539478123,0.14007854461669922,strict_nested_cv
B4_gru_no_future,18183,1,osi_target_t01h,0.002784848190823289,0.0008303706302800886,143,0.0011090192710980773,0.11874300241470337,strict_nested_cv
B4_gru_no_future,39017,1,osi_target_t01h,0.0007601146158961568,0.00028996883124850654,143,8.262170740636066e-05,0.04146554321050644,strict_nested_cv
B4_gru_no_future,39023,1,osi_target_t01h,0.0033069156496483066,0.0018750389846989403,143,0.001563803874887526,0.2681306004524231,strict_nested_cv
B4_gru_no_future,39025,1,osi_target_t01h,0.0017452638103238984,0.000610740378481121,143,0.0004355702258180827,0.08733586966991425,strict_nested_cv
B4_gru_no_future,39027,0,osi_target_t01h,0.0012103622158360853,0.0005947945929410008,143,0.00020949164172634482,0.08505561947822571,strict_nested_cv
B4_gru_no_future,39029,2,osi_target_t01h,0.010629010456194132,0.005761003531883976,143,0.01615554839372635,0.8238235116004944,strict_nested_cv
B4_gru_no_future,39031,2,osi_target_t01h,0.011970660103343822,0.007737379814510338,143,0.020491428673267365,1.1064451932907104,strict_nested_cv
B4_gru_no_future,39033,4,osi_target_t01h,0.005867730421657106,0.00291156601329689,143,0.004923527128994465,0.41635391116142273,strict_nested_cv
B4_gru_no_future,39035,4,osi_target_t01h,0.005792350662619549,0.003970113818639958,143,0.004797839093953371,0.5677263140678406,strict_nested_cv
B4_gru_no_future,39037,0,osi_target_t01h,0.002229696762433131,0.0011192536412700002,143,0.0007109313155524433,0.16005326807498932,strict_nested_cv
B4_gru_no_future,39039,1,osi_target_t01h,0.009648953801686844,0.005267609940728635,143,0.013313629664480686,0.7532681822776794,strict_nested_cv
B4_gru_no_future,39045,2,osi_target_t01h,0.004593290412867257,0.0026888352599694276,143,0.0030170592945069075,0.38450345396995544,strict_nested_cv
B4_gru_no_future,39049,1,osi_target_t01h,0.005347220709968071,0.0026516232001403887,143,0.004088765941560268,0.3791821599006653,strict_nested_cv
B4_gru_no_future,39051,2,osi_target_t01h,0.003711985419442731,0.0020517886572939156,143,0.0019703733269125223,0.29340580105781555,strict_nested_cv
B4_gru_no_future,39053,4,osi_target_t01h,0.0026169708057951105,0.0009552955839003866,143,0.000979340635240078,0.13660725951194763,strict_nested_cv
B4_gru_no_future,39055,0,osi_target_t01h,0.014238297459372965,0.00638165343772633,143,0.028990263119339943,0.91257643699646,strict_nested_cv
B4_gru_no_future,39059,0,osi_target_t01h,0.015217406560735582,0.008815589535566637,143,0.03311443328857422,1.2606292963027954,strict_nested_cv
B4_gru_no_future,39061,2,osi_target_t01h,0.001385294054224717,0.0006789766973836211,143,0.00027442266582511365,0.09709365665912628,strict_nested_cv
B4_gru_no_future,39063,0,osi_target_t01h,0.00234075945781852,0.0013776897342156755,143,0.0007835191790945828,0.1970096230506897,strict_nested_cv
B4_gru_no_future,39065,3,osi_target_t01h,0.0027865946955760363,0.0015772961290110344,143,0.0011104107834398746,0.22555334866046906,strict_nested_cv
B4_gru_no_future,39069,0,osi_target_t01h,0.0025580612071134066,0.0011305840278102957,143,0.0009357458329759538,0.16167351603507996,strict_nested_cv
B4_gru_no_future,39073,2,osi_target_t01h,0.004628660248420192,0.0032916877209534542,143,0.003063702955842018,0.470711350440979,strict_nested_cv
B4_gru_no_future,39075,3,osi_target_t01h,0.013242480866074085,0.006805663050695362,143,0.02507695183157921,0.973209798336029,strict_nested_cv
B4_gru_no_future,39077,1,osi_target_t01h,0.004802571403237845,0.0028587317732150564,143,0.0032982511911541224,0.4087986350059509,strict_nested_cv
B4_gru_no_future,39081,4,osi_target_t01h,0.012334352296579563,0.0068472761783335305,143,0.021755483001470566,0.979160487651825,strict_nested_cv
B4_gru_no_future,39085,2,osi_target_t01h,0.002060001657717577,0.001088235658498634,143,0.0006068357615731657,0.15561769902706146,strict_nested_cv
B4_gru_no_future,39087,3,osi_target_t01h,0.003652918644315049,0.001302580498431653,143,0.0019081655191257596,0.18626901507377625,strict_nested_cv
B4_gru_no_future,39089,1,osi_target_t01h,0.025745485941531903,0.011854382127373221,143,0.0947846919298172,1.6951767206192017,strict_nested_cv
B4_gru_no_future,39091,3,osi_target_t01h,0.014467955241696221,0.010014205718501732,143,0.029933005571365356,1.432031273841858,strict_nested_cv
B4_gru_no_future,39093,3,osi_target_t01h,0.0034204474977097116,0.0017316225284003894,143,0.0016730229835957289,0.24762201309204102,strict_nested_cv
B4_gru_no_future,39095,1,osi_target_t01h,0.0025316745861708313,0.0015617915172939079,143,0.0009165407391265035,0.22333617508411407,strict_nested_cv
B4_gru_no_future,39097,4,osi_target_t01h,0.010239793703169414,0.0036876890030884918,143,0.014994032680988312,0.527339518070221,strict_nested_cv
B4_gru_no_future,39099,0,osi_target_t01h,0.002297782469762831,0.0013587075778445183,143,0.000755012035369873,0.19429518282413483,strict_nested_cv
B4_gru_no_future,39101,0,osi_target_t01h,0.007341926624805918,0.0056261525444513015,143,0.007708256132900715,0.8045397400856018,strict_nested_cv
B4_gru_no_future,39103,4,osi_target_t01h,0.00629395599930022,0.003975061830918799,143,0.005664784926921129,0.5684338212013245,strict_nested_cv
B4_gru_no_future,39105,1,osi_target_t01h,0.0034668719987945113,0.00185779489738007,143,0.0017187457997351885,0.265664666891098,strict_nested_cv
B4_gru_no_future,39107,3,osi_target_t01h,0.025669024735739933,0.013558228983758734,143,0.0942225307226181,1.9388269186019897,strict_nested_cv
B4_gru_no_future,39109,1,osi_target_t01h,0.0019733737344984816,0.0011543044713578168,143,0.0005568711785599589,0.16506554186344147,strict_nested_cv
B4_gru_no_future,39111,2,osi_target_t01h,0.024710216935509788,0.012980039260328594,143,0.08731506019830704,1.8561455011367798,strict_nested_cv
B4_gru_no_future,39113,4,osi_target_t01h,0.0013636846320021967,0.0006852213468242248,143,0.00026592789799906313,0.09798665344715118,strict_nested_cv
B4_gru_no_future,39115,2,osi_target_t01h,0.03170198010546844,0.006656399126762159,143,0.1437172144651413,0.9518650770187378,strict_nested_cv
B4_gru_no_future,39117,4,osi_target_t01h,0.05225842016758515,0.020941221414667543,143,0.3905247449874878,2.9945945739746094,strict_nested_cv
B4_gru_no_future,39119,1,osi_target_t01h,0.028618227735897412,0.01967310070924557,143,0.11711742728948593,2.813253402709961,strict_nested_cv
B4_gru_no_future,39121,1,osi_target_t01h,0.008959831369693624,0.005278250138833793,143,0.011479835957288742,0.7547898292541504,strict_nested_cv
B4_gru_no_future,39123,0,osi_target_t01h,0.001694995724639441,0.0007121242515431795,143,0.00041084049735218287,0.1018337681889534,strict_nested_cv
B4_gru_no_future,39125,1,osi_target_t01h,0.022293900965688753,0.011984718255090147,143,0.07107357680797577,1.7138147354125977,strict_nested_cv
B4_gru_no_future,39127,0,osi_target_t01h,0.01240904090926811,0.007302390764100262,143,0.022019755095243454,1.0442417860031128,strict_nested_cv
B4_gru_no_future,39129,2,osi_target_t01h,0.0012343216727946772,0.0005719005490976411,143,0.00021786765137221664,0.0817817747592926,strict_nested_cv
B4_gru_no_future,39131,3,osi_target_t01h,0.0053541062041699205,0.002071730144656918,143,0.004099303390830755,0.2962574362754822,strict_nested_cv
B4_gru_no_future,39133,0,osi_target_t01h,0.005314974480157432,0.0031088667138564315,143,0.004039600491523743,0.4445679187774658,strict_nested_cv
B4_gru_no_future,39135,0,osi_target_t01h,0.005546890391771014,0.0027748531775086648,143,0.004399823024868965,0.39680397510528564,strict_nested_cv
B4_gru_no_future,39137,0,osi_target_t01h,0.012688948868314688,0.005885787167683263,143,0.02302434854209423,0.8416675925254822,strict_nested_cv
B4_gru_no_future,39139,2,osi_target_t01h,0.011926274327483983,0.008784087727614028,143,0.02033974975347519,1.256124496459961,strict_nested_cv
B4_gru_no_future,39141,3,osi_target_t01h,0.002254031176377064,0.0014563006190363304,143,0.0007265338790602982,0.2082509845495224,strict_nested_cv
B4_gru_no_future,39143,4,osi_target_t01h,0.0016989777004092852,0.0010878517801960494,143,0.00041277307900600135,0.15556281805038452,strict_nested_cv
B4_gru_no_future,39145,3,osi_target_t01h,0.0012665408051759205,0.0006495615895031593,143,0.00022938997426535934,0.09288731217384338,strict_nested_cv
B4_gru_no_future,39147,4,osi_target_t01h,0.0015921434967271363,0.000949559187778301,143,0.0003624937089625746,0.1357869654893875,strict_nested_cv
B4_gru_no_future,39149,3,osi_target_t01h,0.018608192004797883,0.010335128740843066,143,0.049515873193740845,1.4779235124588013,strict_nested_cv
B4_gru_no_future,39151,4,osi_target_t01h,0.0034497486338010736,0.0017997369026603223,143,0.0017018094658851624,0.25736239552497864,strict_nested_cv
B4_gru_no_future,39153,0,osi_target_t01h,0.0060332231739035555,0.0024684306881427144,143,0.005205168388783932,0.35298559069633484,strict_nested_cv
B4_gru_no_future,39155,1,osi_target_t01h,0.004229674455355284,0.0014603633255090473,143,0.0025582907255738974,0.20883196592330933,strict_nested_cv
B4_gru_no_future,39157,2,osi_target_t01h,0.02310100002926015,0.016427757862020755,143,0.0763128325343132,2.3491692543029785,strict_nested_cv
B4_gru_no_future,39159,3,osi_target_t01h,0.008703430285677967,0.004667568084632431,143,0.010832206346094608,0.6674622297286987,strict_nested_cv
B4_gru_no_future,39161,3,osi_target_t01h,0.006773692389282894,0.003417308211448306,143,0.006561256013810635,0.4886750876903534,strict_nested_cv
B4_gru_no_future,39163,2,osi_target_t01h,0.0032103305391513325,0.00198598566925653,143,0.0014737898018211126,0.28399592638015747,strict_nested_cv
B4_gru_no_future,39165,2,osi_target_t01h,0.0010645819900056276,0.0005701806191603288,143,0.0001620668772375211,0.08153583109378815,strict_nested_cv
B4_gru_no_future,39167,4,osi_target_t01h,0.0029753933877515884,0.0013049652686906764,143,0.001265974249690771,0.18661004304885864,strict_nested_cv
B4_gru_no_future,39169,4,osi_target_t01h,0.01159930066479912,0.0058683257228841395,143,0.0192397590726614,0.8391705751419067,strict_nested_cv
B4_gru_no_future,39171,3,osi_target_t01h,0.013981032585133927,0.008261604092313446,143,0.027952106669545174,1.1814093589782715,strict_nested_cv
B4_gru_no_future,39173,1,osi_target_t01h,0.006418230698237299,0.004782089941981867,143,0.005890697240829468,0.6838389039039612,strict_nested_cv
B4_gru_no_future,39175,2,osi_target_t01h,0.002802160117067708,0.0017881455066592687,143,0.0011228505754843354,0.2557048201560974,strict_nested_cv
B4_gru_no_future,42005,3,osi_target_t01h,0.016891513927745,0.009864519873590834,143,0.04080122709274292,1.4106262922286987,strict_nested_cv
B4_gru_no_future,42007,0,osi_target_t01h,0.010734697154558305,0.006449451433353035,143,0.016478421166539192,0.9222715497016907,strict_nested_cv
B4_gru_no_future,42009,0,osi_target_t01h,0.008098381535545204,0.005503743868172609,143,0.009378480724990368,0.787035346031189,strict_nested_cv
B4_gru_no_future,42013,0,osi_target_t01h,0.001686305114417849,0.0010452811776475585,143,0.0004066383698955178,0.14947521686553955,strict_nested_cv
B4_gru_no_future,42015,4,osi_target_t01h,0.0038451747706766764,0.002410304200967002,143,0.002114307601004839,0.3446734845638275,strict_nested_cv
B4_gru_no_future,42019,1,osi_target_t01h,0.003904097590875086,0.0023894824344160887,143,0.002179602859541774,0.34169599413871765,strict_nested_cv
B4_gru_no_future,42021,2,osi_target_t01h,0.01424503859665023,0.005724228525905092,143,0.029017718508839607,0.8185646533966064,strict_nested_cv
B4_gru_no_future,42023,2,osi_target_t01h,0.00904626980056735,0.004335117222186849,143,0.011702403426170349,0.6199218034744263,strict_nested_cv
B4_gru_no_future,42025,1,osi_target_t01h,0.0009066973489143872,0.00045265870569135435,143,0.0001175603101728484,0.0647301971912384,strict_nested_cv
B4_gru_no_future,42027,0,osi_target_t01h,0.0014895293663828365,0.000983812116714149,143,0.0003172737779095769,0.14068514108657837,strict_nested_cv
B4_gru_no_future,42029,1,osi_target_t01h,0.010783214391377647,0.0048379964662583095,143,0.016627710312604904,0.6918336153030396,strict_nested_cv
B4_gru_no_future,42031,4,osi_target_t01h,0.011981793911146295,0.006830394590569422,143,0.02052956260740757,0.9767464399337769,strict_nested_cv
B4_gru_no_future,42033,2,osi_target_t01h,0.005166618045403704,0.0036140160446447626,143,0.0038172337226569653,0.5168043375015259,strict_nested_cv
B4_gru_no_future,42035,3,osi_target_t01h,0.0053739122367434805,0.0033555216567266823,143,0.004129687789827585,0.47983959317207336,strict_nested_cv
B4_gru_no_future,42039,1,osi_target_t01h,0.013788663226696356,0.0070111906792768245,143,0.027188193053007126,1.0026001930236816,strict_nested_cv
B4_gru_no_future,42041,3,osi_target_t01h,0.0021516897008863334,0.0010274699842821892,143,0.0006620569620281458,0.14692820608615875,strict_nested_cv
B4_gru_no_future,42043,0,osi_target_t01h,0.0013935746972730137,0.0009028040107410447,143,0.0002777132031042129,0.1291009783744812,strict_nested_cv
B4_gru_no_future,42045,2,osi_target_t01h,0.001933721780536569,0.0008236295272416265,143,0.0005347169935703278,0.11777901649475098,strict_nested_cv
B4_gru_no_future,42047,4,osi_target_t01h,0.013862874151411866,0.005377829297564979,143,0.02748163416981697,0.7690295577049255,strict_nested_cv
B4_gru_no_future,42049,0,osi_target_t01h,0.007573334515486355,0.004106391041777325,143,0.008201821707189083,0.587213933467865,strict_nested_cv
B4_gru_no_future,42051,4,osi_target_t01h,0.003398483546240394,0.002484655553365934,143,0.0016516057075932622,0.3553057610988617,strict_nested_cv
B4_gru_no_future,42053,3,osi_target_t01h,0.09581189684497372,0.03527667699788756,143,1.3127284049987793,5.044564247131348,strict_nested_cv
B4_gru_no_future,42055,1,osi_target_t01h,0.0009428664477572512,0.0005077445685519133,143,0.00012712657917290926,0.07260747253894806,strict_nested_cv
B4_gru_no_future,42057,4,osi_target_t01h,0.0026371000732970475,0.0016568134036839132,143,0.0009944643825292587,0.23692432045936584,strict_nested_cv
