fipsCode,stateAbbr,countyName,county_key,State,n_utilities,eia_county_names,old_n_utilities,changed
18101,IN,Martin,martin,IN,6,Martin,6,False
18103,IN,Miami,miami,IN,6,Miami,11,True
18105,IN,Monroe,monroe,IN,5,Monroe,14,True
18107,IN,Montgomery,montgomery,IN,10,Montgomery,19,True
18109,IN,Morgan,morgan,IN,6,Morgan,10,True
18111,IN,Newton,newton,IN,3,Newton,3,False
18113,IN,Noble,noble,IN,7,Noble,11,True
18115,IN,Ohio,ohio,IN,3,Ohio,4,True
18117,IN,Orange,orange,IN,4,Orange,4,False
18119,IN,Owen,owen,IN,4,Owen,4,False
18121,IN,Parke,parke,IN,4,Parke,4,False
18123,IN,Perry,perry,IN,5,Perry,12,True
18125,IN,Pike,pike,IN,5,Pike,14,True
18127,IN,Porter,porter,IN,3,Porter,3,False
18129,IN,Posey,posey,IN,3,Posey,3,False
18131,IN,Pulaski,pulaski,IN,6,Pulaski,6,False
18133,IN,Putnam,putnam,IN,7,Putnam,14,True
18135,IN,Randolph,randolph,IN,5,Randolph,6,True
18137,IN,Ripley,ripley,IN,3,Ripley,3,False
18139,IN,Rush,rush,IN,6,Rush,6,False
18141,IN,St. Joseph,stjoseph,IN,8,St Joseph,1,True
18143,IN,Scott,scott,IN,4,Scott,4,False
18145,IN,Shelby,shelby,IN,5,Shelby,11,True
18147,IN,Spencer,spencer,IN,4,Spencer,4,False
18149,IN,Starke,starke,IN,5,Starke,5,False
18151,IN,Steuben,steuben,IN,5,Steuben,5,False
18153,IN,Sullivan,sullivan,IN,4,Sullivan,8,True
18155,IN,Switzerland,switzerland,IN,3,Switzerland,3,False
18157,IN,Tippecanoe,tippecanoe,IN,4,Tippecanoe,4,False
18159,IN,Tipton,tipton,IN,4,Tipton,4,False
18161,IN,Union,union,IN,2,Union,12,True
18163,IN,Vanderburgh,vanderburgh,IN,1,Vanderburgh,1,False
18165,IN,Vermillion,vermillion,IN,2,Vermillion,2,False
18167,IN,Vigo,vigo,IN,4,Vigo,4,False
18169,IN,Wabash,wabash,IN,6,Wabash,6,False
18171,IN,Warren,warren,IN,4,Warren,10,True
18173,IN,Warrick,warrick,IN,4,Warrick,4,False
18175,IN,Washington,washington,IN,5,Washington,8,True
18177,IN,Wayne,wayne,IN,7,Wayne,16,True
18179,IN,Wells,wells,IN,4,Wells,4,False
18181,IN,White,white,IN,8,White,8,False
18183,IN,Whitley,whitley,IN,8,Whitley,8,False
39001,OH,Adams,adams,OH,4,Adams,10,True
39003,OH,Allen,allen,OH,5,Allen,9,True
39005,OH,Ashland,ashland,OH,6,Ashland,6,False
39007,OH,Ashtabula,ashtabula,OH,2,Ashtabula,2,False
39009,OH,Athens,athens,OH,4,Athens,4,False
39011,OH,Auglaize,auglaize,OH,12,Auglaize,12,False
39013,OH,Belmont,belmont,OH,3,Belmont,3,False
39015,OH,Brown,brown,OH,7,Brown,11,True
39017,OH,Butler,butler,OH,4,Butler,7,True
39019,OH,Carroll,carroll,OH,4,Carroll,9,True
39021,OH,Champaign,champaign,OH,4,Champaign,4,False
39023,OH,Clark,clark,OH,5,Clark,9,True
39025,OH,Clermont,clermont,OH,3,Clermont,3,False
39027,OH,Clinton,clinton,OH,4,Clinton,12,True
39029,OH,Columbiana,columbiana,OH,4,Columbiana,4,False
39031,OH,Coshocton,coshocton,OH,6,Coshocton,6,False
39033,OH,Crawford,crawford,OH,5,Crawford,12,True
39035,OH,Cuyahoga,cuyahoga,OH,3,Cuyahoga,3,False
39037,OH,Darke,darke,OH,7,Darke,7,False
39039,OH,Defiance,defiance,OH,4,Defiance,4,False
39041,OH,Delaware,delaware,OH,9,Delaware,14,True
39043,OH,Erie,erie,OH,4,Erie,8,True
39045,OH,Fairfield,fairfield,OH,3,Fairfield,3,False
39047,OH,Fayette,fayette,OH,3,Fayette,10,True
39049,OH,Franklin,franklin,OH,9,Franklin,20,True
39051,OH,Fulton,fulton,OH,4,Fulton,13,True
39053,OH,Gallia,gallia,OH,2,Gallia,2,False
39055,OH,Geauga,geauga,OH,2,Geauga,2,False
39057,OH,Greene,greene,OH,4,Greene,11,True
39059,OH,Guernsey,guernsey,OH,4,Guernsey,4,False
39061,OH,Hamilton,hamilton,OH,2,Hamilton,8,True
39063,OH,Hancock,hancock,OH,5,Hancock,12,True
39065,OH,Hardin,hardin,OH,6,Hardin,6,False
39067,OH,Harrison,harrison,OH,4,Harrison,8,True
39069,OH,Henry,henry,OH,7,Henry,17,True
39071,OH,Highland,highland,OH,4,Highland,4,False
39073,OH,Hocking,hocking,OH,2,Hocking,2,False
39075,OH,Holmes,holmes,OH,4,Holmes,4,False
39077,OH,Huron,huron,OH,8,Huron,8,False
39079,OH,Jackson,jackson,OH,3,Jackson,8,True
39081,OH,Jefferson,jefferson,OH,3,Jefferson,11,True
39083,OH,Knox,knox,OH,6,Knox,10,True
39085,OH,Lake,lake,OH,2,Lake,4,True
39087,OH,Lawrence,lawrence,OH,2,Lawrence,11,True
39089,OH,Licking,licking,OH,7,Licking,7,False
39091,OH,Logan,logan,OH,7,Logan,8,True
39093,OH,Lorain,lorain,OH,8,Lorain,8,False
39095,OH,Lucas,lucas,OH,2,Lucas,2,False
39097,OH,Madison,madison,OH,5,Madison,13,True
39099,OH,Mahoning,mahoning,OH,2,Mahoning,2,False
39101,OH,Marion,marion,OH,6,Marion,10,True
39103,OH,Medina,medina,OH,6,Medina,6,False
39105,OH,Meigs,meigs,OH,2,Meigs,2,False
39107,OH,Mercer,mercer,OH,6,Mercer,11,True
39109,OH,Miami,miami,OH,5,Miami,11,True
39111,OH,Monroe,monroe,OH,4,Monroe,14,True
39113,OH,Montgomery,montgomery,OH,4,Montgomery,19,True
39115,OH,Morgan,morgan,OH,3,Morgan,10,True
39117,OH,Morrow,morrow,OH,5,Morrow,5,False
39119,OH,Muskingum,muskingum,OH,6,Muskingum,6,False
39121,OH,Noble,noble,OH,4,Noble,11,True
39123,OH,Ottawa,ottawa,OH,6,Ottawa,6,False
39125,OH,Paulding,paulding,OH,3,Paulding,3,False
39127,OH,Perry,perry,OH,4,Perry,12,True
39129,OH,Pickaway,pickaway,OH,3,Pickaway,3,False
39131,OH,Pike,pike,OH,6,Pike,14,True
39133,OH,Portage,portage,OH,2,Portage,2,False
39135,OH,Preble,preble,OH,5,Preble,5,False
39137,OH,Putnam,putnam,OH,6,Putnam,14,True
39139,OH,Richland,richland,OH,11,Richland,11,False
39141,OH,Ross,ross,OH,4,Ross,4,False
39143,OH,Sandusky,sandusky,OH,7,Sandusky,7,False
39145,OH,Scioto,scioto,OH,5,Scioto,5,False
39147,OH,Seneca,seneca,OH,7,Seneca,7,False
39149,OH,Shelby,shelby,OH,6,Shelby,11,True
39151,OH,Stark,stark,OH,7,Stark,7,False
39153,OH,Summit,summit,OH,6,Summit,6,False
39155,OH,Trumbull,trumbull,OH,5,Trumbull,5,False
39157,OH,Tuscarawas,tuscarawas,OH,8,Tuscarawas,8,False
39159,OH,Union,union,OH,7,Union,12,True
39161,OH,Van Wert,vanwert,OH,5,Van Wert,5,False
39163,OH,Vinton,vinton,OH,2,Vinton,2,False
39165,OH,Warren,warren,OH,3,Warren,10,True
39167,OH,Washington,washington,OH,2,Washington,8,True
39169,OH,Wayne,wayne,OH,6,Wayne,16,True
39171,OH,Williams,williams,OH,7,Williams,7,False
39173,OH,Wood,wood,OH,14,Wood,15,True
39175,OH,Wyandot,wyandot,OH,8,Wyandot,8,False
42001,PA,Adams,adams,PA,2,Adams,10,True
42003,PA,Allegheny,allegheny,PA,5,Allegheny,5,False
42005,PA,Armstrong,armstrong,PA,4,Armstrong,4,False
42007,PA,Beaver,beaver,PA,3,Beaver,3,False
42009,PA,Bedford,bedford,PA,5,Bedford,5,False
42011,PA,Berks,berks,PA,3,Berks,3,False
42013,PA,Blair,blair,PA,3,Blair,3,False
42015,PA,Bradford,bradford,PA,5,Bradford,5,False
42017,PA,Bucks,bucks,PA,5,Bucks,5,False
42019,PA,Butler,butler,PA,3,Butler,7,True
42021,PA,Cambria,cambria,PA,5,Cambria,5,False
42023,PA,Cameron,cameron,PA,2,Cameron,2,False
42025,PA,Carbon,carbon,PA,3,Carbon,3,False
42027,PA,Centre,centre,PA,4,Centre,4,False
42029,PA,Chester,chester,PA,3,Chester,3,False
42031,PA,Clarion,clarion,PA,3,Clarion,3,False
42033,PA,Clearfield,clearfield,PA,3,Clearfield,3,False
42035,PA,Clinton,clinton,PA,3,Clinton,12,True
42037,PA,Columbia,columbia,PA,2,Columbia,2,False
42039,PA,Crawford,crawford,PA,3,Crawford,12,True
42041,PA,Cumberland,cumberland,PA,3,Cumberland,3,False
42043,PA,Dauphin,dauphin,PA,4,Dauphin,4,False
42045,PA,Delaware,delaware,PA,1,Delaware,14,True
42047,PA,Elk,elk,PA,2,Elk,2,False
42049,PA,Erie,erie,PA,4,Erie,8,True
42051,PA,Fayette,fayette,PA,2,Fayette,10,True
42053,PA,Forest,forest,PA,4,Forest,4,False
42055,PA,Franklin,franklin,PA,5,Franklin,20,True
42057,PA,Fulton,fulton,PA,4,Fulton,13,True
42059,PA,Greene,greene,PA,1,Greene,11,True
42061,PA,Huntingdon,huntingdon,PA,3,Huntingdon,3,False
42063,PA,Indiana,indiana,PA,3,Indiana,3,False
42065,PA,Jefferson,jefferson,PA,3,Jefferson,11,True
42067,PA,Juniata,juniata,PA,3,Juniata,3,False
42069,PA,Lackawanna,lackawanna,PA,4,Lackawanna,4,False
42071,PA,Lancaster,lancaster,PA,3,Lancaster,3,False
42073,PA,Lawrence,lawrence,PA,4,Lawrence,11,True
42075,PA,Lebanon,lebanon,PA,2,Lebanon,2,False
42077,PA,Lehigh,lehigh,PA,2,Lehigh,2,False
42079,PA,Luzerne,luzerne,PA,3,Luzerne,3,False
42081,PA,Lycoming,lycoming,PA,5,Lycoming,5,False
42083,PA,McKean,mckean,PA,3,McKean,3,False
42085,PA,Mercer,mercer,PA,4,Mercer,11,True
42087,PA,Mifflin,mifflin,PA,3,Mifflin,3,False
42089,PA,Monroe,monroe,PA,2,Monroe,14,True
42091,PA,Montgomery,montgomery,PA,5,Montgomery,19,True
42093,PA,Montour,montour,PA,1,Montour,1,False
42095,PA,Northampton,northampton,PA,2,Northampton,2,False
42097,PA,Northumberland,northumberland,PA,3,Northumberland,3,False
42099,PA,Perry,perry,PA,3,Perry,12,True
42101,PA,Philadelphia,philadelphia,PA,2,Philadelphia,2,False
42103,PA,Pike,pike,PA,3,Pike,14,True
42105,PA,Potter,potter,PA,2,Potter,2,False
42107,PA,Schuylkill,schuylkill,PA,3,Schuylkill,3,False
42109,PA,Snyder,snyder,PA,1,Snyder,1,False
42111,PA,Somerset,somerset,PA,5,Somerset,5,False
42113,PA,Sullivan,sullivan,PA,4,Sullivan,8,True
42115,PA,Susquehanna,susquehanna,PA,3,Susquehanna,3,False
42117,PA,Tioga,tioga,PA,4,Tioga,4,False
42119,PA,Union,union,PA,3,Union,12,True
42121,PA,Venango,venango,PA,4,Venango,4,False
42123,PA,Warren,warren,PA,3,Warren,10,True
42125,PA,Washington,washington,PA,1,Washington,8,True
42127,PA,Wayne,wayne,PA,2,Wayne,16,True
42129,PA,Westmoreland,westmoreland,PA,4,Westmoreland,4,False
42131,PA,Wyoming,wyoming,PA,4,Wyoming,6,True
42133,PA,York,york,PA,6,York,6,False
54001,WV,Barbour,barbour,WV,3,Barbour,3,False
54003,WV,Berkeley,berkeley,WV,1,Berkeley,1,False
54005,WV,Boone,boone,WV,1,Boone,10,True
54007,WV,Braxton,braxton,WV,1,Braxton,1,False
54009,WV,Brooke,brooke,WV,2,Brooke,2,False
54011,WV,Cabell,cabell,WV,1,Cabell,1,False
54013,WV,Calhoun,calhoun,WV,1,Calhoun,1,False
54015,WV,Clay,clay,WV,3,Clay,8,True
54017,WV,Doddridge,doddridge,WV,2,Doddridge,2,False
54019,WV,Fayette,fayette,WV,1,Fayette,10,True
54021,WV,Gilmer,gilmer,WV,1,Gilmer,1,False
54023,WV,Grant,grant,WV,2,Grant,6,True
54025,WV,Greenbrier,greenbrier,WV,2,Greenbrier,2,False
54027,WV,Hampshire,hampshire,WV,1,Hampshire,1,False
54029,WV,Hancock,hancock,WV,1,Hancock,12,True
54031,WV,Hardy,hardy,WV,1,Hardy,1,False
54033,WV,Harrison,harrison,WV,2,Harrison,8,True
54035,WV,Jackson,jackson,WV,2,Jackson,8,True
54037,WV,Jefferson,jefferson,WV,1,Jefferson,11,True
54039,WV,Kanawha,kanawha,WV,2,Kanawha,2,False
54041,WV,Lewis,lewis,WV,2,Lewis,2,False
54043,WV,Lincoln,lincoln,WV,1,Lincoln,1,False
54045,WV,Logan,logan,WV,1,Logan,8,True
54047,WV,McDowell,mcdowell,WV,1,McDowell,1,False
54049,WV,Marion,marion,WV,2,Marion,10,True
54051,WV,Marshall,marshall,WV,1,Marshall,8,True
54053,WV,Mason,mason,WV,1,Mason,1,False
54055,WV,Mercer,mercer,WV,1,Mercer,11,True
54057,WV,Mineral,mineral,WV,2,Mineral,2,False
54059,WV,Mingo,mingo,WV,1,Mingo,1,False
54061,WV,Monongalia,monongalia,WV,1,Monongalia,1,False
54063,WV,Monroe,monroe,WV,3,Monroe,14,True
54065,WV,Morgan,morgan,WV,1,Morgan,10,True
54067,WV,Nicholas,nicholas,WV,2,Nicholas,2,False
54069,WV,Ohio,ohio,WV,1,Ohio,4,True
54071,WV,Pendleton,pendleton,WV,2,Pendleton,2,False
54073,WV,Pleasants,pleasants,WV,1,Pleasants,1,False
54075,WV,Pocahontas,pocahontas,WV,1,Pocahontas,1,False
54077,WV,Preston,preston,WV,1,Preston,1,False
54079,WV,Putnam,putnam,WV,1,Putnam,14,True
54081,WV,Raleigh,raleigh,WV,2,Raleigh,2,False
54083,WV,Randolph,randolph,WV,1,Randolph,6,True
54085,WV,Ritchie,ritchie,WV,1,Ritchie,1,False
54087,WV,Roane,roane,WV,2,Roane,2,False
54089,WV,Summers,summers,WV,2,Summers,2,False
54091,WV,Taylor,taylor,WV,2,Taylor,2,False
54093,WV,Tucker,tucker,WV,1,Tucker,1,False
54095,WV,Tyler,tyler,WV,1,Tyler,1,False
54097,WV,Upshur,upshur,WV,2,Upshur,2,False
54099,WV,Wayne,wayne,WV,1,Wayne,16,True
54101,WV,Webster,webster,WV,1,Webster,1,False
54103,WV,Wetzel,wetzel,WV,3,Wetzel,3,False
54105,WV,Wirt,wirt,WV,1,Wirt,1,False
54107,WV,Wood,wood,WV,1,Wood,15,True
54109,WV,Wyoming,wyoming,WV,2,Wyoming,6,True
