split_seed,horizon,mode,term_a,term_b,term_type,sse_term,total_osi_sse,N_signed_allocation
20260918,1,main,N,N,square,0.07654694261139314,3.9005031403644193,0.2672538905656065
20260918,1,main,N,D,twice_cross,0.06455556534817333,3.9005031403644193,0.2672538905656065
20260918,1,main,N,R,twice_cross,-0.012105405462768355,3.9005031403644193,0.2672538905656065
20260918,1,main,N,b,twice_cross,-5.382098296405181e-05,3.9005031403644193,0.2672538905656065
20260918,1,main,D,D,square,0.5503480175595568,3.9005031403644193,0.2672538905656065
20260918,1,main,D,R,twice_cross,-0.05610066940353346,3.9005031403644193,0.2672538905656065
20260918,1,main,D,b,twice_cross,-0.00030747153821376156,3.9005031403644193,0.2672538905656065
20260918,1,main,R,R,square,0.005671876795889011,3.9005031403644193,0.2672538905656065
20260918,1,main,R,b,twice_cross,1.6415185665315314e-05,3.9005031403644193,0.2672538905656065
20260918,1,main,b,b,square,0.0030328235159052114,3.9005031403644193,0.2672538905656065
20260918,6,C1,P,P,square,1.346053175499061,3.379067657703745,0.18270690088155528
20260918,6,C1,P,N,twice_cross,0.2193189820253849,3.379067657703745,0.18270690088155528
20260918,6,C1,P,D,twice_cross,1.3359910317470072,3.379067657703745,0.18270690088155528
20260918,6,C1,P,R,twice_cross,-0.06732093307715814,3.379067657703745,0.18270690088155528
20260918,6,C1,P,b,twice_cross,9.80528449907787e-05,3.379067657703745,0.18270690088155528
20260918,6,C1,N,N,square,0.05720401162697848,3.379067657703745,0.18270690088155528
20260918,6,C1,N,D,twice_cross,0.04319256949262187,3.379067657703745,0.18270690088155528
20260918,6,C1,N,R,twice_cross,-0.01146946944894454,3.379067657703745,0.18270690088155528
20260918,6,C1,N,b,twice_cross,-3.630355990860733e-05,3.379067657703745,0.18270690088155528
20260918,6,C1,D,D,square,0.501806504658391,3.379067657703745,0.18270690088155528
20260918,6,C1,D,R,twice_cross,-0.0536943505720243,3.379067657703745,0.18270690088155528
20260918,6,C1,D,b,twice_cross,-0.0001526815102583627,3.379067657703745,0.18270690088155528
20260918,6,C1,R,R,square,0.005514586045827758,3.379067657703745,0.18270690088155528
20260918,6,C1,R,b,twice_cross,1.349616152957525e-05,3.379067657703745,0.18270690088155528
20260918,6,C1,b,b,square,0.0025489857702461847,3.379067657703745,0.18270690088155528
20260918,6,C3,P,P,square,1.2125681303797227,3.1008235483867903,0.17927806578504074
20260918,6,C3,P,N,twice_cross,0.21462936065801574,3.1008235483867903,0.17927806578504074
20260918,6,C3,P,D,twice_cross,1.2043447536515368,3.1008235483867903,0.17927806578504074
20260918,6,C3,P,R,twice_cross,-0.061158946044300874,3.1008235483867903,0.17927806578504074
20260918,6,C3,P,b,twice_cross,-0.0004854651337679134,3.1008235483867903,0.17927806578504074
20260918,6,C3,N,N,square,0.055918738666642154,3.1008235483867903,0.17927806578504074
20260918,6,C3,N,D,twice_cross,0.043392259241407174,3.1008235483867903,0.17927806578504074
20260918,6,C3,N,R,twice_cross,-0.011268277110640832,3.1008235483867903,0.17927806578504074
20260918,6,C3,N,b,twice_cross,-3.468855198485473e-05,3.1008235483867903,0.17927806578504074
20260918,6,C3,D,D,square,0.48726854538064596,3.1008235483867903,0.17927806578504074
20260918,6,C3,D,R,twice_cross,-0.05241137238485297,3.1008235483867903,0.17927806578504074
20260918,6,C3,D,b,twice_cross,-0.00026623683330053116,3.1008235483867903,0.17927806578504074
20260918,6,C3,R,R,square,0.005356620312143421,3.1008235483867903,0.17927806578504074
20260918,6,C3,R,b,twice_cross,9.562545216807017e-06,3.1008235483867903,0.17927806578504074
20260918,6,C3,b,b,square,0.0029605636103076415,3.1008235483867903,0.17927806578504074
20260918,6,main,P,P,square,1.2125681303797227,3.1008235483867903,0.17927806578504074
20260918,6,main,P,N,twice_cross,0.21462936065801574,3.1008235483867903,0.17927806578504074
20260918,6,main,P,D,twice_cross,1.2043447536515368,3.1008235483867903,0.17927806578504074
20260918,6,main,P,R,twice_cross,-0.061158946044300874,3.1008235483867903,0.17927806578504074
20260918,6,main,P,b,twice_cross,-0.0004854651337679134,3.1008235483867903,0.17927806578504074
20260918,6,main,N,N,square,0.055918738666642154,3.1008235483867903,0.17927806578504074
20260918,6,main,N,D,twice_cross,0.043392259241407174,3.1008235483867903,0.17927806578504074
20260918,6,main,N,R,twice_cross,-0.011268277110640832,3.1008235483867903,0.17927806578504074
20260918,6,main,N,b,twice_cross,-3.468855198485473e-05,3.1008235483867903,0.17927806578504074
20260918,6,main,D,D,square,0.48726854538064596,3.1008235483867903,0.17927806578504074
20260918,6,main,D,R,twice_cross,-0.05241137238485297,3.1008235483867903,0.17927806578504074
20260918,6,main,D,b,twice_cross,-0.00026623683330053116,3.1008235483867903,0.17927806578504074
20260918,6,main,R,R,square,0.005356620312143421,3.1008235483867903,0.17927806578504074
20260918,6,main,R,b,twice_cross,9.562545216807017e-06,3.1008235483867903,0.17927806578504074
20260918,6,main,b,b,square,0.0029605636103076415,3.1008235483867903,0.17927806578504074
20260918,24,C1,P,P,square,0.7927970165012506,1.8793530453935594,0.15861310104751086
20260918,24,C1,P,N,twice_cross,0.1907502898464013,1.8793530453935594,0.15861310104751086
20260918,24,C1,P,D,twice_cross,0.6508101837806268,1.8793530453935594,0.15861310104751086
20260918,24,C1,P,R,twice_cross,-0.03857346772733363,1.8793530453935594,0.15861310104751086
20260918,24,C1,P,b,twice_cross,0.0002734418237060076,1.8793530453935594,0.15861310104751086
20260918,24,C1,N,N,square,0.05005783541691232,1.8793530453935594,0.15861310104751086
20260918,24,C1,N,D,twice_cross,0.035964278919653446,1.8793530453935594,0.15861310104751086
20260918,24,C1,N,R,twice_cross,-0.009554433492374968,1.8793530453935594,0.15861310104751086
20260918,24,C1,N,b,twice_cross,-4.960401248266385e-05,1.8793530453935594,0.15861310104751086
20260918,24,C1,D,D,square,0.2261470162788589,1.8793530453935594,0.15861310104751086
20260918,24,C1,D,R,twice_cross,-0.025227274203251566,1.8793530453935594,0.15861310104751086
20260918,24,C1,D,b,twice_cross,0.00020531525398714351,1.8793530453935594,0.15861310104751086
20260918,24,C1,R,R,square,0.003431533959833004,1.8793530453935594,0.15861310104751086
20260918,24,C1,R,b,twice_cross,3.0134275750517363e-05,1.8793530453935594,0.15861310104751086
20260918,24,C1,b,b,square,0.002290778772022397,1.8793530453935594,0.15861310104751086
20260918,24,C3,P,P,square,0.7260656707238023,1.7386026342705612,0.15765925627932467
20260918,24,C3,P,N,twice_cross,0.18925201240145878,1.7386026342705612,0.15765925627932467
20260918,24,C3,P,D,twice_cross,0.5954038222396889,1.7386026342705612,0.15765925627932467
20260918,24,C3,P,R,twice_cross,-0.03866954838420409,1.7386026342705612,0.15765925627932467
20260918,24,C3,P,b,twice_cross,-0.0005806464777796982,1.7386026342705612,0.15765925627932467
20260918,24,C3,N,N,square,0.0496319988695065,1.7386026342705612,0.15765925627932467
20260918,24,C3,N,D,twice_cross,0.03639707637251092,1.7386026342705612,0.15765925627932467
20260918,24,C3,N,R,twice_cross,-0.009512975513684904,1.7386026342705612,0.15765925627932467
20260918,24,C3,N,b,twice_cross,-8.15984406484313e-05,1.7386026342705612,0.15765925627932467
20260918,24,C3,D,D,square,0.21054243991458016,1.7386026342705612,0.15765925627932467
20260918,24,C3,D,R,twice_cross,-0.02567847326251506,1.7386026342705612,0.15765925627932467
20260918,24,C3,D,b,twice_cross,-0.0002950019322469821,1.7386026342705612,0.15765925627932467
20260918,24,C3,R,R,square,0.003419756439893098,1.7386026342705612,0.15765925627932467
20260918,24,C3,R,b,twice_cross,3.838888731036239e-05,1.7386026342705612,0.15765925627932467
20260918,24,C3,b,b,square,0.0026697124328890747,1.7386026342705612,0.15765925627932467
20260918,24,main,P,P,square,0.7927970165012506,1.8793530453935594,0.15861310104751086
20260918,24,main,P,N,twice_cross,0.1907502898464013,1.8793530453935594,0.15861310104751086
20260918,24,main,P,D,twice_cross,0.6508101837806268,1.8793530453935594,0.15861310104751086
20260918,24,main,P,R,twice_cross,-0.03857346772733363,1.8793530453935594,0.15861310104751086
20260918,24,main,P,b,twice_cross,0.0002734418237060076,1.8793530453935594,0.15861310104751086
20260918,24,main,N,N,square,0.05005783541691232,1.8793530453935594,0.15861310104751086
20260918,24,main,N,D,twice_cross,0.035964278919653446,1.8793530453935594,0.15861310104751086
20260918,24,main,N,R,twice_cross,-0.009554433492374968,1.8793530453935594,0.15861310104751086
20260918,24,main,N,b,twice_cross,-4.960401248266385e-05,1.8793530453935594,0.15861310104751086
20260918,24,main,D,D,square,0.2261470162788589,1.8793530453935594,0.15861310104751086
20260918,24,main,D,R,twice_cross,-0.025227274203251566,1.8793530453935594,0.15861310104751086
20260918,24,main,D,b,twice_cross,0.00020531525398714351,1.8793530453935594,0.15861310104751086
20260918,24,main,R,R,square,0.003431533959833004,1.8793530453935594,0.15861310104751086
20260918,24,main,R,b,twice_cross,3.0134275750517363e-05,1.8793530453935594,0.15861310104751086
20260918,24,main,b,b,square,0.002290778772022397,1.8793530453935594,0.15861310104751086
