horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
1,18117,Orange County,IN,4,143,0.013068244187987929,0.024421397880433883,0.003658040570854465,-0.00354585378896911,0.013089888687513774,-2.1644499525845518e-05,-0.1653528157691042,8.096369633077416e-05
1,18121,Parke County,IN,1,143,0.024463439731999798,0.08557976334352965,0.008649929284956986,-0.006162994083029552,0.024396847104656498,6.659262734329957e-05,0.2729558744112959,-0.00046528408686763445
1,18123,Perry County,IN,3,143,0.005353502319113471,0.004098378152547724,0.002101322815309692,0.002050973164960042,0.005363269381376357,-9.767062262885755e-06,-0.182110231061694,1.496800683318221e-05
1,18125,Pike County,IN,0,143,0.0026366851828228937,0.0009941515517244448,0.0009121652939356764,0.0008208384946715602,0.002670091868282686,-3.340668545979237e-05,-1.2511436724938818,2.5351301940468784e-05
1,18127,Porter County,IN,2,143,0.002377888687477617,0.0008085727092348653,0.0016859003832027407,0.0015418692913220537,0.0024408590491704165,-6.297036169279971e-05,-2.579844244353302,4.3391675167281504e-05
1,18129,Posey County,IN,4,143,0.0010013373214536663,0.00014338272968104847,0.00048720421195803227,0.00015613357040123563,0.0009996797186748725,1.6576027787938534e-06,0.16581338480998742,-4.7431547107673415e-07
1,18131,Pulaski County,IN,4,143,0.017683200888766463,0.044715469895163354,0.004508291540148212,-0.0030285510813185105,0.017615358155672667,6.784273309379599e-05,0.3851339978117263,-0.0003424493529381942
1,18133,Putnam County,IN,4,143,0.001120150382454911,0.0001794273737418853,0.00045043171002524145,-0.00024127300616441858,0.0011487140262060392,-2.8563643751128255e-05,-2.486575692426074,9.26740596047062e-06
1,18135,Randolph County,IN,0,143,0.003640331481652424,0.0018950379013722915,0.0022244906107019105,0.001606151855944606,0.003684965412072527,-4.463393042010303e-05,-1.2112442161295478,4.675482123613962e-05
1,18137,Ripley County,IN,0,143,0.0035185662023039157,0.0017703840611593424,0.0012344706028061194,-7.003029279817486e-05,0.0036639216522485548,-0.00014535544994463906,-3.9672095568810573,0.000149293966796314
1,18139,Rush County,IN,2,143,0.002931259771448504,0.0012286965902228641,0.0009162096890568894,-0.0003774174942985857,0.002957465258208588,-2.6205486760084128e-05,-0.8860792764124437,2.2067317529178695e-05
1,18141,St. Joseph County,IN,4,143,0.0018742577812357938,0.0005023364389647776,0.0013099372779019373,0.0009850316374172589,0.0018817342736101082,-7.476492374314464e-06,-0.39731924316661615,4.015675371713857e-06
1,18143,Scott County,IN,2,143,0.004227989251262645,0.0025562527145573215,0.0018289698429894087,-0.0011121727776496999,0.004046358510326159,0.0001816307409364861,4.48874563321493,-0.00021491125580260385
1,18145,Shelby County,IN,4,143,0.0012923968195803009,0.00023885140411436257,0.0004315964169240058,-0.0003055960561859903,0.001270290636985525,2.2106182594775923e-05,1.7402460469389203,-8.101126869290568e-06
1,18147,Spencer County,IN,0,143,0.0016551676331722845,0.0003917599248278633,0.0006454493679555432,0.0006412535637597391,0.001848841028824331,-0.0001936733956520466,-10.475394727431087,9.704455560271885e-05
1,18149,Starke County,IN,3,143,0.00409848993303862,0.002402059621564304,0.0023140290699831794,0.00210718340023522,0.004161454907569501,-6.29649745308809e-05,-1.5130519476818205,7.437247196169809e-05
1,18151,Steuben County,IN,1,143,0.011560844797492264,0.01911239793773366,0.008671082825784824,-0.008603312942346312,0.011531260512228319,2.9584285263945312e-05,0.2565572534986238,-9.769237060837724e-05
1,18153,Sullivan County,IN,3,143,0.002278031524460467,0.000742088150580302,0.0009237362970652868,0.0006447102890171498,0.00219596408783001,8.206743663045695e-05,3.737193931598104,-5.250521724971247e-05
1,18155,Switzerland County,IN,4,143,0.003051018976489155,0.0013311465016702612,0.0010883348197306695,0.0010114117428075926,0.0030039450625697116,4.70739139194435e-05,1.5670697345967488,-4.0759412402277496e-05
1,18157,Tippecanoe County,IN,1,143,0.000952568424894432,0.00012975628438713786,0.0003525504937405737,0.0002966064377965178,0.0009320062497021503,2.05621751922817e-05,2.2062271791474464,-5.541386510944879e-06
1,18159,Tipton County,IN,0,143,0.004189978110912196,0.002510496069499037,0.001770989144941618,0.0009760983223899895,0.0041416136146556325,4.8364496256563146e-05,1.1677693951318568,-5.762231286560865e-05
1,18161,Union County,IN,0,143,0.0027055350383719937,0.001046748537671772,0.0015144860385889378,0.0014012355079337877,0.0027066333197780018,-1.0982814060080288e-06,-0.040577399161634276,8.50003993973494e-07
1,18163,Vanderburgh County,IN,4,143,0.0006384375586427463,5.8287159828856536e-05,0.00028822103768697633,0.00014865335382432818,0.000713578094584876,-7.514053594212978e-05,-10.530106867397993,1.4527538852351145e-05
1,18165,Vermillion County,IN,4,143,0.013845870953171437,0.027414264370618346,0.003513166010925406,-0.0015368561695954523,0.013779386928417384,6.648402475405331e-05,0.4824889895278517,-0.00026263928102364387
1,18167,Vigo County,IN,3,143,0.001471087476564162,0.0003094660660096597,0.000607632179966701,-7.173869050554933e-05,0.0014856972300343802,-1.4609753470218138e-05,-0.9833600800265407,6.1772990747919554e-06
1,18169,Wabash County,IN,3,143,0.0016349657146341073,0.00038225514298814944,0.0005075096653062801,0.00015698685411778002,0.0016493060408086205,-1.4340326174513236e-05,-0.8694763627666413,6.734946535286938e-06
1,18171,Warren County,IN,0,143,0.004856593257416388,0.003372869223721472,0.0024139948956600475,0.0018217951558573812,0.004746450624070224,0.00011014263334616428,2.3205262641437407,-0.0001512517493981358
