fipsCode,countyName,stateAbbr,target_day,n,true_P_mean,true_P_max,true_P_peak_hour,W0_P_mean,W0_P_max,W0_P_peak_hour,W1_P_mean,W1_P_max,W1_P_peak_hour,true_OSI_mean,true_OSI_max,true_OSI_peak_hour,W0_OSI_mean,W0_OSI_max,W0_OSI_peak_hour,W1_OSI_mean,W1_OSI_max,W1_OSI_peak_hour,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
42091,Montgomery County,PA,7,24,0.0018649870416666667,0.00283376,168,0.00030008338211829684,0.0008050125622623065,170,0.00025478025679109286,0.0008835841665483291,181,0.0012916666666666667,0.002,168,0.0,0.0,168,0.0,0.0,168,0.0013717385562368168,4.5159999999999995e-05,0.0012916666666666667,-0.0012916666666666667,0.0013717385562368168,0.0,0.0,0.0
42091,Montgomery County,PA,8,24,0.00020564616666666666,0.000377453,201,6.048258386546308e-05,0.0007729621662038764,204,0.00011554008755926624,0.000787254719038209,203,0.00015416666666666668,0.0003,192,0.0,0.0,192,0.0,0.0,192,0.0001695582495781317,6.9e-07,0.00015416666666666668,-0.00015416666666666668,0.0001695582495781317,0.0,0.0,0.0
42095,Northampton County,PA,4,24,5.665920833333333e-05,0.000151788,101,0.0011838903419917682,0.0027974570232142007,99,0.001122447058146813,0.0042859454683285315,96,3.75e-05,0.0001,96,0.0006139907499734627,0.0019714143461456585,108,0.000456798701461984,0.0021952943972683046,96,0.0008470409247980285,1.7219479878784786e-05,0.00047763203479531737,0.00041929870146198406,0.0009437205009275081,-9.667957612947964e-05,-10.244513712954307,4.155121334116016e-06
42095,Northampton County,PA,5,24,0.003512206,0.068658888,143,0.003331167816887349,0.028959104460140953,143,0.004369625850448086,0.028134413698986074,143,0.0022916666666666667,0.0384,143,0.0021276554519556582,0.01710373206895719,143,0.0026445612191352726,0.01677385576449524,143,0.004866625713293676,0.0005684170999989885,0.0021784204390325143,0.0003528945524686055,0.0045893452539463855,0.00027728045934729065,6.041830457380759,-6.292694336090343e-05
42095,Northampton County,PA,6,24,0.022235134791666666,0.064762989,144,0.015449341415915701,0.029365466204252795,149,0.014708308457522018,0.029982034190476303,144,0.015300000000000001,0.0386,144,0.009985014574407081,0.01796939033672575,149,0.00968860139104961,0.01757091405156056,146,0.0071457122651560935,0.0012254688906336534,0.005616552717679167,-0.005611398608950391,0.007213757535666823,-6.804527051072935e-05,-0.9432708290276537,2.3450256167703533e-05
42095,Northampton County,PA,7,24,0.0014238054583333333,0.003231825,168,0.000710680784621795,0.001369561133119556,175,0.0011201367982482608,0.0018398379686102636,170,0.001,0.0022,168,0.0,0.0,168,0.00018034783034381386,0.0011799022013162213,170,0.0009800251105751437,2.3050781216587742e-05,0.000819652169656186,-0.000819652169656186,0.0011427306477614632,-0.00016270553718631948,-14.238310445689828,8.28921878341226e-06
42095,Northampton County,PA,8,24,0.001862826166666667,0.01047339,197,0.00035833147334881385,0.0006125850663834179,204,0.0006370443284328968,0.0009990586222524266,203,0.0013833333333333334,0.006,198,0.0,0.0,192,0.0,0.0,192,0.0022785229133512495,0.0001246,0.0013833333333333334,-0.0013833333333333334,0.0022785229133512495,0.0,0.0,0.0
42097,Northumberland County,PA,4,24,0.000958913,0.007671304,117,0.00035553387739298823,0.001758916809068679,110,0.0010092133738075306,0.001894103632122037,97,0.000575,0.0046,118,4.5229018658855335e-05,0.001085496447812528,108,4.7142546883075463e-05,0.0011314211251938111,108,0.0015510764241129292,5.774011376253483e-05,0.0006221425468830754,-0.0005278574531169246,0.0015497083400086075,1.3680841043216697e-06,0.08828010206836101,-1.0181122432121573e-07
42097,Northumberland County,PA,5,24,0.000519594,0.007671304,120,0.0022941966636139863,0.014990757603143416,143,0.00552787517139412,0.01966072223767189,143,0.00048333333333333344,0.0041,120,0.00170930094546851,0.010033765741185722,143,0.0031397389638280035,0.011901751594997113,143,0.004523622393575476,0.0004911158294317803,0.0030767955751824904,0.0026564056304946705,0.0031141139878521256,0.0014095084057233502,45.26194003243664,-0.0002583708871277098
42097,Northumberland County,PA,6,24,0.00033096049999999994,0.001182019,144,0.005142248224761063,0.01906082525736443,145,0.0059733543984059395,0.02242560186921936,144,0.00022083333333333333,0.0007,144,0.003461962506261889,0.01144475575393032,145,0.003709472226328297,0.012844392110682131,144,0.004999122952480745,0.0005997895270564754,0.003546972226328297,0.0034886388929949636,0.004651064405618456,0.000348058546862289,7.483417052703811,-8.061192453141233e-05
42097,Northumberland County,PA,7,24,3.4416666666666666e-06,2.36e-05,178,0.00028991961468418,0.0016308758336332013,168,0.0004930090468517824,0.002971966675170291,177,0.0,0.0,168,4.3795364879393345e-05,0.0010510887571054403,168,0.0001257214155080157,0.001962649729380314,177,0.0004548035576535105,4.964310625302961e-06,0.0001257214155080157,0.0001257214155080157,0.00021455259410704127,0.00024025096354646921,111.97765496445449,-3.8595230499895015e-06
42097,Northumberland County,PA,8,24,8.618804166666667e-05,0.002056713,203,0.00016953917209949713,0.00205215390002072,215,0.00016514667747021615,0.000747439499922652,215,7.916666666666668e-05,0.0011,203,4.3384853615666064e-05,0.0010412364867759855,215,0.0,0.0,192,0.00023892118644719084,1.37e-06,7.916666666666668e-05,-7.916666666666668e-05,0.00031977683764056436,-8.085565119337351e-05,-25.285024328202567,1.084173421393597e-06
42101,Philadelphia County,PA,4,24,7.304004166666666e-05,0.000740925,97,0.0009769861853129772,0.0036395485625230145,105,0.00020205816098962224,0.0011156781737899934,105,4.5833333333333334e-05,0.0004,97,0.00017700373599255893,0.0016068438865241563,105,0.0,0.0,96,9.78945010372561e-05,2.3000000000000002e-07,4.5833333333333334e-05,-4.5833333333333334e-05,0.0005145833575992307,-0.0004166888565619746,-80.97596830686884,6.125104766034346e-06
42101,Philadelphia County,PA,5,24,9.991325000000001e-05,0.000644719,143,0.004853588256039835,0.024034396013863996,143,0.0038927742439851167,0.02036241451775796,143,7.083333333333334e-05,0.0004,143,0.0027259264062483943,0.013686479461696922,143,0.0022992413157029877,0.012217686863254508,143,0.0036815876431130572,0.00032529810177414615,0.0022784079823696545,0.0022284079823696543,0.0041296942767733115,-0.00044810663366025424,-10.850842789514603,8.400689389659565e-05
42101,Philadelphia County,PA,6,24,0.00030739945833333334,0.001603901,145,0.014330146017063687,0.024429150353209094,145,0.009321787998042109,0.024456058078379462,144,0.0002291666666666667,0.0009,145,0.009904005078553,0.014924284983071722,149,0.007900661870944369,0.013691374009371201,144,0.008327379254360147,0.0016642858859027463,0.007671495204277702,0.007671495204277702,0.010269079776155434,-0.0019417005217952869,-18.90822317208861,0.0008666101008743226
42101,Philadelphia County,PA,7,24,0.00011350420833333333,0.000442257,189,0.00039274176318892856,0.001071663950770783,168,0.0002424931073279307,0.0008208375603087082,168,7.083333333333334e-05,0.0002,188,0.0,0.0,168,0.0,0.0,168,9.354143466934853e-05,2.1e-07,7.083333333333334e-05,-7.083333333333334e-05,9.354143466934853e-05,0.0,0.0,0.0
42101,Philadelphia County,PA,8,24,0.00024428445833333336,0.001069746,199,0.00016499574851590998,0.0009283461439160911,203,0.00013287237784144698,0.0006922240373668822,203,0.00017916666666666667,0.0006,199,0.0,0.0,192,0.0,0.0,192,0.00023717082451262845,1.35e-06,0.00017916666666666667,-0.00017916666666666667,0.00023717082451262845,0.0,0.0,0.0
42103,Pike County,PA,4,24,0.00030431654166666666,0.001897038,111,0.0011574482210397093,0.003550380569351683,118,0.0005765460195218874,0.0024504716500449494,96,0.00021666666666666668,0.0011,111,0.0003730908902149495,0.00151665377685464,111,0.0003360549080864495,0.0014761558710577269,111,0.0003827257244390642,3.5154955235377554e-06,0.00018117393734253415,0.00011938824141978282,0.000650435090901648,-0.0002677093664625838,-41.15850608420879,6.638083855891885e-06
42103,Pike County,PA,5,24,0.0026578275833333332,0.043797871,143,0.0056175530090432175,0.023471007693168185,143,0.007472315633799337,0.029095396929794674,143,0.001766666666666667,0.0243,143,0.0031558559139335356,0.012955325155754264,143,0.0037870254562364335,0.01520508085040486,143,0.004187934246355085,0.00042093103804304954,0.0029866020520360284,0.002020358789569767,0.0032998996222389403,0.0008880346241161444,26.910958688907762,-0.00015958693763858475
42103,Pike County,PA,6,24,0.016414320958333336,0.040169785,145,0.008710404561629498,0.023707227845417792,146,0.011067138866699125,0.031445112989503886,145,0.0111625,0.0237,144,0.005950367130968029,0.013549747695140196,146,0.006893060852995879,0.016377333614390813,145,0.004965584273642848,0.0005917686522875802,0.004284930414622304,-0.0042694391470041206,0.0063217604836388625,-0.0013561762099960142,-21.452508577411134,0.0003673830824123686
42103,Pike County,PA,7,24,0.0004821600416666666,0.000948519,175,0.00030475591209526507,0.0008437369118164924,168,0.00025947195894226137,0.0007785511632742079,168,0.00034583333333333335,0.0007,168,0.0,0.0,168,0.0,0.0,168,0.0004439406867289067,4.729999999999999e-06,0.00034583333333333335,-0.00034583333333333335,0.0004439406867289067,0.0,0.0,0.0
42103,Pike County,PA,8,24,1.975e-06,2.37e-05,202,0.00028002206665731665,0.0007370062695145885,210,0.00010194994114237957,0.0008112812463929911,203,0.0,0.0,192,0.0,0.0,192,0.0,0.0,192,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
42109,Snyder County,PA,4,24,0.0,0.0,96,0.00021157045725202317,0.0007541470836674166,115,0.0005436971473885059,0.0010746578066298733,110,0.0,0.0,96,0.0,0.0,96,0.0,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
42109,Snyder County,PA,5,24,0.0037861460833333335,0.0843653,143,0.0013522311834849997,0.005827900907434486,143,0.0026108298036474215,0.009308884860254633,143,0.0025499999999999997,0.0472,143,0.0007389380545742102,0.0039659830766729945,143,0.0013373060362079166,0.005358376657801053,143,0.008743364936047219,0.0018347143297175999,0.002841653070858168,-0.0012126939637920832,0.008988000057046301,-0.00024463512099908227,-2.72179705659098,0.00010410515089354392
42109,Snyder County,PA,6,24,0.006883408125,0.084267277,144,0.0023690782464904103,0.004569184908484477,144,0.002802884942689576,0.006905749725425312,144,0.005304166666666666,0.0505,144,0.0013295240320930143,0.0032034999998148436,144,0.0013905917980141834,0.004138125926591177,144,0.012147607425110021,0.0035415447877101152,0.0046932359251927935,-0.003913574868652483,0.012480787291452787,-0.00033317986634276604,-2.669542061428587,0.00019693644623763017
42109,Snyder County,PA,7,24,1.7702916666666666e-05,0.00029407,179,1.7376705585776253e-05,0.00018411477726049564,188,2.5914697145269592e-05,0.00025033212202260895,168,8.333333333333334e-06,0.0002,179,0.0,0.0,168,0.0,0.0,168,4.0824829046386304e-05,4e-08,8.333333333333334e-06,-8.333333333333334e-06,4.0824829046386304e-05,0.0,0.0,0.0
42109,Snyder County,PA,8,24,5.173445833333334e-05,0.000326744,201,3.853786112525233e-05,0.0007363347788244091,215,6.332981557901616e-05,0.0012183382853621547,215,2.916666666666667e-05,0.0002,201,0.0,0.0,192,0.0,0.0,192,6.7700320038633e-05,1.0999999999999999e-07,2.916666666666667e-05,-2.916666666666667e-05,6.7700320038633e-05,0.0,0.0,0.0
42113,Sullivan County,PA,4,24,0.0,0.0,96,0.007113305771442362,0.016804475166974652,119,0.008386055612843843,0.021489859224775473,116,0.0,0.0,96,0.004367315101473312,0.010405838408239205,119,0.00481982064947832,0.011781751592172445,114,0.007023453244166049,0.0011838934913516784,0.00481982064947832,0.00481982064947832,0.005998268239831916,0.0010251850043341334,17.09134975869071,-0.0003203921663042478
42113,Sullivan County,PA,5,24,0.003785154833333333,0.045051699,130,0.006776703207985175,0.018067825572211364,120,0.007022597422838135,0.019548808802654565,120,0.002983333333333333,0.024,130,0.004932955489519525,0.010731340060453745,120,0.005031313175460708,0.011323733352631024,120,0.006486079642734244,0.0010096614991653978,0.00484487674384526,0.002047979842127376,0.0060318405420041075,0.0004542391007301364,7.530688146792652,-0.00013646709138545208
42113,Sullivan County,PA,6,24,2.4618374999999996e-05,0.000295421,164,0.009267341188246325,0.015225359859140279,147,0.008928953869064631,0.011876961827566196,161,9.583333333333334e-05,0.0011,144,0.005633383975739695,0.007698764070654312,147,0.00552588207527523,0.007624621282360617,160,0.005585809493925036,0.0007488304248581535,0.005430048741941897,0.005430048741941897,0.00578030770085935,-0.00019449820693431385,-3.36484175237588,5.305654594058018e-05
42113,Sullivan County,PA,7,24,5.539125000000001e-05,0.00014771,170,0.0011186201660296196,0.0020197961753479006,179,0.0010092935666200181,0.002531135738475683,181,3.75e-05,0.0001,170,0.0,0.0,168,0.00013681919186954002,0.0011664506370472505,181,0.0003922616452909243,3.6928607607922305e-06,0.00017431919186954004,9.931919186954e-05,6.123724356957946e-05,0.00033102440172134485,540.5605844182481,-3.6028607607922306e-06
42113,Sullivan County,PA,8,24,5.539141666666667e-05,0.001329394,208,0.0006332952716660472,0.0008595443143979179,209,0.00030022006310971144,0.0011475292174552198,215,5.833333333333333e-05,0.0007,208,0.0,0.0,192,0.0,0.0,192,0.00015811388300841897,6e-07,5.833333333333333e-05,-5.833333333333333e-05,0.00015811388300841897,0.0,0.0,0.0
