horizon,rank,feature,importance,importance_fraction
osi_target_t06h,87,gust_gt40_next_48h,0.034328903707259134,0.00034328903707259135
osi_target_t06h,88,csnow_t,0.03429036741152372,0.0003429036741152372
osi_target_t06h,89,wind_speed_max_next_1h,0.03174141625467189,0.0003174141625467189
osi_target_t06h,90,wind_speed_at_t6h,0.03129880742008093,0.00031298807420080933
osi_target_t06h,91,gust_max_next_24h,0.03127479829713743,0.0003127479829713743
osi_target_t06h,92,gust_gt30_next_24h,0.030523559470955742,0.0003052355947095574
osi_target_t06h,93,vpd_t,0.028304084784303542,0.00028304084784303544
osi_target_t06h,94,wind_speed_at_t48h,0.025936572061704157,0.0002593657206170416
osi_target_t06h,95,soil_gust_x_phase,0.025088178871828008,0.0002508817887182801
osi_target_t06h,96,gust_gt30_obs,0.02423618970897578,0.0002423618970897578
osi_target_t06h,97,wind_cos_t,0.019979753522284375,0.00019979753522284376
osi_target_t06h,98,gust_gt40_next_24h,0.01760494383061267,0.0001760494383061267
osi_target_t06h,99,gust_at_t48h,0.014541086687722096,0.00014541086687722097
osi_target_t06h,100,gust_change_3h,0.01371826662595158,0.0001371826662595158
osi_target_t06h,101,pressure_change_3h,0.01330607436436454,0.0001330607436436454
osi_target_t06h,102,gust_at_t1h,0.013128252545788458,0.00013128252545788457
osi_target_t06h,103,gust_mean_next_1h,0.012964460495605188,0.00012964460495605188
osi_target_t06h,104,tp_at_t6h,0.012590890718109342,0.00012590890718109342
osi_target_t06h,105,hour_of_day,0.01200548544287965,0.0001200548544287965
osi_target_t06h,106,osi_std_72h,0.011109583215129384,0.00011109583215129384
osi_target_t06h,107,wind_speed_at_t24h,0.010742008364374878,0.00010742008364374879
osi_target_t06h,108,sdswrf_t,0.010598005442533595,0.00010598005442533595
osi_target_t06h,109,wind_speed_at_t1h,0.01027551521704073,0.0001027551521704073
osi_target_t06h,110,diffuse_rad_t,0.008693004088175454,8.693004088175453e-05
osi_target_t06h,111,t2m_t,0.007986382327512347,7.986382327512348e-05
osi_target_t06h,112,gust_gt40_obs,0.007488313859721637,7.488313859721637e-05
osi_target_t06h,113,tp_at_t48h,0.007327991430666764,7.327991430666764e-05
osi_target_t06h,114,blh_t,0.006196149564360416,6.196149564360416e-05
osi_target_t06h,115,wind_speed_t,0.006078670541058523,6.0786705410585234e-05
osi_target_t06h,116,hcc_t,0.0054917969466777225,5.4917969466777225e-05
osi_target_t06h,117,hour_sin,0.0054037800766111145,5.4037800766111146e-05
osi_target_t06h,118,tp_t,0.005075320797176423,5.0753207971764234e-05
osi_target_t06h,119,gust_change_1h,0.005070977532554941,5.0709775325549414e-05
osi_target_t06h,120,gust_at_t24h,0.004747591427791584,4.747591427791584e-05
osi_target_t06h,121,gust_exceed_30,0.004715691870366369,4.7156918703663695e-05
osi_target_t06h,122,is_worsening,0.00438832113621208,4.3883211362120805e-05
osi_target_t06h,123,hour_cos,0.00433392976740551,4.33392976740551e-05
osi_target_t06h,124,sdwe_t,0.0038937529324976528,3.893752932497653e-05
