split_seed,horizon,model,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,osi_target_t24h,C3_aligned_component,28680,0.008426588509688701,0.0027516296495448235,2.0364920573851943,-7.541610843319797e-05,0.008426588509688701,0.0027516296495448235,2.0364920573851943,-7.541610843319797e-05,0.0,0.0,0.0,0
42,osi_target_t24h,v18_rule,28680,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.008492701524253245,0.0028144565793908724,2.0685730828839315,-8.299437331765771e-05,0.0,0.0,0.0,0
42,osi_target_t48h,C0_direct_osi,22944,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.007743302763035277,0.002251557437795284,1.3756932773306025,-0.00016308958938848276,0.0,0.0,0.0,0
42,osi_target_t48h,C1_component_osi,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
42,osi_target_t48h,C2_equal_blend,22944,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.007702283879539482,0.002225234652350598,1.3611568601934998,-0.00016897742632658718,0.0,0.0,0.0,0
42,osi_target_t48h,C3_aligned_component,22944,0.00773914813050702,0.0022166007425422933,1.3742174299043848,-0.00013045869446793218,0.00773914813050702,0.0022166007425422933,1.3742174299043848,-0.00013045869446793218,0.0,0.0,0.0,0
42,osi_target_t48h,v18_rule,22944,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.007691202257793633,0.0022350036403240283,1.357242962755131,-0.0001565905410230873,0.0,0.0,0.0,0
20260917,osi_target_t01h,C0_direct_osi,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.0,0.0,0.0,0
20260917,osi_target_t01h,C1_component_osi,34177,0.012558336438867274,0.003613873794336044,5.390116670898358,-0.00015412355979224293,0.012530149408855662,0.0036121356941583027,5.36594772510522,-0.0001516277802003405,-2.818703001161195e-05,-0.22444875679851206,0.02416894579313844,55
20260917,osi_target_t01h,C2_equal_blend,34177,0.012635408060633228,0.003628944183232871,5.456478929220308,-0.00015585451137951193,0.012620771486413536,0.0036280031624805367,5.443844924522615,-0.00015463171443037734,-1.4636574219692791e-05,-0.11583776439555438,0.012634004697693157,50
20260917,osi_target_t01h,C3_aligned_component,34177,0.012503692436569555,0.0035807924882082544,5.343311626088162,-0.000175898679650797,0.012475381943844085,0.0035790543880305126,5.319142680295023,-0.00017340290005889454,-2.831049272546994e-05,-0.22641705935336764,0.02416894579313844,55
20260917,osi_target_t01h,v18_rule,34177,0.012503692436569555,0.0035807924882082544,5.343311626088162,-0.000175898679650797,0.012475381943844085,0.0035790543880305126,5.319142680295023,-0.00017340290005889454,-2.831049272546994e-05,-0.22641705935336764,0.02416894579313844,55
20260917,osi_target_t06h,C0_direct_osi,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.0,0.0,0.0,0
20260917,osi_target_t06h,C1_component_osi,32982,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.010966347987999515,0.003422562010786772,3.966441316211243,-0.00014707171468243395,0.0,0.0,0.0,0
20260917,osi_target_t06h,C2_equal_blend,32982,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.010939154506346983,0.003405799143069776,3.946794371529492,-0.00016643418141634906,0.0,0.0,0.0,0
20260917,osi_target_t06h,C3_aligned_component,32982,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.010870630226386284,0.003348082840773493,3.897502779293824,-0.0001761207036780813,0.0,0.0,0.0,0
