fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
39173,Wood County,0.0,0.0,0.0,0,0
39175,Wyandot County,0.0,0.0,0.0,0,0
42005,Armstrong County,0.0,0.0,0.0,0,0
42007,Beaver County,0.0,0.0,0.0,0,0
42009,Bedford County,0.0,0.0,0.0,0,0
42013,Blair County,0.0,2.8894382696085987e-06,2.650149692173462e-06,2,0
42015,Bradford County,0.0,-1.0515341538133716e-07,0.0,0,1
42019,Butler County,0.0,0.0,0.0,0,0
42021,Cambria County,0.0,0.0,0.0,0,0
42023,Cameron County,0.0,-2.5339410872349255e-07,0.0,0,1
42025,Carbon County,0.0,0.0,0.0,0,0
42027,Centre County,4.030590946011391e-06,0.0,0.0,0,0
42029,Chester County,0.0,0.0,0.0,0,0
42031,Clarion County,0.0,0.0,0.0,0,0
42033,Clearfield County,0.0,0.0,0.0,0,0
42035,Clinton County,0.0,1.8504150436221556e-07,0.0,1,0
42039,Crawford County,0.0,0.0,0.0,0,0
42041,Cumberland County,2.4979368407612853e-06,5.922358249616606e-07,-1.94375431186917e-07,1,1
42043,Dauphin County,0.0,0.0,-1.5340314960638705e-08,0,1
42045,Delaware County,0.0,0.0,0.0,0,0
42047,Elk County,-1.0544882732554939e-06,0.0,-9.496685127383109e-07,0,1
42049,Erie County,-4.833690280823047e-06,-2.5006667191355275e-06,7.348519334877956e-07,1,1
42051,Fayette County,0.0,0.0,2.116265222762946e-07,1,0
42053,Forest County,0.0,0.0,0.0,0,0
42055,Franklin County,4.275367168015646e-06,2.0359162244910824e-08,0.0,1,0
42057,Fulton County,0.0,0.0,0.0,0,0
42059,Greene County,0.0,0.0,0.0,0,0
42061,Huntingdon County,-9.75814820864361e-06,8.834535340409308e-06,0.0,1,0
42063,Indiana County,1.7655885033782473e-05,0.0,0.0,0,0
42065,Jefferson County,0.0,0.0,0.0,0,0
42067,Juniata County,0.0,0.0,0.0,0,0
42069,Lackawanna County,0.0,-1.40728465186429e-08,0.0,0,1
42075,Lebanon County,0.0,0.0,0.0,0,0
42077,Lehigh County,0.0,0.0,-1.9173345817274923e-08,0,1
42079,Luzerne County,0.0,0.0,0.0,0,0
42081,Lycoming County,0.0,0.0,0.0,0,0
42083,McKean County,-1.236812038455607e-05,1.0159485453502086e-05,-1.0552208680416307e-05,1,1
42085,Mercer County,0.0,0.0,0.0,0,0
42089,Monroe County,0.0,0.0,0.0,0,0
42091,Montgomery County,0.0,0.0,0.0,0,0
42095,Northampton County,0.0,0.0,0.0,0,0
42097,Northumberland County,0.0,0.0,0.0,0,0
42101,Philadelphia County,0.0,0.0,0.0,0,0
42103,Pike County,0.0,0.0,0.0,0,0
42109,Snyder County,0.0,-3.322597332874183e-07,0.0,0,1
42113,Sullivan County,6.596621480907741e-06,-2.2507879049167394e-06,-8.651749261196634e-07,0,2
42115,Susquehanna County,0.0,-1.3275979707932928e-08,0.0,0,1
42119,Union County,0.0,0.0,0.0,0,0
42121,Venango County,0.0,0.0,0.0,0,0
42125,Washington County,0.0,0.0,0.0,0,0
42127,Wayne County,0.0,0.0,0.0,0,0
42129,Westmoreland County,0.0,0.0,0.0,0,0
42131,Wyoming County,0.0,0.0,0.0,0,0
