case,reference,pair,horizon,group,n,rmse,sse,mae,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,bootstrap_replicates,bootstrap_unit
NR_both,N_only,NR_both_minus_N_only,6,all,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519,0.0099066477325815,1.2768879825760665e-06,0.012889203462607135,-0.000834477229673336,-3.926661725616159e-07,3.1051997680948515e-06,2000,county_full_trajectory
NR_both,N_only,NR_both_minus_N_only,6,test_like,22578,0.010600864747662624,2.537278011465376,0.003120312553385321,-0.00038021603598822933,0.010599615889976299,1.2488576863253081e-06,0.011782103231738894,-0.0005977837798472052,-6.89966691041436e-07,3.6599589977340416e-06,2000,county_full_trajectory
NR_both,R_only,NR_both_minus_R_only,6,all,32982,0.009907924620564076,3.2377430139985712,0.0030964005106118493,-0.00011328188851095519,0.009910742450742515,-2.8178301784385906e-06,-0.028432079558560197,0.001841900838121191,-8.18401565141039e-06,2.9507896535004726e-06,2000,county_full_trajectory
NR_both,R_only,NR_both_minus_R_only,6,test_like,22578,0.010600864747662624,2.537278011465376,0.003120312553385321,-0.00038021603598822933,0.01060330536199668,-2.4406143340552355e-06,-0.023017486064325077,0.0011684386277241998,-8.667789131240523e-06,4.645805118326214e-06,2000,county_full_trajectory
N_only,B0,N_only_minus_B0,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
N_only,B0,N_only_minus_B0,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
R_only,B0,R_only_minus_B0,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
R_only,B0,R_only_minus_B0,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,B0,NR_both_minus_B0,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,B0,NR_both_minus_B0,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,N_only,NR_both_minus_N_only,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,N_only,NR_both_minus_N_only,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,R_only,NR_both_minus_R_only,24,all,28680,0.008434736596420678,2.040432332014631,0.002779739911447673,-9.257391647402344e-05,0.008434736596420678,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,R_only,NR_both_minus_R_only,24,test_like,19752,0.008729226744593158,1.5050905400798962,0.0027791338598639383,-0.00031485457247680483,0.008729226744593158,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
N_only,B0,N_only_minus_B0,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
N_only,B0,N_only_minus_B0,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
R_only,B0,R_only_minus_B0,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
R_only,B0,R_only_minus_B0,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,B0,NR_both_minus_B0,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,B0,NR_both_minus_B0,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,N_only,NR_both_minus_N_only,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,N_only,NR_both_minus_N_only,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,R_only,NR_both_minus_R_only,48,all,22944,0.007691202257793633,1.357242962755131,0.0022350036403240283,-0.0001565905410230873,0.007691202257793633,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
NR_both,R_only,NR_both_minus_R_only,48,test_like,16008,0.008507866544396744,1.1587197605413444,0.002355098459429913,-0.00040273058079918475,0.008507866544396744,0.0,0.0,0.0,0.0,0.0,0,exact_invariant
