case,horizon,mode,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t24h,C2_equal_blend,28680,0.00866343794071386,0.0029172561365550147,2.1525819014005796,-0.00012246009912659733,0.00866343794071386,0.0,0.0,0.0
B0,osi_target_t24h,C3_aligned_component,28680,0.008440167245479165,0.002714083440592297,2.04306061541599,-0.00015926446298444527,0.008440167245479165,0.0,0.0,0.0
B0,osi_target_t24h,v18_rule,28680,0.008710411518259539,0.002956278833563109,2.175987989683848,-9.541737739903497e-05,0.008710411518259539,0.0,0.0,0.0
B0,osi_target_t48h,C0_direct_osi,22944,0.007941008803189471,0.0022665477750623154,1.4468399399181604,-0.0002814420207812377,0.007941008803189471,0.0,0.0,0.0
B0,osi_target_t48h,C1_component_osi,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
B0,osi_target_t48h,C2_equal_blend,22944,0.007904265788718098,0.002243387831819192,1.4334818707611976,-0.00029383923575625377,0.007904265788718098,0.0,0.0,0.0
B0,osi_target_t48h,C3_aligned_component,22944,0.008025711924570307,0.0022520789127139537,1.4778701187061836,-0.00020376398719813209,0.008025711924570307,0.0,0.0,0.0
B0,osi_target_t48h,v18_rule,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
NB_P24,osi_target_t01h,C0_direct_osi,34177,0.012759870025031421,0.003695229860606358,5.564503751994501,-0.00013604419005281795,0.012759870025031421,0.0,0.0,0.0
NB_P24,osi_target_t01h,C1_component_osi,34177,0.011074730688339226,0.0032574180214055004,4.191797423642255,-0.00012194784490082853,0.011074730688339226,0.0,0.0,0.0
NB_P24,osi_target_t01h,C2_equal_blend,34177,0.011645617365623393,0.003400874152969634,4.6350985415786035,-0.00014326268845341332,0.011645617365623393,0.0,0.0,0.0
NB_P24,osi_target_t01h,C3_aligned_component,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,-0.00016424828599728307,0.011086220254071273,-2.3967378580177362e-05,-0.21619071271270496,0.018142547404711884
NB_P24,osi_target_t01h,v18_rule,34177,0.011062252875491096,0.0032614231495925895,4.182357013811167,-0.00016424828599728307,0.011086220254071273,-2.3967378580177362e-05,-0.21619071271270496,0.018142547404711884
NB_P24,osi_target_t06h,C0_direct_osi,32982,0.010952654068962227,0.0034380841791316467,3.9565415367329306,-0.00015486075676127798,0.010952654068962227,0.0,0.0,0.0
NB_P24,osi_target_t06h,C1_component_osi,32982,0.010441501793563459,0.0032603061048247697,3.595861220989944,-0.00012058184380895972,0.010441501793563459,0.0,0.0,0.0
NB_P24,osi_target_t06h,C2_equal_blend,32982,0.010566830513043551,0.003296941105542048,3.6827010916881675,-0.0001535769007501059,0.010566830513043551,0.0,0.0,0.0
NB_P24,osi_target_t06h,C3_aligned_component,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,-0.00015800704270487189,0.010108757940326897,-2.7244517637430368e-05,-0.26951399764696404,0.018142547404711884
NB_P24,osi_target_t06h,v18_rule,32982,0.010081513422689467,0.0031309982266418163,3.3521886609995875,-0.00015800704270487189,0.010108757940326897,-2.7244517637430368e-05,-0.26951399764696404,0.018142547404711884
NB_P24,osi_target_t24h,C0_direct_osi,28680,0.00865942183518786,0.0029175849835404396,2.150586621385807,-0.00012945774455302454,0.00865942183518786,0.0,0.0,0.0
NB_P24,osi_target_t24h,C1_component_osi,28680,0.00856674431733002,0.002890042669314749,2.104799623133157,-0.00012182407134348413,0.008710411518259539,-0.00014366720092951965,-1.6493732888320123,0.07118836655069094
NB_P24,osi_target_t24h,C2_equal_blend,28680,0.00858582874865476,0.0028784404318582804,2.114187938039178,-0.00013749249563663342,0.00866343794071386,-7.760919205910058e-05,-0.8958244127816317,0.03839396336140144
NB_P24,osi_target_t24h,C3_aligned_component,28680,0.008402608987497099,0.0026928747530099756,2.024918068011278,-0.0001693590479475897,0.008440167245479165,-3.75582579820663e-05,-0.4449942387360073,0.018142547404711884
NB_P24,osi_target_t24h,v18_rule,28680,0.00856674431733002,0.002890042669314749,2.104799623133157,-0.00012182407134348413,0.008710411518259539,-0.00014366720092951965,-1.6493732888320123,0.07118836655069094
NB_P24,osi_target_t48h,C0_direct_osi,22944,0.007941008803189471,0.0022665477750623154,1.4468399399181604,-0.0002814420207812377,0.007941008803189471,0.0,0.0,0.0
NB_P24,osi_target_t48h,C1_component_osi,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
NB_P24,osi_target_t48h,C2_equal_blend,22944,0.007904265788718098,0.002243387831819192,1.4334818707611976,-0.00029383923575625377,0.007904265788718098,0.0,0.0,0.0
NB_P24,osi_target_t48h,C3_aligned_component,22944,0.007994695188295504,0.0022392471702950916,1.4664692280717608,-0.00020884586760133855,0.008025711924570307,-3.101673627480331e-05,-0.38646710181370336,0.011400890634422733
NB_P24,osi_target_t48h,v18_rule,22944,0.007895792270846023,0.002249936035520659,1.4304100804473678,-0.0002851312363928788,0.007895792270846023,0.0,0.0,0.0
