case,horizon,space,P71_group,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
AB_P06,osi_target_t48h,aligned,p=0,5088,0.01570317597019333,0.0038434307349105444,1.2546485744827622,-0.0007321455077863822,0.01581946783680516,-0.00011629186661182844,-0.7351187019152827,0.018651728228097575
AB_P06,osi_target_t48h,aligned,0<p<.01,8352,0.01192503806036217,0.0031303633420618486,1.1877089614535532,-0.0002443558055596223,0.011823894218750448,0.00010114384161172274,0.8554190331923728,-0.020061990461288648
AB_P06,osi_target_t48h,aligned,.01<=p<.1,5856,0.011589019331396612,0.0033495916622848392,0.7864922412357644,0.0008642130006239992,0.011596485250460446,-7.46591906383362e-06,-0.06438087836603268,0.0010136800454784156
AB_P06,osi_target_t48h,aligned,.1<=p<.5,3456,0.008466041792518494,0.0038625460767357854,0.24770487271450667,0.0008849793488723852,0.00871102595542918,-0.0002449841629106851,-2.812345688833562,0.014543226651425184
AB_P06,osi_target_t48h,aligned,.5<=p<=1,192,0.006833630556821861,0.004418925356104039,0.008966113264728855,-0.001543215681778353,0.0067575273413088225,7.610321551303808e-05,1.126199150506113,-0.0001985915171698882
AB_P24,osi_target_t01h,component_clipped,p=0,7579,0.015801984222593383,0.003830069040133475,1.8924968040074925,-0.00047086896137930396,0.015801984222593383,0.0,0.0,0.0
AB_P24,osi_target_t01h,component_clipped,0<p<.01,12441,0.011914002929454506,0.003158726775266141,1.7659186580557518,-0.0002871476903313053,0.011914002929454506,0.0,0.0,0.0
AB_P24,osi_target_t01h,component_clipped,.01<=p<.1,8723,0.013718099875019143,0.0051264517298555985,1.6415487824508652,0.001020011575014584,0.013718099875019143,0.0,0.0,0.0
AB_P24,osi_target_t01h,component_clipped,.1<=p<.5,5148,0.031505862123289055,0.011438188630750095,5.110004404181992,-0.0004728526327843452,0.031505862123289055,0.0,0.0,0.0
AB_P24,osi_target_t01h,component_clipped,.5<=p<=1,286,0.041544205317156566,0.02256253956635589,0.49361340469414117,0.005626361763222023,0.041544205317156566,0.0,0.0,0.0
AB_P24,osi_target_t01h,aligned,p=0,7579,0.015469075900637449,0.0038436528072153813,1.8135964115759722,-0.00038419530494316625,0.015258361457521616,0.00021071444311583296,1.3809768742367945,-0.04907186385801143
AB_P24,osi_target_t01h,aligned,0<p<.01,12441,0.011688534306304491,0.003179735103285936,1.699712239651163,-0.00013020073623330232,0.011615384395314989,7.314991098950237e-05,0.6297674575368006,-0.021207918638981083
AB_P24,osi_target_t01h,aligned,.01<=p<.1,8723,0.013818047669878887,0.005417384610260058,1.6655560243936562,0.0013370565889863203,0.013683402443192647,0.00013464522668624017,0.9840039949510215,-0.03230073676331835
AB_P24,osi_target_t01h,aligned,.1<=p<.5,5148,0.031808931325480176,0.011452044991001728,5.2087881609318,-0.0006257411228080701,0.03189354025390013,-8.460892841995193e-05,-0.2652854708081742,0.027746679373157335
