comparison,horizon,model,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
B_minus_A,osi_target_t24h,C1_component_osi,1,5640,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C1_component_osi,2,5760,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C1_component_osi,3,5760,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C1_component_osi,4,5760,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,C2_equal_blend,0,5760,0.00753416899954178,0.002645134506404523,0.32695892647866076,-3.665785075999651e-05,0.00753416899954178,0.002645134506404523,0.32695892647866076,-3.665785075999651e-05,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,C2_equal_blend,1,5640,0.007006036593491175,0.002743888536968542,0.27683685494626303,0.0006461657620456654,0.007006036593491175,0.002743888536968542,0.27683685494626303,0.0006461657620456654,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,C2_equal_blend,2,5760,0.009537578650657042,0.002814897011126505,0.5239607415406216,-0.0004592110222597028,0.009537578650657042,0.002814897011126505,0.5239607415406216,-0.0004592110222597028,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,C2_equal_blend,3,5760,0.008912764274903512,0.0030938617861699397,0.45755923403517884,-0.00042444391685158916,0.008912764274903512,0.0030938617861699397,0.45755923403517884,-0.00042444391685158916,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,C2_equal_blend,4,5760,0.007384720239759127,0.002818910473539257,0.3141163757923666,0.0002845159372075172,0.007384720239759127,0.002818910473539257,0.3141163757923666,0.0002845159372075172,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,C2_equal_blend,0,5760,0.00753416899954178,0.002645134506404523,0.32695892647866076,-3.665785075999651e-05,0.00753416899954178,0.002645134506404523,0.32695892647866076,-3.665785075999651e-05,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,C2_equal_blend,1,5640,0.007006036593491175,0.002743888536968542,0.27683685494626303,0.0006461657620456654,0.007006036593491175,0.002743888536968542,0.27683685494626303,0.0006461657620456654,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,C2_equal_blend,2,5760,0.009537578650657042,0.002814897011126505,0.5239607415406216,-0.0004592110222597028,0.009537578650657042,0.002814897011126505,0.5239607415406216,-0.0004592110222597028,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,C2_equal_blend,3,5760,0.008912764274903512,0.0030938617861699397,0.45755923403517884,-0.00042444391685158916,0.008912764274903512,0.0030938617861699397,0.45755923403517884,-0.00042444391685158916,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,C2_equal_blend,4,5760,0.007384720239759127,0.002818910473539257,0.3141163757923666,0.0002845159372075172,0.007384720239759127,0.002818910473539257,0.3141163757923666,0.0002845159372075172,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C2_equal_blend,0,5760,0.00753416899954178,0.002645134506404523,0.32695892647866076,-3.665785075999651e-05,0.00753416899954178,0.002645134506404523,0.32695892647866076,-3.665785075999651e-05,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C2_equal_blend,1,5640,0.007006036593491175,0.002743888536968542,0.27683685494626303,0.0006461657620456654,0.007006036593491175,0.002743888536968542,0.27683685494626303,0.0006461657620456654,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C2_equal_blend,2,5760,0.009537578650657042,0.002814897011126505,0.5239607415406216,-0.0004592110222597028,0.009537578650657042,0.002814897011126505,0.5239607415406216,-0.0004592110222597028,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C2_equal_blend,3,5760,0.008912764274903512,0.0030938617861699397,0.45755923403517884,-0.00042444391685158916,0.008912764274903512,0.0030938617861699397,0.45755923403517884,-0.00042444391685158916,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C2_equal_blend,4,5760,0.007384720239759127,0.002818910473539257,0.3141163757923666,0.0002845159372075172,0.007384720239759127,0.002818910473539257,0.3141163757923666,0.0002845159372075172,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,C3_aligned_component,0,5760,0.007550393262386408,0.002621629366936937,0.3283686052801348,-0.00017579018088469066,0.007521710102354515,0.002609821056750543,0.32587846769584494,-0.00019012448472873817,-2.8683160031892953e-05,-0.37988961680689437,0.002490137584289842,2681
C_minus_B,osi_target_t24h,C3_aligned_component,1,5640,0.006719908550740384,0.0026522112697598124,0.25468644404696944,0.0006567508796894632,0.006767095058680425,0.0026712253218254653,0.25827576600734403,0.0006616033621035322,4.7186507940041e-05,0.7021897334427596,-0.003589321960374592,2793
C_minus_B,osi_target_t24h,C3_aligned_component,2,5760,0.009367718056640202,0.002706592450325689,0.5054638555509285,-0.0004528101623498645,0.00937077892276272,0.0026995706654142524,0.5057942262871338,-0.00046347694344159144,3.060866122518366e-06,0.03267461834366436,-0.00033037073620523216,2597
C_minus_B,osi_target_t24h,C3_aligned_component,3,5760,0.008380941831092338,0.0028461244695608024,0.4045834712226435,-0.0004565115334090247,0.008399686774716468,0.00284266974792302,0.4063952903808773,-0.00047384732772526474,1.874494362412958e-05,0.2236615406944864,-0.0018118191582338072,2547
C_minus_B,osi_target_t24h,C3_aligned_component,4,5760,0.006937287222428421,0.0027236557470041224,0.27720549507725933,0.00032928316295463154,0.006919886511309975,0.0027301814159500053,0.2758166169374001,0.0003492079756760779,-1.740071111844526e-05,-0.2508287542454357,0.0013888781398592176,2629
C_minus_A,osi_target_t24h,C3_aligned_component,0,5760,0.007550393262386408,0.002621629366936937,0.3283686052801348,-0.00017579018088469066,0.007521710102354515,0.002609821056750543,0.32587846769584494,-0.00019012448472873817,-2.8683160031892953e-05,-0.37988961680689437,0.002490137584289842,2681
C_minus_A,osi_target_t24h,C3_aligned_component,1,5640,0.006719908550740384,0.0026522112697598124,0.25468644404696944,0.0006567508796894632,0.006767095058680425,0.0026712253218254653,0.25827576600734403,0.0006616033621035322,4.7186507940041e-05,0.7021897334427596,-0.003589321960374592,2793
C_minus_A,osi_target_t24h,C3_aligned_component,2,5760,0.009367718056640202,0.002706592450325689,0.5054638555509285,-0.0004528101623498645,0.00937077892276272,0.0026995706654142524,0.5057942262871338,-0.00046347694344159144,3.060866122518366e-06,0.03267461834366436,-0.00033037073620523216,2597
C_minus_A,osi_target_t24h,C3_aligned_component,3,5760,0.008380941831092338,0.0028461244695608024,0.4045834712226435,-0.0004565115334090247,0.008399686774716468,0.00284266974792302,0.4063952903808773,-0.00047384732772526474,1.874494362412958e-05,0.2236615406944864,-0.0018118191582338072,2547
C_minus_A,osi_target_t24h,C3_aligned_component,4,5760,0.006937287222428421,0.0027236557470041224,0.27720549507725933,0.00032928316295463154,0.006919886511309975,0.0027301814159500053,0.2758166169374001,0.0003492079756760779,-1.740071111844526e-05,-0.2508287542454357,0.0013888781398592176,2629
B_minus_A,osi_target_t24h,C3_aligned_component,0,5760,0.007550393262386408,0.002621629366936937,0.3283686052801348,-0.00017579018088469066,0.007550393262386408,0.002621629366936937,0.3283686052801348,-0.00017579018088469066,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C3_aligned_component,1,5640,0.006719908550740384,0.0026522112697598124,0.25468644404696944,0.0006567508796894632,0.006719908550740384,0.0026522112697598124,0.25468644404696944,0.0006567508796894632,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C3_aligned_component,2,5760,0.009367718056640202,0.002706592450325689,0.5054638555509285,-0.0004528101623498645,0.009367718056640202,0.002706592450325689,0.5054638555509285,-0.0004528101623498645,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C3_aligned_component,3,5760,0.008380941831092338,0.0028461244695608024,0.4045834712226435,-0.0004565115334090247,0.008380941831092338,0.0028461244695608024,0.4045834712226435,-0.0004565115334090247,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,C3_aligned_component,4,5760,0.006937287222428421,0.0027236557470041224,0.27720549507725933,0.00032928316295463154,0.006937287222428421,0.0027236557470041224,0.27720549507725933,0.00032928316295463154,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,v18_rule,0,5760,0.007403360038637721,0.0026367235333492893,0.31570410160338,-2.251733606909389e-05,0.007403360038637721,0.0026367235333492893,0.31570410160338,-2.251733606909389e-05,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,v18_rule,1,5640,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,v18_rule,2,5760,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,v18_rule,3,5760,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.0,0.0,0.0,0
C_minus_B,osi_target_t24h,v18_rule,4,5760,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,v18_rule,0,5760,0.007403360038637721,0.0026367235333492893,0.31570410160338,-2.251733606909389e-05,0.007403360038637721,0.0026367235333492893,0.31570410160338,-2.251733606909389e-05,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,v18_rule,1,5640,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,v18_rule,2,5760,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,v18_rule,3,5760,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.0,0.0,0.0,0
C_minus_A,osi_target_t24h,v18_rule,4,5760,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,v18_rule,0,5760,0.007403360038637721,0.0026367235333492893,0.31570410160338,-2.251733606909389e-05,0.007403360038637721,0.0026367235333492893,0.31570410160338,-2.251733606909389e-05,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,v18_rule,1,5640,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.006981552534588351,0.002711953273323958,0.2749053074737441,0.000565145467611487,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,v18_rule,2,5760,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.009578812076181489,0.0028247432042703834,0.5285009709550098,-0.0005148948266206912,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,v18_rule,3,5760,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.008787791362095468,0.0030819896185994245,0.4448175956566256,-0.0004233646267411603,0.0,0.0,0.0,0
B_minus_A,osi_target_t24h,v18_rule,4,5760,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.007400087622707585,0.0028329232411362483,0.31542506970479994,0.00031952224913584914,0.0,0.0,0.0,0
C_minus_B,osi_target_t48h,C0_direct_osi,0,4608,0.008704349118463793,0.00253824743516673,0.3491283159986753,-0.00039449298256173394,0.008704349118463793,0.00253824743516673,0.3491283159986753,-0.00039449298256173394,0.0,0.0,0.0,0
C_minus_B,osi_target_t48h,C0_direct_osi,1,4512,0.006113810014427709,0.0022366204767726716,0.16865257209103462,0.0004616200978593761,0.006113810014427709,0.0022366204767726716,0.16865257209103462,0.0004616200978593761,0.0,0.0,0.0,0
