split_seed,comparison,horizon,model,fipsCode,countyName,fold,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions
42,C_minus_B,osi_target_t06h,v18_rule,39119,Muskingum County,1,138,0.029000897379464492,0.019642652694094372,0.11606518273636382,0.01961801501293495,0.028351032716274985,0.019217990509776076,0.11092178573894265,0.019193352828616655,-0.0006498646631895068,-2.2408432907654596,0.005143396997421168,117
42,C_minus_B,osi_target_t06h,v18_rule,42053,Forest County,3,138,0.06958637646070116,0.024208584204842377,0.6682324028723986,-0.015777099963316547,0.0697603448500412,0.024211882713101728,0.6715777884763405,-0.016070739774611504,0.00017396838934004288,0.25000351820057,-0.0033453856039419305,124
42,C_minus_B,osi_target_t06h,v18_rule,54013,Calhoun County,2,138,0.04400804701088603,0.022475217038699778,0.2672657318363049,-0.021077681527078267,0.04415066637000087,0.022479209825277045,0.26900082504628736,-0.021211140992272306,0.00014261935911483864,0.3240756379840226,-0.0017350932099824412,101
42,C_minus_B,osi_target_t06h,v18_rule,54015,Clay County,2,138,0.05095436736073405,0.027227700333022343,0.3582959623323042,-0.02507126856172618,0.05106096123434092,0.02730260562705795,0.3597966031801315,-0.02516085305423103,0.00010659387360686945,0.20919477392826735,-0.0015006408478273059,118
20260917,C_minus_B,osi_target_t01h,v18_rule,18013,Brown County,0,143,0.028498809428759996,0.013294871858946756,0.11614204585651951,-0.008937935087243101,0.0283324292569816,0.013040536069121308,0.11478989630706694,-0.009136788021575425,-0.00016638017177839776,-0.5838144649316201,0.0013521495494525637,92
20260917,C_minus_B,osi_target_t01h,v18_rule,39115,Morgan County,0,143,0.0317350652161,0.007150555315878652,0.14401735409062713,-0.006853044600703846,0.03173643603069885,0.007155281574839216,0.14402979618608158,-0.0069607460692897895,1.3708145988541864e-06,0.004319558159160408,-1.2442095454451296e-05,87
20260917,C_minus_B,osi_target_t01h,v18_rule,39117,Morrow County,4,143,0.050715804600786875,0.0202421295734124,0.36780927559164295,-0.01775230270064749,0.04529618333138242,0.019508229392431527,0.2933994240877995,-0.016806371776716563,-0.0054196212694044565,-10.68625709887755,0.07440985150384344,143
20260917,C_minus_B,osi_target_t01h,v18_rule,39119,Muskingum County,3,143,0.006311588860088515,0.004098613342017269,0.005696570013247462,0.0035582928864519303,0.006598225039312965,0.004241412284725816,0.006225730034726571,0.0037983749752583656,0.0002866361792244502,4.541426660994996,-0.0005291600214791092,94
20260917,C_minus_B,osi_target_t01h,v18_rule,42053,Forest County,3,143,0.0988698937225489,0.03579294061208078,1.3978615915132602,-0.031188189049840557,0.0993150890423499,0.03599493953703708,1.410478628343054,-0.031510651769681736,0.0004451953198010006,0.45028400763766907,-0.01261703682979376,119
20260917,C_minus_B,osi_target_t01h,v18_rule,54013,Calhoun County,4,143,0.044668827294082496,0.022405810721081925,0.28532849085148543,-0.02089603514195621,0.04474805288556412,0.022407573637648507,0.28634151789804174,-0.020978137523884603,7.922559148162284e-05,0.1773621477905163,-0.001013027046556314,92
20260917,C_minus_B,osi_target_t01h,v18_rule,54015,Clay County,4,143,0.05004114413649521,0.026232187842053094,0.35808860322799685,-0.023876126266687565,0.049955302676292675,0.02622776712799435,0.356861113963642,-0.02380006471408238,-8.584146020253203e-05,-0.1715417616519388,0.0012274892643548418,95
20260917,C_minus_B,osi_target_t06h,v18_rule,18013,Brown County,0,138,0.02891771001298077,0.013339345664409408,0.11540028543048904,-0.009698997765338052,0.02877982053231252,0.013155422503934294,0.11430237364235221,-0.009825427821932608,-0.00013788948066824694,-0.4768340252611636,0.0010979117881368267,88
