horizon,fipsCode,countyName,sse_reduction_split42,sse_reduction_split20260917,sse_reduction_split20260918,confirmation_improved_splits,confirmation_worsened_splits
osi_target_t01h,39109,Miami County,-2.6871511141832996e-05,-9.787082180950576e-05,-6.710595847037992e-06,0,2
osi_target_t01h,39111,Monroe County,0.003391950664701257,0.0009587591270877466,-0.00102947202183995,1,1
osi_target_t01h,39113,Montgomery County,-3.561037017879966e-05,4.968140177405352e-06,2.2207444018519597e-05,2,0
osi_target_t01h,39115,Morgan County,-0.00012774301958815015,-1.2442095454451296e-05,-5.20600606176147e-05,0,2
osi_target_t01h,39117,Morrow County,0.06707068924225623,0.07440985150384344,0.04674501321044372,2,0
osi_target_t01h,39119,Muskingum County,0.0067022325243210334,-0.0005291600214791092,-0.007353446705455555,0,2
osi_target_t01h,39121,Noble County,0.00039003381724835376,0.0023226436590373985,0.0006887396927408498,2,0
osi_target_t01h,39123,Ottawa County,2.1502849509824802e-05,4.0722919606027376e-05,3.691726495930669e-05,2,0
osi_target_t01h,39125,Paulding County,0.0011259358922387358,0.0013728365914280546,0.003568277570213399,2,0
osi_target_t01h,39127,Perry County,0.0003156518965583936,-0.0025528092625320443,0.0006521460146785216,1,1
osi_target_t01h,39129,Pickaway County,-2.2020368959742894e-05,-1.4709197081873944e-05,-3.317088066115913e-05,0,2
osi_target_t01h,39131,Pike County,-5.468368123985861e-05,2.6938626352583303e-05,6.958947155780507e-05,2,0
osi_target_t01h,39133,Portage County,0.0002343502625432167,0.0004178328682725779,-0.00035032289493025157,1,1
osi_target_t01h,39135,Preble County,-3.245299019488147e-05,5.793547703651907e-05,3.525248594020945e-05,2,0
osi_target_t01h,39137,Putnam County,0.001856736940220094,0.0010061702257314169,-0.00016800260109203248,1,1
osi_target_t01h,39139,Richland County,-0.0009974450063275249,-0.0004923801486792258,-0.0015142156981355556,0,2
osi_target_t01h,39141,Ross County,5.05540216426013e-06,3.249390825249706e-05,-2.5820674535792856e-06,1,1
osi_target_t01h,39143,Sandusky County,7.35763791067441e-05,1.4134692367503076e-05,3.1482043177594524e-06,2,0
osi_target_t01h,39145,Scioto County,8.361220263014666e-06,-5.512977081244415e-06,-3.428973278724653e-05,0,2
osi_target_t01h,39147,Seneca County,5.498753000662983e-05,0.0001002551606244161,3.408571744618693e-05,2,0
osi_target_t01h,39149,Shelby County,-0.0018160795161424811,0.009301586851089505,0.005235218721162935,2,0
osi_target_t01h,39151,Stark County,-2.874685308011009e-05,0.00013034182195836787,0.00011892013196296595,2,0
osi_target_t01h,39153,Summit County,0.000332507934463145,0.0005031391107853736,0.00028536815743797784,2,0
osi_target_t01h,39155,Trumbull County,-2.437209258153569e-05,-0.000134452764094674,4.735758996930999e-05,1,1
osi_target_t01h,39157,Tuscarawas County,-0.003982779380997323,-0.001379433544322739,-0.0028386889020339257,0,2
