split_seed,horizon,space,group_type,group,n,rmse,mae,sse,bias,truth_q00,truth_q50,truth_q90,truth_q95,truth_q99,truth_q100,truth_mean,truth_variance,truth_zero_fraction,prediction_q00,prediction_q50,prediction_q90,prediction_q95,prediction_q99,prediction_q100,prediction_mean,prediction_variance,prediction_zero_fraction,negative_fraction,above_one_fraction,underestimated_sse,overestimated_sse,tp,fp,fn,tn,precision,recall,sse_fraction_of_full
42,1,model_raw,N71,n=0,18876,0.0034882465289183154,0.0008265759213202529,0.22968059796673554,-1.9500685792304417e-05,0.0,0.0,0.0004598295,0.002007412,0.011440882500000001,0.106233062,0.0005536188035600764,1.4032940916340155e-05,0.63917143462598,-0.0025476529609300483,9.011700161893154e-05,0.0015078300725163002,0.0027129840055261714,0.006959488271306365,0.025746291060878786,0.000534118117767772,2.0040138259373197e-06,0.0,0.27474041110404746,0.0,0.20546591364743105,0.0242146843193045,742.0,1948.0,592.0,15594.0,0.2758364312267658,0.5562218890554723,0.3631100441177611
42,1,model_raw,N71,0<n<=.001,10439,0.0023875342100450753,0.0007041824814804932,0.059505636347571125,8.913964376853493e-05,0.0,0.0,0.000498902,0.001605136,0.00898039950000003,0.070544801,0.0004050513653606667,5.506670953873102e-06,0.5633681387106044,-0.001956883405568905,0.00012833761342644597,0.001426651390007807,0.0022731835390934724,0.00531907910650031,0.021957112269012112,0.0004941910091292017,1.266504347040371e-06,0.0,0.22674585688284318,0.0,0.04916140888471916,0.010344227462851947,345.0,1225.0,366.0,8503.0,0.2197452229299363,0.48523206751054854,0.09407452971953399
42,1,model_raw,N71,n>.001,4862,0.00840352772707833,0.0017666201426665442,0.3433509308990226,-6.397788024553843e-05,0.0,0.0,0.0014469254000000075,0.0042829188999999835,0.02034494527000011,0.243055556,0.0011714666958041959,7.637681085838955e-05,0.5707527766351296,-0.001110095396262152,0.0005182424178691706,0.0029273534888016334,0.004218864316043657,0.007593101909017838,0.02724948588800509,0.0011074888155586573,3.283965031096097e-06,0.0,0.15014397367338544,0.0,0.32999762673827676,0.013353304160745774,364.0,1342.0,198.0,2958.0,0.21336459554513482,0.6476868327402135,0.5428154261627048
42,1,model_raw,fold,0,6864,0.0019635577447230093,0.0007575146475715078,0.026464557091738776,0.00023617138532743885,0.0,0.0,0.0004087813999999999,0.001632957499999997,0.007652376,0.046462723,0.0003539331413170163,3.596144640234329e-06,0.6162587412587412,-0.001956883405568905,0.00014048176683730294,0.00175602340638237,0.0027402846699589294,0.006978265658406789,0.02724948588800509,0.0005901045266444552,2.254694454462669e-06,0.0,0.32094988344988346,0.0,0.015339285302671948,0.011125271789066828,226.0,969.0,184.0,5485.0,0.1891213389121339,0.551219512195122,0.041838738570900175
42,1,model_raw,fold,1,6721,0.0032504660082425894,0.0009254169011502096,0.07101092222864698,-1.0851934790161439e-05,0.0,0.0,0.00065934,0.001991757,0.014021061,0.080875238,0.0006138736387442345,1.2472103792488244e-05,0.5668799285820563,-0.0007956354598234506,0.00015113876274943874,0.001817073352310849,0.0027993350137519427,0.005575752547083583,0.017468493980094712,0.0006030217039540731,1.3289662032202908e-06,0.0,0.2770421068293409,0.0,0.06402628551586134,0.006984636712785649,315.0,1007.0,235.0,5164.0,0.23827534039334342,0.5727272727272728,0.1122636362476786
42,1,model_raw,fold,2,6864,0.005733466724227489,0.0010665831975900089,0.22563780561258331,-5.66531199646039e-05,0.0,0.0,0.0006092300999999997,0.0026060244999999873,0.01289085589999996,0.20429983,0.000731896268939394,3.5650353312272857e-05,0.6142191142191142,-0.0025476529609300483,0.00012414799178718012,0.0019393257868427426,0.003291633085579289,0.007554744382184667,0.02292259070478859,0.0006752431489747901,2.6883436227014134e-06,0.0,0.16885198135198135,0.0,0.2128439096361201,0.01279389597646315,336.0,926.0,225.0,5377.0,0.2662440570522979,0.5989304812834224,0.35671865310314976
42,1,model_raw,fold,3,6864,0.005649982487702738,0.0010322860527492525,0.21911468169229,-3.055730009036838e-05,0.0,0.0,0.0006188556999999998,0.002217717,0.012481962,0.243055556,0.0006689281006701632,3.512715558914826e-05,0.6165501165501166,-0.0011334383348938167,0.00010461474784374818,0.0020696397804952126,0.0032588419225873942,0.0071034837715379185,0.025746291060878786,0.0006383708005797949,2.3417624067230332e-06,0.0,0.34513403263403264,0.0,0.20809211299248823,0.011022568699801855,320.0,968.0,224.0,5352.0,0.2484472049689441,0.5882352941176471,0.34640601966588236
42,1,model_raw,fold,4,6864,0.003627248892236924,0.0008328626283173986,0.09030919858807013,-0.00010171312199521355,0.0,0.0,0.000636071,0.0022520491999999956,0.01258368,0.070601852,0.0006124141219405595,1.4691634710788263e-05,0.6166958041958042,-0.0003446930199037393,0.00013905922065570776,0.0012485830477629207,0.0021837374710606447,0.0054086366321428716,0.018955052636506167,0.0005107009999453459,1.3734173847929838e-06,0.0,0.10052447552447552,0.0,0.0843233558232854,0.005985842764784741,254.0,645.0,288.0,5677.0,0.2825361512791991,0.46863468634686345,0.14277295241238905
42,1,component_clipped,all,all,34177,0.00429948761942347,0.0008940244744804161,0.6317821389463288,3.6252860896916266e-05,0.0,0.0,0.000574911,0.002088187,0.011858698559999919,0.243055556,0.0005961351439272024,2.0356924792160774e-05,0.6062849284606607,0.0,0.0001303769303519182,0.0017751111505515471,0.0028772801391069693,0.006611529683431015,0.02724948588800509,0.0006323880048241188,1.957530663682052e-06,0.2423559703894432,0.0,0.0,0.5838699230034267,0.04791221594290222,1451.0,4515.0,1156.0,27055.0,0.24321153201475026,0.556578442654392,1.0
42,1,component_clipped,common_target,120_215,22944,0.0034766988281550743,0.0006922799178587554,0.27733410271344705,5.269514679832795e-05,0.0,0.0,0.000321247,0.001331103,0.008993226079999996,0.20429983,0.0004309970198308926,1.2856811809483623e-05,0.6221670153417015,0.0,9.394952045572828e-05,0.001344654003392671,0.0022610641297026437,0.005262009178442452,0.01947538469634592,0.0004836921666292206,1.135170736166014e-06,0.2683490237099024,0.0,0.0,0.2579478005109157,0.019386302202531392,637.0,2477.0,687.0,19143.0,0.20456005138086064,0.4811178247734139,0.4389711035135913
42,1,component_clipped,target_window,73_76,956,0.013324782131100388,0.0024022249333299356,0.1697376268122753,-0.00030143414171367205,0.0,0.0,0.0008750405,0.004604131,0.037974659650000686,0.243055556,0.001765481563807531,0.0002023379895844553,0.6370292887029289,0.0,0.00030155162420088743,0.003521127551130458,0.007200242499343532,0.017086923557837752,0.02724948588800509,0.0014640474220938594,1.0061524552814358e-05,0.23117154811715482,0.0,0.0,0.1631500256361117,0.006587601176163645,63.0,234.0,30.0,629.0,0.21212121212121213,0.6774193548387096,0.26866480761130673
