split_seed,horizon,space,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,weighted_N_sse
42,1,model_raw,18109,Morgan County,IN,2,143,0.0016472702440842775,0.0006737998509265571,0.000388030393757503,0.00039746271301664525,4.753372323529411e-05
42,1,model_raw,18111,Newton County,IN,2,143,0.0014453038893518621,0.0009219897680573515,0.0002987131765583135,0.0005179661243137157,3.6592364128393404e-05
42,1,model_raw,18113,Noble County,IN,1,143,0.0004426363664030084,0.00023508244903815804,2.8017554259331546e-05,0.00018191220311242058,3.432150396768114e-06
42,1,model_raw,18117,Orange County,IN,4,143,0.009218225617923716,0.0019676895690858656,0.012151522746641148,-0.0016292064545148314,0.0014885615364635405
42,1,model_raw,18121,Parke County,IN,1,143,0.006739155844724008,0.0029436011102207177,0.006494519674425319,0.00012168489522411368,0.0007955786601171015
42,1,model_raw,18123,Perry County,IN,3,143,0.0034909268440088104,0.0010271664488707623,0.0017426795429216478,0.0009181359371324361,0.00021347824400790182
42,1,model_raw,18125,Pike County,IN,0,143,0.002267865872789767,0.00075494190563148,0.0007354798332259222,0.0005441506051856442,9.009627957017545e-05
42,1,model_raw,18127,Porter County,IN,2,143,0.0006672057102759658,0.0003764051393272214,6.365837475495441e-05,0.00035172791234077094,7.798150907481914e-06
42,1,model_raw,18129,Posey County,IN,4,143,0.0014107140216693635,0.00046007662281909607,0.0002845863092836406,0.0003123889193229744,3.486182288724597e-05
42,1,model_raw,18131,Pulaski County,IN,4,143,0.008544043178969004,0.0016947880796208703,0.010439096359704407,-0.0010621472388345442,0.0012787893040637898
42,1,model_raw,18133,Putnam County,IN,4,143,0.0010770301281372307,0.00045750706436796664,0.00016587912725888788,0.00013953649219038863,2.0320193089213762e-05
42,1,model_raw,18135,Randolph County,IN,0,143,0.0010157193656575357,0.0005503494937991372,0.00014753107365735976,0.00023056407436710763,1.807255652302657e-05
42,1,model_raw,18137,Ripley County,IN,0,143,0.0016176963832158792,0.0007175618707304556,0.0003742226471225725,0.0002661706303627583,4.5842274272515126e-05
42,1,model_raw,18139,Rush County,IN,2,143,0.00317242895284489,0.0008457528611127002,0.0014391956809013395,-0.0003971660289906828,0.00017630147091041406
42,1,model_raw,18141,St. Joseph County,IN,4,143,0.0005994442218632643,0.0003198791556478494,5.1384672642911376e-05,0.00010978314425373464,6.294622398756643e-06
42,1,model_raw,18143,Scott County,IN,2,143,0.0014693141028591394,0.0005007232306060485,0.00030872040239908824,-0.0001182220261714805,3.7818249293888304e-05
42,1,model_raw,18145,Shelby County,IN,4,143,0.000842674865488776,0.0002542854093277316,0.0001015444328364933,-1.622945508236848e-05,1.2439193022470429e-05
42,1,model_raw,18147,Spencer County,IN,0,143,0.001148212258476053,0.0005222339451879557,0.000188529968843599,0.000400318877625324,2.3094921183340877e-05
42,1,model_raw,18149,Starke County,IN,3,143,0.0015622901440391639,0.0009837581116520664,0.0003490273206651534,0.0006774380052306493,4.2755846781481285e-05
42,1,model_raw,18151,Steuben County,IN,1,143,0.002890325837882066,0.0016555362002566862,0.0011946196332253997,-0.0012544842531493079,0.00014634090507011145
42,1,model_raw,18153,Sullivan County,IN,3,143,0.0013326418069131004,0.0005116949849494447,0.00025395858853116373,0.00028119313133576497,3.1109927095067555e-05
42,1,model_raw,18155,Switzerland County,IN,4,143,0.0019211281615295285,0.0006097483850634624,0.000527774878062121,0.0005479903739563871,6.465242256260981e-05
42,1,model_raw,18157,Tippecanoe County,IN,1,143,0.0004045084347349536,0.0002281156710642761,2.339867154935627e-05,0.0001460882194057037,2.866337264796143e-06
42,1,model_raw,18159,Tipton County,IN,0,143,0.0039185728993821846,0.0009741998287841722,0.002195795540191467,-0.00048476137127473253,0.00026898495367345466
42,1,model_raw,18161,Union County,IN,0,143,0.001701804009587344,0.0008117597388614529,0.00041414757484780116,0.00040042889368863355,5.0733077918855637e-05
42,1,model_raw,18163,Vanderburgh County,IN,4,143,0.0006236406119380942,0.00022437351645948384,5.561664863876845e-05,0.00012226403398428337,6.813039458249134e-06
42,1,model_raw,18165,Vermillion County,IN,4,143,0.009449881412879143,0.0019010990629438223,0.012769936996599455,-0.001068686606759303,0.001564317282083433
42,1,model_raw,18167,Vigo County,IN,3,143,0.0010189277380850555,0.00037981519186453547,0.00014846456416779528,8.999217469878211e-05,1.8186909110554918e-05
42,1,model_raw,18169,Wabash County,IN,3,143,0.0010414545068391993,0.0003963898984403593,0.0001551017310436423,6.302147627775098e-05,1.899996205284618e-05
42,1,model_raw,18171,Warren County,IN,0,143,0.0032764496225677897,0.0014167578506896726,0.0015351224644791195,0.0005467957517673316,0.00018805250189869212
42,1,model_raw,18173,Warrick County,IN,3,143,0.0010348711204671056,0.00039995159877702146,0.00015314702774468848,7.744366535794329e-05,1.8760510898724337e-05
42,1,model_raw,18175,Washington County,IN,4,143,0.0023324848748746065,0.0006812527087790389,0.00077798945388719,-8.541334999014882e-05,9.530370810118076e-05
42,1,model_raw,18177,Wayne County,IN,1,143,0.0007735163462002845,0.0004011353184655792,8.556083791098247e-05,0.0002491464927004954,1.0481202644095352e-05
42,1,model_raw,18179,Wells County,IN,0,143,0.002777404622865886,0.0007482906018125883,0.0011030986307937012,-0.00027457555444429787,0.00013512958227222837
42,1,model_raw,18181,White County,IN,2,143,0.0011838499335556762,0.00048426634939413495,0.00020041459512070835,0.00030827229547077914,2.455078790228677e-05
42,1,model_raw,18183,Whitley County,IN,1,143,0.001978334842659547,0.0006232263666025542,0.0005596746512043508,2.6895585384784496e-05,6.856014477253296e-05
42,1,model_raw,39017,Butler County,OH,1,143,0.000450560763876675,0.00021867130772659261,2.9029715278154e-05,0.00012392850024272998,3.5561401215738647e-06
42,1,model_raw,39023,Clark County,OH,1,143,0.0005246208506517856,0.0003254560229292422,3.9357466282220235e-05,4.80050153042893e-05,4.821289619571978e-06
42,1,model_raw,39025,Clermont County,OH,1,143,0.0013579471548696407,0.0004577531872166579,0.00026369492798485294,-0.00025432068801652303,3.230262867814448e-05
42,1,model_raw,39027,Clinton County,OH,0,143,0.0006517591277506405,0.0003230021641677831,6.0744964366697426e-05,5.6336678668786206e-05,7.441258134920434e-06
42,1,model_raw,39029,Columbiana County,OH,2,143,0.0017377717089219022,0.0006289401938781168,0.00043183862326309677,-0.00013245245105410932,5.290023134972935e-05
42,1,model_raw,39031,Coshocton County,OH,2,143,0.0010092496459013758,0.0005147890220204292,0.00014565763322854357,-7.009937588566971e-05,1.7843060070496583e-05
42,1,model_raw,39033,Crawford County,OH,4,143,0.0013546828163890148,0.0008144473945403254,0.00026242867122181325,0.0005017310613262589,3.214751222467212e-05
42,1,model_raw,39035,Cuyahoga County,OH,4,143,0.0014539246783060998,0.0006065671962877044,0.0003022872667368119,-0.00010646620600661551,3.703019017525945e-05
42,1,model_raw,39037,Darke County,OH,0,143,0.000708868010260604,0.00042488782874601586,7.185662140382838e-05,0.00034461385859968865,8.802436121968974e-06
42,1,model_raw,39039,Defiance County,OH,1,143,0.0014150534274675886,0.0006041804904271665,0.0002863397969700511,5.6210237438047345e-05,3.5076625128831256e-05
