case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
AB_P06,osi_target_t48h,39115,Morgan County,OH,2,96,0.03857661169085658,0.008499269791595614,0.1428628770765247,-0.0074716802501162425,0.03857661169085658,0.0,0.0,0.0
AB_P06,osi_target_t48h,39117,Morrow County,OH,4,96,0.006628136061367782,0.0051148377071732485,0.004217490014208386,-0.00483437980586649,0.006628136061367782,0.0,0.0,0.0
AB_P06,osi_target_t48h,42053,Forest County,PA,3,96,0.007001260076209866,0.005266083301553576,0.004705693694854097,0.0012026366714988385,0.007001260076209866,0.0,0.0,0.0
AB_P06,osi_target_t48h,42131,Wyoming County,PA,3,96,0.0028963207220625902,0.001348142524803947,0.0008053126776047198,-0.0010872615856185278,0.0028963207220625902,0.0,0.0,0.0
AB_P06,osi_target_t48h,54013,Calhoun County,WV,2,96,0.04949285046696422,0.03043259025806112,0.23515605574514695,-0.028462201201676196,0.04949285046696422,0.0,0.0,0.0
AB_P06,osi_target_t48h,54015,Clay County,WV,2,96,0.05714943168179572,0.03392082663725176,0.3135415239890147,-0.02974719498064284,0.05714943168179572,0.0,0.0,0.0
AB_P24,osi_target_t01h,18013,Brown County,IN,1,143,0.02912783412628542,0.013022210774227766,0.12132559308704087,-0.009295554034458335,0.02892942207308759,0.00019841205319783006,0.6858486584922385,-0.0016472540949936665
AB_P24,osi_target_t01h,39115,Morgan County,OH,2,143,0.031680634296562156,0.006782236938225999,0.14352375028884895,-0.005526219440930511,0.031664786178197714,1.584811836444211e-05,0.050049661713336135,-0.00014355851817865473
AB_P24,osi_target_t01h,39117,Morrow County,OH,4,143,0.01943250637494654,0.011555729298668473,0.05399998947376434,-0.003250001630976431,0.017959500045327124,0.0014730063296194175,8.201822578032614,-0.007876248685195326
AB_P24,osi_target_t01h,42053,Forest County,PA,3,143,0.09412038045781182,0.03412284699234968,1.266786380505824,-0.025460808969263032,0.09413286581485097,-1.2485357039154765e-05,-0.013263547148045784,0.0003361084860695751
AB_P24,osi_target_t01h,42131,Wyoming County,PA,3,143,0.01576953529543726,0.003496994576684602,0.03556098881106792,-0.003142985279109221,0.01577127595360595,-1.7406581686897626e-06,-0.011036888669058165,7.850953216946566e-06
AB_P24,osi_target_t01h,54013,Calhoun County,WV,2,143,0.043532537157111556,0.021801283350815454,0.2709966961609477,-0.02047527528837731,0.043186635042322584,0.0003459021147889721,0.8009471320235884,-0.004289477343084269
