horizon,fipsCode,countyName,stateAbbr,improved_splits,worsened_splits,unchanged_splits,split42_sse_reduction,split20260917_sse_reduction,split20260918_sse_reduction
osi_target_t01h,39073,Hocking County,OH,1,2,0,0.0003181484523438842,-1.6955076154414293e-05,-1.6471400912945527e-05
osi_target_t01h,39075,Holmes County,OH,0,3,0,-0.0047008924869075975,-0.010888084136563461,-0.009859640482109217
osi_target_t01h,39077,Huron County,OH,0,3,0,-0.00037031741808269455,-0.0005884736261148487,-0.0002825323305337044
osi_target_t01h,39081,Jefferson County,OH,1,2,0,-0.0011287261504249989,0.0007142852786543863,-0.0009057098836426809
osi_target_t01h,39085,Lake County,OH,1,2,0,-0.00011441251850727297,1.4771006157421156e-05,-9.182498881410341e-05
osi_target_t01h,39087,Lawrence County,OH,2,1,0,-2.677025616834778e-05,3.959058413201136e-06,1.9589871655995624e-05
osi_target_t01h,39089,Licking County,OH,3,0,0,0.01006807039856672,0.009115733805526938,0.013062312266361169
osi_target_t01h,39091,Logan County,OH,3,0,0,0.0032861789290713657,0.0403621292141718,0.00039340399537823693
osi_target_t01h,39093,Lorain County,OH,3,0,0,0.0003343267092340091,0.00022320930840157949,0.00023838230698581278
osi_target_t01h,39095,Lucas County,OH,3,0,0,0.00021918405724556694,1.4581005897030898e-05,7.35567564321873e-05
osi_target_t01h,39097,Madison County,OH,2,1,0,-0.0002079840497043843,0.0012447254017897563,0.0003986144713087336
osi_target_t01h,39099,Mahoning County,OH,3,0,0,5.684004539203692e-05,3.239992166255949e-05,9.246170135985079e-05
osi_target_t01h,39101,Marion County,OH,3,0,0,1.6797588411507705e-05,0.0006315722162614648,0.0007822262127828656
osi_target_t01h,39103,Medina County,OH,2,1,0,-0.0005443427671933529,0.0002833830026198938,0.0008682905705443391
osi_target_t01h,39105,Meigs County,OH,0,3,0,-4.0703136667078485e-05,-5.740128186310697e-07,-8.583975373848275e-05
osi_target_t01h,39107,Mercer County,OH,3,0,0,0.0023682308680606917,0.005108554414289118,0.005193664109359043
osi_target_t01h,39109,Miami County,OH,2,1,0,0.000133945028287684,-9.365797866704956e-05,4.0261553148232716e-05
osi_target_t01h,39111,Monroe County,OH,3,0,0,0.012462638231562094,0.0058242695015043935,0.007822585397273804
osi_target_t01h,39113,Montgomery County,OH,0,3,0,-3.871206098857079e-05,-2.824641079435757e-05,-6.777660434582845e-05
osi_target_t01h,39115,Morgan County,OH,0,3,0,-0.00022255551518521322,-6.813454045115352e-05,-0.00014765088744839172
osi_target_t01h,39117,Morrow County,OH,3,0,0,0.01100634421454938,0.010527060711373298,0.007350274277049089
osi_target_t01h,39119,Muskingum County,OH,2,1,0,0.02620853802094361,-0.0007858885614066991,0.02775300060780643
osi_target_t01h,39121,Noble County,OH,2,1,0,-0.0008129901185206772,0.002044207012264895,0.003029121352746182
osi_target_t01h,39123,Ottawa County,OH,2,1,0,9.969576593026497e-06,-2.314671333917542e-05,2.406036335339545e-05
osi_target_t01h,39125,Paulding County,OH,3,0,0,0.007827068399668138,0.005922675181525339,0.004821264352307897
osi_target_t01h,39127,Perry County,OH,0,3,0,-0.004039875928141503,-0.001163211667590796,-0.004751007349406672
osi_target_t01h,39129,Pickaway County,OH,3,0,0,3.071250164549596e-05,3.4285143946792584e-06,1.7441471295774337e-05
osi_target_t01h,39131,Pike County,OH,2,1,0,9.77840648279547e-05,-6.871364144392985e-05,9.480381837986135e-05
osi_target_t01h,39133,Portage County,OH,3,0,0,0.0005529042362236742,0.00038355493808455137,0.0012525970484040154
osi_target_t01h,39135,Preble County,OH,3,0,0,0.00013465408066327608,5.5988132814556966e-05,6.241254306019531e-06
osi_target_t01h,39137,Putnam County,OH,2,1,0,0.0006867161140175597,0.0004344631483934342,-6.24348991411991e-05
osi_target_t01h,39139,Richland County,OH,2,1,0,-0.0005604364506037011,0.0017020565795918957,0.0034811556746773033
osi_target_t01h,39141,Ross County,OH,3,0,0,7.428003355382034e-05,2.3521379876393885e-05,0.0001888866737624409
osi_target_t01h,39143,Sandusky County,OH,0,3,0,-6.42925445490123e-07,-6.053808954204821e-05,-7.769444461913318e-06
osi_target_t01h,39145,Scioto County,OH,3,0,0,1.4710536781893917e-05,2.1575258385603084e-05,1.2806700292887128e-06
osi_target_t01h,39147,Seneca County,OH,2,1,0,-4.668233375881484e-05,4.476649728725999e-05,2.1488135346655766e-05
osi_target_t01h,39149,Shelby County,OH,3,0,0,0.008153412225637396,0.03110084259466077,0.0019374874657180942
osi_target_t01h,39151,Stark County,OH,2,1,0,-1.623617291040473e-05,0.0001701028748550032,0.0005117339581236235
osi_target_t01h,39153,Summit County,OH,3,0,0,0.00046661163455479003,0.00021772179524943004,0.000452559967640755
osi_target_t01h,39155,Trumbull County,OH,1,2,0,-1.0501580720839905e-05,0.00025805764226000073,-2.9332150742143997e-05
osi_target_t01h,39157,Tuscarawas County,OH,3,0,0,0.010348155674235734,0.007097768761327769,0.017566675299280896
osi_target_t01h,39159,Union County,OH,3,0,0,0.0031792361942030683,0.0007393956178782693,0.0004691542991734464
osi_target_t01h,39161,Van Wert County,OH,2,1,0,0.0008920898830468748,-0.00021999821696246265,0.0003164482062099983
osi_target_t01h,39163,Vinton County,OH,0,3,0,-3.556028161736226e-05,-9.577994176622083e-06,-5.207737417042054e-06
osi_target_t01h,39165,Warren County,OH,3,0,0,2.866310911256125e-05,2.8489222921492414e-05,1.0655667515960054e-05
osi_target_t01h,39167,Washington County,OH,2,1,0,-7.345154458781732e-05,1.7371876715668562e-05,9.892283774024955e-06
osi_target_t01h,39169,Wayne County,OH,3,0,0,0.0026588015696914612,0.00031520534585885787,0.0011759478093977468
osi_target_t01h,39171,Williams County,OH,3,0,0,0.007616643786060499,0.0032614250273460543,0.0017902530399447492
osi_target_t01h,39173,Wood County,OH,2,1,0,-0.00018337719850923875,0.0006282803999920154,0.0003821419149847632
osi_target_t01h,39175,Wyandot County,OH,1,2,0,9.059505544107074e-05,-6.357229433150125e-05,-3.760323075674085e-05
osi_target_t01h,42005,Armstrong County,PA,3,0,0,0.005160946737734522,0.008352426904990686,0.002232793544220825
osi_target_t01h,42007,Beaver County,PA,2,1,0,-0.0010671138717278372,0.0017417088370481476,0.00019979149997948528
osi_target_t01h,42009,Bedford County,PA,1,2,0,-0.00101721810478087,-0.0018990597494936007,0.0003570657327466552
osi_target_t01h,42013,Blair County,PA,2,1,0,3.840105230244425e-05,-1.949412753587395e-05,4.27185127036563e-05
osi_target_t01h,42015,Bradford County,PA,1,2,0,1.0739410488222467e-05,-5.548633068489742e-06,-1.822422712230735e-05
osi_target_t01h,42019,Butler County,PA,1,2,0,-0.0001521658568864406,0.0023789586006912286,-1.411682834487251e-05
osi_target_t01h,42021,Cambria County,PA,2,1,0,0.00019447784271406018,0.0033715214004964716,-0.0002179570060926294
osi_target_t01h,42023,Cameron County,PA,0,3,0,-0.001563095869528722,-0.004834482504905396,-0.00045787490558967317
osi_target_t01h,42025,Carbon County,PA,1,2,0,-4.5905230482420965e-06,-2.4999363919142104e-05,1.5288191405689387e-05
osi_target_t01h,42027,Centre County,PA,2,1,0,3.374529085798704e-05,3.969673840524383e-05,-9.554571888703762e-06
osi_target_t01h,42029,Chester County,PA,1,2,0,-0.00015115794321617082,-0.00039572249774594455,4.67903868078285e-05
osi_target_t01h,42031,Clarion County,PA,1,2,0,0.0006229030600918492,-0.0017287624757979063,-0.0002395023239782166
osi_target_t01h,42033,Clearfield County,PA,1,2,0,-8.776438504687865e-05,0.0005173032289291146,-0.0004920272492569227
osi_target_t01h,42035,Clinton County,PA,2,1,0,0.00029097189809259693,0.0005104866832419388,-0.00010777423191657334
osi_target_t01h,42039,Crawford County,PA,0,3,0,-9.107074078907804e-05,-0.0002947613182179877,-0.0002432298851920943
osi_target_t01h,42041,Cumberland County,PA,3,0,0,9.947119248807448e-05,8.219956313367297e-05,0.00017725708710035308
osi_target_t01h,42043,Dauphin County,PA,3,0,0,1.9270901378160585e-05,1.16933816899609e-05,9.078600626055656e-06
osi_target_t01h,42045,Delaware County,PA,0,3,0,-9.107649347853879e-05,-9.46310983971784e-05,-9.572980750565264e-05
osi_target_t01h,42047,Elk County,PA,1,2,0,4.0662277275838044e-07,-0.0003324536098342247,-0.0003907950011644082
osi_target_t01h,42049,Erie County,PA,1,2,0,0.00020710965558655772,-0.0004588671421908823,-0.00025602325252868825
osi_target_t01h,42051,Fayette County,PA,1,2,0,-4.103172866355004e-05,-9.282264850043152e-05,0.00022652800790423373
osi_target_t01h,42053,Forest County,PA,2,1,0,-0.004122584322326706,0.027568872174954517,0.012048434941792197
osi_target_t01h,42055,Franklin County,PA,3,0,0,1.3471867728362424e-05,1.239708523663723e-05,7.028376757853012e-06
osi_target_t01h,42057,Fulton County,PA,3,0,0,6.806586509313598e-06,2.9838226313394153e-05,0.00020194694786963906
osi_target_t01h,42059,Greene County,PA,2,1,0,-0.00016677136162856002,0.00015478589347600602,5.106064557528281e-05
osi_target_t01h,42061,Huntingdon County,PA,0,3,0,-0.00022548485357422863,-0.00015021069402246928,-0.00033537200948044335
osi_target_t01h,42063,Indiana County,PA,3,0,0,0.0008185274016343658,0.0013013607575910555,0.0024298844391229795
osi_target_t01h,42065,Jefferson County,PA,3,0,0,0.0015684319514335816,0.0019679703273422396,0.0027558317167102574
osi_target_t01h,42067,Juniata County,PA,2,1,0,1.3802101972139108e-05,-6.67293633809498e-05,4.77059797702133e-05
osi_target_t01h,42069,Lackawanna County,PA,3,0,0,1.1931649132905053e-05,7.596983993771406e-05,1.0019374352860126e-06
osi_target_t01h,42075,Lebanon County,PA,0,3,0,-1.4056141987838291e-05,-5.408757832646872e-05,-0.00011076293476492815
osi_target_t01h,42077,Lehigh County,PA,2,1,0,7.27819598766589e-05,-1.2892923487214242e-06,0.000134272570774661
osi_target_t01h,42079,Luzerne County,PA,2,1,0,7.71902270499912e-06,2.787115316927897e-05,-5.786552022765093e-06
osi_target_t01h,42081,Lycoming County,PA,3,0,0,0.0002692444331990379,0.0003508274531415234,0.00015771057539990213
osi_target_t01h,42083,McKean County,PA,2,1,0,1.2181137979534913e-05,1.0812484500090456e-05,-0.00010106746665607949
osi_target_t01h,42085,Mercer County,PA,2,1,0,0.00020468378413631165,-0.0002021323060880497,6.931690865242526e-05
osi_target_t01h,42089,Monroe County,PA,1,2,0,-9.92216243562126e-07,5.641367259579108e-05,-4.247933596158255e-05
osi_target_t01h,42091,Montgomery County,PA,1,2,0,0.00012458422999930656,-1.421792448319558e-05,-1.2724329934263486e-06
osi_target_t01h,42095,Northampton County,PA,1,2,0,0.00010667549738528452,-2.2577364925733916e-06,-2.188643984728754e-05
osi_target_t01h,42097,Northumberland County,PA,2,1,0,-2.1633843452787934e-05,8.973932165067412e-05,3.597404746760323e-05
osi_target_t01h,42101,Philadelphia County,PA,1,2,0,-0.00013027720024504433,1.5706809947712945e-05,-1.6404564948359172e-05
osi_target_t01h,42103,Pike County,PA,2,1,0,3.418523799694675e-05,1.4454174726674868e-05,-4.937513894603951e-06
osi_target_t01h,42109,Snyder County,PA,2,1,0,8.865352479544338e-05,-6.426377531692801e-05,3.449378831748683e-05
osi_target_t01h,42113,Sullivan County,PA,1,2,0,-0.0008941945055747648,0.0001615202227982799,-1.2196812336014336e-05
osi_target_t01h,42115,Susquehanna County,PA,0,3,0,-8.041836237189775e-05,-4.7540765333596406e-05,-6.092145608524013e-06
osi_target_t01h,42119,Union County,PA,2,1,0,1.7161483287731144e-05,2.720715474185606e-05,-8.105141805509527e-05
osi_target_t01h,42121,Venango County,PA,3,0,0,0.0006038992476098681,0.0015787502739978004,0.0012346347417852982
osi_target_t01h,42125,Washington County,PA,3,0,0,0.0005380186103112368,0.004068213833666359,0.002128711648090675
osi_target_t01h,42127,Wayne County,PA,3,0,0,5.048658999640674e-06,4.214139299927059e-06,8.622665346292224e-05
osi_target_t01h,42129,Westmoreland County,PA,3,0,0,0.001106769592393256,0.0012217962929295207,0.0012652217198857352
osi_target_t01h,42131,Wyoming County,PA,0,3,0,-0.0005063559889505326,-0.0006273315369760002,-0.00013095298233356534
osi_target_t01h,42133,York County,PA,0,3,0,-5.383228550140124e-05,-7.813956584504776e-05,-8.807614326960666e-05
osi_target_t01h,54007,Braxton County,WV,0,3,0,-0.001111329302416822,-0.001245459337441343,-0.0010016658272637147
osi_target_t01h,54009,Brooke County,WV,3,0,0,0.009123687429367353,0.011037105840182235,0.0015857648498824248
osi_target_t01h,54013,Calhoun County,WV,0,3,0,-0.003834868478088116,-0.009683177366742124,-0.0012305449274421787
osi_target_t01h,54015,Clay County,WV,2,1,0,0.007814302025596132,-0.006631380596717085,0.0032223420660887625
osi_target_t01h,54019,Fayette County,WV,2,1,0,0.00010500508910230542,5.511525129713209e-05,-2.2190170627281458e-05
osi_target_t01h,54023,Grant County,WV,2,1,0,8.709619932855214e-06,-1.5219939921743266e-05,2.8278743444687827e-05
osi_target_t01h,54025,Greenbrier County,WV,2,1,0,5.086308977810623e-05,-4.9668925830877566e-06,2.3284234711043504e-05
osi_target_t01h,54027,Hampshire County,WV,1,2,0,2.2844966350946583e-05,-7.208992161037158e-05,-2.381270481435153e-05
osi_target_t01h,54029,Hancock County,WV,1,2,0,-0.005047379638870555,-0.006928328807179685,5.710425229719929e-05
osi_target_t01h,54031,Hardy County,WV,1,2,0,-7.237466709823445e-05,6.821228998781046e-05,-0.00011742248371194718
osi_target_t01h,54033,Harrison County,WV,1,2,0,6.0442402834086145e-05,-4.335973630519062e-05,-5.57691817736467e-05
osi_target_t01h,54035,Jackson County,WV,2,1,0,2.8886371210839297e-05,1.345436583924213e-06,-1.0786186363140673e-05
osi_target_t01h,54037,Jefferson County,WV,2,1,0,9.82252454569143e-06,1.3977557369817054e-05,-1.3572914825636575e-05
osi_target_t01h,54039,Kanawha County,WV,2,1,0,1.6821216252093252e-05,-2.1207740651944373e-05,4.2584737233679944e-05
osi_target_t01h,54041,Lewis County,WV,2,1,0,-0.00010488267241118288,4.603874752657014e-05,3.5218969885383866e-06
osi_target_t01h,54043,Lincoln County,WV,2,1,0,2.5997964482221345e-05,0.00031743859696110877,-0.0007173068659275077
osi_target_t01h,54045,Logan County,WV,2,1,0,0.0002875130648700031,-4.6434206205354586e-05,0.000514806782029793
osi_target_t01h,54047,McDowell County,WV,1,2,0,-1.723168320543443e-05,0.0002962477357790153,-0.0002697889032076224
osi_target_t01h,54053,Mason County,WV,3,0,0,1.326636014162795e-05,9.407132824512643e-05,9.164097331001509e-05
osi_target_t01h,54055,Mercer County,WV,2,1,0,1.1669538204929475e-05,-1.8435411680945e-05,1.9237140304660433e-05
osi_target_t01h,54057,Mineral County,WV,2,1,0,6.767335257420461e-05,2.406116847905544e-05,-1.3459507022218543e-05
