feature_set,component,candidate,horizon,stage,feature,gain,gain_fraction
base,P_t,l2,osi_target_t06h,regression,storm_onset_mean_osi,0.28488794539589435,0.0013985953454374582
base,P_t,l2,osi_target_t06h,regression,osi_trend_last6h,2.4611075725988485,0.012082271824012518
base,P_t,l2,osi_target_t06h,regression,is_worsening,0.0021688700653612614,1.0647595404774229e-05
base,P_t,l2,osi_target_t06h,regression,frac_zero_72h,0.1575668266741559,0.0007735400319433841
base,P_t,l2,osi_target_t06h,regression,hours_since_peak,0.09265583334490657,0.00045487364185849724
base,P_t,l2,osi_target_t06h,regression,gust_mean_obs,0.29427440831204876,0.0014446761416129924
base,P_t,l2,osi_target_t06h,regression,gust_max_obs,0.2523900849628262,0.0012390541746967877
base,P_t,l2,osi_target_t06h,regression,gust_gt30_obs,0.07086140208411962,0.0003478786264132683
base,P_t,l2,osi_target_t06h,regression,gust_gt40_obs,0.10992227040696889,0.0005396394555672201
base,P_t,l2,osi_target_t06h,regression,cumul_gust_obs,0.029984349268488586,0.00014720163489052827
base,P_t,l2,osi_target_t06h,regression,gust_last_obs,1.0212217559746932,0.005013465882457297
base,P_t,l2,osi_target_t06h,regression,gust_max_last6h_obs,0.8376630558632314,0.0041123244065212625
base,P_t,l2,osi_target_t06h,regression,gust_trend_last6h_obs,0.3015033271512948,0.0014801649448582994
base,P_t,l2,osi_target_t06h,regression,gust_t,0.27242160763125867,0.001337394574207768
base,P_t,l2,osi_target_t06h,regression,wind_speed_t,0.326265781535767,0.001601730823665853
base,P_t,l2,osi_target_t06h,regression,wind_sin_t,1.9861031370819546,0.009750340960272823
base,P_t,l2,osi_target_t06h,regression,wind_cos_t,0.1314112498657778,0.0006451349218900448
base,P_t,l2,osi_target_t06h,regression,t2m_t,0.26369770255405456,0.0012945664614981884
base,P_t,l2,osi_target_t06h,regression,d2m_t,0.2500910561066121,0.0012277675930449765
base,P_t,l2,osi_target_t06h,regression,tp_t,0.0011697500012814999,5.74263296695229e-06
base,P_t,l2,osi_target_t06h,regression,rain_t,0.009143757983110845,4.4889289145646415e-05
base,P_t,l2,osi_target_t06h,regression,csnow_t,0.11810209142277017,0.0005797965060289841
base,P_t,l2,osi_target_t06h,regression,sdwe_t,0.07250332040712237,0.00035593926696072625
base,P_t,l2,osi_target_t06h,regression,r2_t,0.10686641023494303,0.000524637375338926
base,P_t,l2,osi_target_t06h,regression,vpd_t,0.1749176718876697,0.0008587202290952989
base,P_t,l2,osi_target_t06h,regression,soil_moist_t,0.3442598272813484,0.0016900686737998287
base,P_t,l2,osi_target_t06h,regression,blh_t,0.8865415402106009,0.00435228268417064
base,P_t,l2,osi_target_t06h,regression,tcc_t,0.026238030521199107,0.00012880989860557254
base,P_t,l2,osi_target_t06h,regression,lcc_t,0.034360909601673484,0.00016868740503258364
base,P_t,l2,osi_target_t06h,regression,mcc_t,0.05302961281267926,0.000260337339114499
base,P_t,l2,osi_target_t06h,regression,hcc_t,0.059817554196342826,0.00029366125954609677
base,P_t,l2,osi_target_t06h,regression,sp_t,1.3328346982016228,0.006543261781581838
base,P_t,l2,osi_target_t06h,regression,mslma_t,0.6968089076108299,0.0034208316307998876
base,P_t,l2,osi_target_t06h,regression,sdswrf_t,0.0,0.0
base,P_t,l2,osi_target_t06h,regression,direct_rad_t,0.0013495900202542543,6.625518387425765e-06
base,P_t,l2,osi_target_t06h,regression,diffuse_rad_t,0.017893540440127254,8.784444121769276e-05
base,P_t,l2,osi_target_t06h,regression,et0_t,0.0019499700283631682,9.572953329497313e-06
base,P_t,l2,osi_target_t06h,regression,temp_c_t,0.023938930011354387,0.00011752296518586158
base,P_t,l2,osi_target_t06h,regression,dewpoint_c_t,0.26051786256721243,0.0012789557293604943
base,P_t,l2,osi_target_t06h,regression,icing_risk_t,0.06782254134304821,0.00033296000119032706
base,P_t,l2,osi_target_t06h,regression,gust_exceed_30,0.00959600816713646,4.7109512965480164e-05
base,P_t,l2,osi_target_t06h,regression,soil_moist_x_gust,0.519445507612545,0.0025501046320009478
base,P_t,l2,osi_target_t06h,regression,is_snowing,0.0,0.0
base,P_t,l2,osi_target_t06h,regression,gust_x_hso,19.430890442803502,0.09539172636190389
base,P_t,l2,osi_target_t06h,regression,gust_x_phase,1.0538073873030953,0.005173437945300154
base,P_t,l2,osi_target_t06h,regression,soil_gust_x_phase,0.7568671044427902,0.0037156742729756377
base,P_t,l2,osi_target_t06h,regression,gust_exceed30_x_hso,0.0023698799777776003,1.1634409808246473e-05
base,P_t,l2,osi_target_t06h,regression,gust_max_next_1h,3.3257259506499395,0.01632692751641644
base,P_t,l2,osi_target_t06h,regression,gust_mean_next_1h,0.05776408687233925,0.00028358020877587806
base,P_t,l2,osi_target_t06h,regression,wind_speed_max_next_1h,0.22682268387870863,0.0011135365853109406
base,P_t,l2,osi_target_t06h,regression,total_tp_next_1h,0.021325226756744087,0.00010469155808236754
base,P_t,l2,osi_target_t06h,regression,min_t2m_next_1h,0.10205222095828503,0.0005010031611743633
base,P_t,l2,osi_target_t06h,regression,gust_gt30_next_1h,0.0,0.0
base,P_t,l2,osi_target_t06h,regression,gust_gt40_next_1h,0.0,0.0
base,P_t,l2,osi_target_t06h,regression,gust_peak4h_mean_next_1h,0.0,0.0
base,P_t,l2,osi_target_t06h,regression,gust_max_next_6h,0.910688980249688,0.004470829283943282
base,P_t,l2,osi_target_t06h,regression,gust_mean_next_6h,0.4580016111722216,0.00224845919927631
base,P_t,l2,osi_target_t06h,regression,wind_speed_max_next_6h,0.6784652330097742,0.003330777353917081
base,P_t,l2,osi_target_t06h,regression,total_tp_next_6h,2.885626701230649,0.014166356064672559
base,P_t,l2,osi_target_t06h,regression,min_t2m_next_6h,0.6694292467145715,0.0032864171464104235
base,P_t,l2,osi_target_t06h,regression,gust_gt30_next_6h,0.026341610122472048,0.00012931840010787826
base,P_t,l2,osi_target_t06h,regression,gust_gt40_next_6h,0.06979710003361106,0.0003426536672037367
base,P_t,l2,osi_target_t06h,regression,gust_peak4h_mean_next_6h,0.2171447233413346,0.0010660247450254943
base,P_t,l2,osi_target_t06h,regression,gust_max_next_24h,0.1406044609611854,0.0006902669903241568
base,P_t,l2,osi_target_t06h,regression,gust_mean_next_24h,0.6180009930976667,0.0030339413316383154
base,P_t,l2,osi_target_t06h,regression,wind_speed_max_next_24h,0.9192596093052998,0.004512904921394323
base,P_t,l2,osi_target_t06h,regression,total_tp_next_24h,0.8802941152243875,0.004321612311317392
base,P_t,l2,osi_target_t06h,regression,min_t2m_next_24h,1.2465858132927679,0.006119841658223983
base,P_t,l2,osi_target_t06h,regression,gust_gt30_next_24h,0.10665070009417832,0.0005235783933647398
base,P_t,l2,osi_target_t06h,regression,gust_gt40_next_24h,0.0005597699782811105,2.7480688417744155e-06
base,P_t,l2,osi_target_t06h,regression,gust_peak4h_mean_next_24h,0.25287595234112814,0.0012414394348131772
base,P_t,l2,osi_target_t06h,regression,gust_max_next_48h,0.3309042587643489,0.0016245024177843656
base,P_t,l2,osi_target_t06h,regression,gust_mean_next_48h,0.6492528768139891,0.003187365650947655
base,P_t,l2,osi_target_t06h,regression,wind_speed_max_next_48h,0.9218215553555638,0.004525482237771054
