component,horizon,model,subset,threshold,actual_zero_pct,rmse,mae,n
P_t,osi_target_t06h,static_convex,positive_tail_95,0.05865972650000003,40.628221454126496,0.08430619625059646,0.05803931558701308,980
P_t,osi_target_t06h,safe_convex,positive_tail_95,0.05865972650000003,40.628221454126496,0.08430619625059647,0.05803931558701308,980
N_t,osi_target_t06h,lightgbm,zero,0.0,60.566369534897824,0.0008030361791651241,0.00041982393105515896,19976
N_t,osi_target_t06h,xgboost,zero,0.0,60.566369534897824,0.0005406730319895724,0.00024685219435959823,19976
N_t,osi_target_t06h,catboost,zero,0.0,60.566369534897824,0.0005556830444785841,0.0002870488920566868,19976
N_t,osi_target_t06h,simple_average,zero,0.0,60.566369534897824,0.000587282576803436,0.000317908339157148,19976
N_t,osi_target_t06h,static_convex,zero,0.0,60.566369534897824,0.0005961258503310766,0.00033193933834298027,19976
N_t,osi_target_t06h,safe_convex,zero,0.0,60.566369534897824,0.000596125850331078,0.00033193933834298103,19976
N_t,osi_target_t06h,lightgbm,positive,0.0,60.566369534897824,0.0058429527765053585,0.0015050132604124955,13006
N_t,osi_target_t06h,xgboost,positive,0.0,60.566369534897824,0.005881574735882896,0.0014087529403476054,13006
N_t,osi_target_t06h,catboost,positive,0.0,60.566369534897824,0.005884760281116932,0.001416593356553677,13006
N_t,osi_target_t06h,simple_average,positive,0.0,60.566369534897824,0.0058526058007797,0.0014250904099921723,13006
N_t,osi_target_t06h,static_convex,positive,0.0,60.566369534897824,0.0058786487217896465,0.0014304736648868362,13006
N_t,osi_target_t06h,safe_convex,positive,0.0,60.566369534897824,0.0058786487217896465,0.0014304736648868366,13006
N_t,osi_target_t06h,lightgbm,positive_tail_95,0.006189702,60.566369534897824,0.025470945098349553,0.01620167220642268,651
N_t,osi_target_t06h,xgboost,positive_tail_95,0.006189702,60.566369534897824,0.025807163782915876,0.01633769193073079,651
N_t,osi_target_t06h,catboost,positive_tail_95,0.006189702,60.566369534897824,0.02583022097308289,0.016429694069921,651
N_t,osi_target_t06h,simple_average,positive_tail_95,0.006189702,60.566369534897824,0.025687372726464087,0.016308659619487784,651
N_t,osi_target_t06h,static_convex,positive_tail_95,0.006189702,60.566369534897824,0.025820268509946013,0.016420086899533066,651
N_t,osi_target_t06h,safe_convex,positive_tail_95,0.006189702,60.566369534897824,0.025820268509946006,0.016420086899533063,651
D_t,osi_target_t06h,lightgbm,zero,0.0,25.098538596810382,0.0031847220786683887,0.0013038638059796838,8278
D_t,osi_target_t06h,xgboost,zero,0.0,25.098538596810382,0.002763067618412141,0.0010700285982674215,8278
D_t,osi_target_t06h,catboost,zero,0.0,25.098538596810382,0.00262232249299759,0.0010682197067673586,8278
D_t,osi_target_t06h,simple_average,zero,0.0,25.098538596810382,0.002662074183980689,0.0011473707036714883,8278
D_t,osi_target_t06h,static_convex,zero,0.0,25.098538596810382,0.0028119225938394764,0.0011882075837493587,8278
D_t,osi_target_t06h,safe_convex,zero,0.0,25.098538596810382,0.0028119225938394838,0.0011882075837493628,8278
D_t,osi_target_t06h,lightgbm,positive,0.0,25.098538596810382,0.01863000667584562,0.006517492923884917,24704
D_t,osi_target_t06h,xgboost,positive,0.0,25.098538596810382,0.018956052532224422,0.006383301472804787,24704
D_t,osi_target_t06h,catboost,positive,0.0,25.098538596810382,0.019015835614185687,0.006287762671386822,24704
D_t,osi_target_t06h,simple_average,positive,0.0,25.098538596810382,0.018480281652120317,0.006196284547194034,24704
D_t,osi_target_t06h,static_convex,positive,0.0,25.098538596810382,0.01876151893664655,0.006347670542820767,24704
D_t,osi_target_t06h,safe_convex,positive,0.0,25.098538596810382,0.01876151893664656,0.006347670542820776,24704
D_t,osi_target_t06h,lightgbm,positive_tail_95,0.05132529094999999,25.098538596810382,0.0738221681912021,0.048910911508914814,1236
D_t,osi_target_t06h,xgboost,positive_tail_95,0.05132529094999999,25.098538596810382,0.07454563623347285,0.048305504195391716,1236
D_t,osi_target_t06h,catboost,positive_tail_95,0.05132529094999999,25.098538596810382,0.07584746560568967,0.04813270764295449,1236
D_t,osi_target_t06h,simple_average,positive_tail_95,0.05132529094999999,25.098538596810382,0.07374744339018828,0.04745447381291436,1236
D_t,osi_target_t06h,static_convex,positive_tail_95,0.05132529094999999,25.098538596810382,0.07447264192160652,0.048666010505402604,1236
D_t,osi_target_t06h,safe_convex,positive_tail_95,0.05132529094999999,25.098538596810382,0.07447264192160653,0.048666010505402646,1236
R_t,osi_target_t06h,lightgbm,zero,0.0,50.77314899035837,0.001044857502337553,0.0005039813792573486,16746
R_t,osi_target_t06h,xgboost,zero,0.0,50.77314899035837,0.0006893556238745283,0.00030659891226862197,16746
