component,horizon,model,rmse,mae,n
N_t,osi_target_t06h,catboost,0.0037206241969493805,0.000732469282125447,32982
N_t,osi_target_t06h,simple_average,0.0037035244356418313,0.0007545104255460974,32982
N_t,osi_target_t06h,static_convex,0.003720605830159216,0.0007651313052045833,32982
N_t,osi_target_t06h,safe_convex,0.003720605830159216,0.0007651313052045839,32982
D_t,osi_target_t06h,lightgbm,0.016202205544816124,0.005208948207432927,32982
D_t,osi_target_t06h,xgboost,0.01646393099175222,0.005049747629635169,32982
D_t,osi_target_t06h,catboost,0.01650972760022112,0.004977733665834706,32982
D_t,osi_target_t06h,simple_average,0.016049383803037,0.0049290809574578254,32982
D_t,osi_target_t06h,static_convex,0.01629827023338063,0.005052720740650095,32982
D_t,osi_target_t06h,safe_convex,0.01629827023338064,0.005052720740650103,32982
R_t,osi_target_t06h,lightgbm,0.004051399038536567,0.0011060740219348505,32982
R_t,osi_target_t06h,xgboost,0.004018839746789269,0.0009343951954127571,32982
R_t,osi_target_t06h,catboost,0.004045344096630135,0.0009678373116224622,32982
R_t,osi_target_t06h,simple_average,0.00401499169965324,0.0009909024884832583,32982
R_t,osi_target_t06h,static_convex,0.004024581826524686,0.0009804091944172044,32982
R_t,osi_target_t06h,safe_convex,0.004024581826524686,0.0009804091944172048,32982
P_t,osi_target_t24h,lightgbm,0.01350204992139251,0.004607591748952404,28680
P_t,osi_target_t24h,xgboost,0.013795691612982636,0.0041381357444593425,28680
P_t,osi_target_t24h,catboost,0.013702813634918976,0.0040722210942024445,28680
P_t,osi_target_t24h,simple_average,0.013484111576528967,0.004182595401722006,28680
P_t,osi_target_t24h,static_convex,0.013561255311568193,0.004376545669543801,28680
P_t,osi_target_t24h,safe_convex,0.013561255311568191,0.004376545669543802,28680
N_t,osi_target_t24h,lightgbm,0.0037461377320231674,0.0008662008682637331,28680
N_t,osi_target_t24h,xgboost,0.0037579050370206606,0.0007217137098436921,28680
N_t,osi_target_t24h,catboost,0.0037691417309894523,0.0007464953244697819,28680
N_t,osi_target_t24h,simple_average,0.003740318662716356,0.0007702344567017498,28680
N_t,osi_target_t24h,static_convex,0.003749489821263641,0.0008055665428025767,28680
N_t,osi_target_t24h,safe_convex,0.003749489821263641,0.0008055665428025768,28680
D_t,osi_target_t24h,lightgbm,0.011650479869733367,0.004443898902259999,28680
D_t,osi_target_t24h,xgboost,0.011898879302872414,0.004016411487836049,28680
D_t,osi_target_t24h,catboost,0.011966421878229348,0.004071228959828558,28680
D_t,osi_target_t24h,simple_average,0.01161526654759223,0.0040789548769819455,28680
D_t,osi_target_t24h,static_convex,0.011701109620681887,0.004289940388744218,28680
D_t,osi_target_t24h,safe_convex,0.011701109620681887,0.00428994038874422,28680
R_t,osi_target_t24h,lightgbm,0.0034468815271313288,0.0009254091468686018,28680
R_t,osi_target_t24h,xgboost,0.003447770283256317,0.0007784105755120274,28680
R_t,osi_target_t24h,catboost,0.003431365329954406,0.0008163306077201099,28680
