horizon,model,rmse,mae,n,fipsCode,component
osi_target_t06h,lightgbm,0.013133787174118122,0.008646553953389487,138,54109,P_t
osi_target_t06h,xgboost,0.009938409166223246,0.005410632339441074,138,54109,P_t
osi_target_t06h,catboost,0.009598984858179305,0.005654754786212954,138,54109,P_t
osi_target_t06h,simple_average,0.010483840723995882,0.006549555135486424,138,54109,P_t
osi_target_t06h,static_convex,0.01090874151998098,0.006837184748153662,138,54109,P_t
osi_target_t06h,safe_convex,0.01090874151998098,0.006837184748153662,138,54109,P_t
osi_target_t06h,lightgbm,0.0012289214202764608,0.0007019779818421853,138,18009,N_t
osi_target_t06h,xgboost,0.0007310687693196683,0.000397896258990538,138,18009,N_t
osi_target_t06h,catboost,0.0006797624843814862,0.00036631748337475733,138,18009,N_t
osi_target_t06h,simple_average,0.0008142736940563954,0.0004810599972775061,138,18009,N_t
osi_target_t06h,static_convex,0.0009094961109930739,0.0005353424591917826,138,18009,N_t
osi_target_t06h,safe_convex,0.0009094961109930739,0.0005353424591917826,138,18009,N_t
osi_target_t06h,lightgbm,0.010651686625671357,0.003198069831346741,138,18013,N_t
osi_target_t06h,xgboost,0.011102584526267166,0.003237420939714461,138,18013,N_t
osi_target_t06h,catboost,0.010783124032947797,0.0032928203257577148,138,18013,N_t
osi_target_t06h,simple_average,0.01084114400716852,0.0032389258146515608,138,18013,N_t
osi_target_t06h,static_convex,0.010885269156937534,0.003214722323970753,138,18013,N_t
osi_target_t06h,safe_convex,0.010885269156937534,0.003214722323970753,138,18013,N_t
osi_target_t06h,lightgbm,0.0007861221324937085,0.0005210930325959199,138,18023,N_t
osi_target_t06h,xgboost,0.0006526714856291833,0.00030744844919201734,138,18023,N_t
osi_target_t06h,catboost,0.0004674207018635438,0.00026459859682246797,138,18023,N_t
osi_target_t06h,simple_average,0.000619677456408184,0.00036305106985191904,138,18023,N_t
osi_target_t06h,static_convex,0.0006467499513416051,0.0003992244765474535,138,18023,N_t
osi_target_t06h,safe_convex,0.0006467499513416094,0.0003992244765474576,138,18023,N_t
osi_target_t06h,lightgbm,0.01186930467174413,0.0022572418019555663,138,18025,N_t
osi_target_t06h,xgboost,0.01292930412595038,0.002507552706734856,138,18025,N_t
osi_target_t06h,catboost,0.013163358502033139,0.0024321163737535873,138,18025,N_t
osi_target_t06h,simple_average,0.012643522773361877,0.0023911018429627487,138,18025,N_t
osi_target_t06h,static_convex,0.012915804783022074,0.002460466121481205,138,18025,N_t
osi_target_t06h,safe_convex,0.012915804783022058,0.0024604661214812007,138,18025,N_t
osi_target_t06h,lightgbm,0.0009765098511662776,0.0002943880735766415,138,18027,N_t
osi_target_t06h,xgboost,0.000917288373787422,0.0002764201959065731,138,18027,N_t
osi_target_t06h,catboost,0.0009635017878794077,0.000296470573621427,138,18027,N_t
osi_target_t06h,simple_average,0.0009063476779152396,0.00027995942865371054,138,18027,N_t
osi_target_t06h,static_convex,0.0009000637950791662,0.00027583066782778094,138,18027,N_t
osi_target_t06h,safe_convex,0.0009000637950791665,0.00027583066782778105,138,18027,N_t
osi_target_t06h,lightgbm,0.0008694549597765296,0.00026547798306271095,138,18029,N_t
osi_target_t06h,xgboost,0.0007235409215426007,0.0002731884703456426,138,18029,N_t
osi_target_t06h,catboost,0.0008791545274154434,0.0003195758864242687,138,18029,N_t
osi_target_t06h,simple_average,0.0008070375542176332,0.0002852700108699225,138,18029,N_t
osi_target_t06h,static_convex,0.000773311709056527,0.0002693681136266184,138,18029,N_t
osi_target_t06h,safe_convex,0.000773311709056527,0.0002693681136266184,138,18029,N_t
osi_target_t06h,lightgbm,0.001978304406663988,0.0004963306502650536,138,18033,N_t
osi_target_t06h,xgboost,0.0018858874460310224,0.0004943449194234075,138,18033,N_t
osi_target_t06h,catboost,0.001779109285122252,0.0004957502824602202,138,18033,N_t
osi_target_t06h,simple_average,0.001875706098623129,0.0004885477152877251,138,18033,N_t
osi_target_t06h,static_convex,0.0019228765171753572,0.00048737874317265645,138,18033,N_t
osi_target_t06h,safe_convex,0.0019228765171753572,0.00048737874317265645,138,18033,N_t
osi_target_t06h,lightgbm,0.0010596504515316431,0.0003878047455979767,138,18035,N_t
osi_target_t06h,xgboost,0.0009708118454894956,0.0003793827157009345,138,18035,N_t
osi_target_t06h,catboost,0.0010544857008452395,0.00039268684404891036,138,18035,N_t
osi_target_t06h,simple_average,0.0010209499537055713,0.0003842087824810806,138,18035,N_t
osi_target_t06h,static_convex,0.0010046760237558692,0.0003812963883583322,138,18035,N_t
osi_target_t06h,safe_convex,0.0010046760237558692,0.0003812963883583322,138,18035,N_t
osi_target_t06h,lightgbm,0.0015479577849264491,0.0007132748495953989,138,18037,N_t
osi_target_t06h,xgboost,0.0015157074519342177,0.00046563455006788857,138,18037,N_t
osi_target_t06h,catboost,0.001465751299512907,0.0004950237525221106,138,18037,N_t
osi_target_t06h,simple_average,0.0014817029165090621,0.0005480946930397671,138,18037,N_t
osi_target_t06h,static_convex,0.0014869999265141513,0.0005891262596083817,138,18037,N_t
osi_target_t06h,safe_convex,0.0014869999265141526,0.0005891262596083859,138,18037,N_t
osi_target_t06h,lightgbm,0.0012197553748282968,0.0007654059645446265,138,18039,N_t
osi_target_t06h,xgboost,0.0008283377992460988,0.00053463918895927,138,18039,N_t
osi_target_t06h,catboost,0.0006017676172317538,0.00041673907109163823,138,18039,N_t
osi_target_t06h,simple_average,0.000825586165842846,0.0005720165279775183,138,18039,N_t
osi_target_t06h,static_convex,0.0008374425388363995,0.0005866542838340305,138,18039,N_t
osi_target_t06h,safe_convex,0.0008374425388363995,0.0005866542838340305,138,18039,N_t
osi_target_t06h,lightgbm,0.0020909507903386433,0.0006561444461268776,138,18041,N_t
osi_target_t06h,xgboost,0.0020442189493596902,0.0006770843290660705,138,18041,N_t
osi_target_t06h,catboost,0.002012835686838375,0.0006397347979947881,138,18041,N_t
osi_target_t06h,simple_average,0.002039682394674117,0.0006519262193775412,138,18041,N_t
osi_target_t06h,static_convex,0.0020322124470134105,0.0006610045332506659,138,18041,N_t
osi_target_t06h,safe_convex,0.002032212447013411,0.0006610045332506657,138,18041,N_t
osi_target_t06h,lightgbm,0.0012485795558334247,0.0005718379746227009,138,18043,N_t
osi_target_t06h,xgboost,0.0012417573851619677,0.0005491762551713409,138,18043,N_t
