horizon,model,rmse,mae,n,fipsCode
osi_target_t01h,static_convex,0.0038364962215430443,0.0014914687736664316,143,18061
osi_target_t01h,safe_convex,0.0038364962215430387,0.0014914687736664336,143,18061
osi_target_t01h,v1.8_rule,0.003966269821228861,0.0016125523338364187,143,18061
osi_target_t01h,lightgbm,0.0023152480692188774,0.001070537972404691,143,18065
osi_target_t01h,xgboost,0.002155026492555889,0.0007449862098453473,143,18065
osi_target_t01h,catboost,0.0022651967080870123,0.0007849240072528236,143,18065
osi_target_t01h,simple_average,0.002146816350209651,0.0008275114561328811,143,18065
osi_target_t01h,static_convex,0.002146481760472879,0.0008791769818038602,143,18065
osi_target_t01h,safe_convex,0.0021464817604728804,0.0008791769818038651,143,18065
osi_target_t01h,v1.8_rule,0.0021753774966153864,0.0009257754830668504,143,18065
osi_target_t01h,lightgbm,0.0016327822119974102,0.0005398952934586014,143,18067
osi_target_t01h,xgboost,0.0018705672252327737,0.0004425776719881328,143,18067
osi_target_t01h,catboost,0.001719334898803078,0.0004557008042028349,143,18067
osi_target_t01h,simple_average,0.0016684885630527271,0.00045877913403909534,143,18067
osi_target_t01h,static_convex,0.0016296958032646419,0.0004690953188243629,143,18067
osi_target_t01h,safe_convex,0.0016296958032646406,0.00046909531882436377,143,18067
osi_target_t01h,v1.8_rule,0.0017115662839249676,0.0005212130956050757,143,18067
osi_target_t01h,lightgbm,0.0011291633654607225,0.0005677345909630359,143,18069
osi_target_t01h,xgboost,0.0005999275240507653,0.0002747634477953987,143,18069
osi_target_t01h,catboost,0.0006991351335436575,0.00037684705123693286,143,18069
osi_target_t01h,simple_average,0.000775163543990515,0.00040329195010311105,143,18069
osi_target_t01h,static_convex,0.0008802925951338333,0.0004411784328387436,143,18069
osi_target_t01h,safe_convex,0.0008802925951338333,0.0004411784328387436,143,18069
osi_target_t01h,v1.8_rule,0.001023049361312369,0.0005242800924774474,143,18069
osi_target_t01h,lightgbm,0.0031660586137988536,0.001212270092067508,143,18071
osi_target_t01h,xgboost,0.0034919008726908745,0.0013665327371836819,143,18071
osi_target_t01h,catboost,0.003218134324239225,0.001313721140628853,143,18071
osi_target_t01h,simple_average,0.0032358054013987,0.0012591691054302336,143,18071
osi_target_t01h,static_convex,0.0032068797959414314,0.0012278726533866459,143,18071
osi_target_t01h,safe_convex,0.003206879795941431,0.0012278726533866454,143,18071
osi_target_t01h,v1.8_rule,0.0038879578638369265,0.0015674088078421714,143,18071
osi_target_t01h,lightgbm,0.0029496770181734852,0.0017929367577086898,143,18073
osi_target_t01h,xgboost,0.0026512935406262997,0.0016590977300987874,143,18073
osi_target_t01h,catboost,0.001397203711506032,0.0009144978459160559,143,18073
osi_target_t01h,simple_average,0.0022059354754806085,0.00133306295651214,143,18073
osi_target_t01h,static_convex,0.0026883118295593696,0.001575844456367281,143,18073
osi_target_t01h,safe_convex,0.0026883118295593688,0.001575844456367285,143,18073
osi_target_t01h,v1.8_rule,0.0038453592997056475,0.0022962742464135923,143,18073
osi_target_t01h,lightgbm,0.004954609353455027,0.0015114028283809428,143,18077
osi_target_t01h,xgboost,0.00502044645460555,0.001489835176563672,143,18077
osi_target_t01h,catboost,0.005311139956064293,0.0016326873460812523,143,18077
osi_target_t01h,simple_average,0.005083311926005072,0.00152857864480399,143,18077
osi_target_t01h,static_convex,0.0049799382545560305,0.0014806366307479554,143,18077
osi_target_t01h,safe_convex,0.004979938254556027,0.0014806366307479548,143,18077
osi_target_t01h,v1.8_rule,0.004929562191929267,0.0014831180534448493,143,18077
osi_target_t01h,lightgbm,0.003636987107082877,0.0017017310425643003,143,18083
osi_target_t01h,xgboost,0.0018906781892757834,0.0009333556910150555,143,18083
osi_target_t01h,catboost,0.0025037090788469375,0.0011457683374600655,143,18083
osi_target_t01h,simple_average,0.0026380157507108534,0.0012558643404963182,143,18083
osi_target_t01h,static_convex,0.002925766785892524,0.0013970671535060483,143,18083
osi_target_t01h,safe_convex,0.0029257667858925375,0.0013970671535060539,143,18083
osi_target_t01h,v1.8_rule,0.0034568296485317208,0.0016421378148241575,143,18083
osi_target_t01h,lightgbm,0.004673838682046566,0.0030626772892093303,143,18085
osi_target_t01h,xgboost,0.0029339621223859794,0.0015978597194520837,143,18085
osi_target_t01h,catboost,0.0014927444196107243,0.0008244084152714459,143,18085
osi_target_t01h,simple_average,0.0026050325542364035,0.0017446769868146896,143,18085
osi_target_t01h,static_convex,0.0029899472932391554,0.002012493321571328,143,18085
osi_target_t01h,safe_convex,0.0029899472932392044,0.0020124933215713587,143,18085
osi_target_t01h,v1.8_rule,0.005056687402420574,0.004204315260127714,143,18085
osi_target_t01h,lightgbm,0.002206601533792565,0.0019247334319114544,143,18087
osi_target_t01h,xgboost,0.0011666967307804406,0.0007571024794321399,143,18087
osi_target_t01h,catboost,0.0040890420242287945,0.0032108481745483164,143,18087
osi_target_t01h,simple_average,0.002369444437710536,0.0018996041323605254,143,18087
osi_target_t01h,static_convex,0.001785302683341553,0.001468473293334459,143,18087
osi_target_t01h,safe_convex,0.0017853026833415525,0.001468473293334461,143,18087
osi_target_t01h,v1.8_rule,0.0021615899449078362,0.0018853369478732376,143,18087
osi_target_t01h,lightgbm,0.0025140571042734142,0.0015813985684028568,143,18089
osi_target_t01h,xgboost,0.0024938198636137924,0.001435281690096791,143,18089
osi_target_t01h,catboost,0.0021961705026505114,0.0012255452616920792,143,18089
osi_target_t01h,simple_average,0.002344227151005731,0.001429644789042082,143,18089
osi_target_t01h,static_convex,0.0023153968462600394,0.0014214395414367705,143,18089
osi_target_t01h,safe_convex,0.002315396846260042,0.0014214395414367735,143,18089
