scope,fold,component,horizon,candidate,weight,safe_alpha
outer,2,D_t,osi_target_t06h,xgboost,0.3393272596324697,0.9999999999999913
outer,2,D_t,osi_target_t06h,catboost,0.09219077942933822,0.9999999999999913
outer,3,D_t,osi_target_t06h,lightgbm,0.2756558996209818,0.9999999999999845
outer,3,D_t,osi_target_t06h,xgboost,0.22419103476080632,0.9999999999999845
outer,3,D_t,osi_target_t06h,catboost,0.5001530656182118,0.9999999999999845
outer,4,D_t,osi_target_t06h,lightgbm,0.4825191609567186,0.9999999999999807
outer,4,D_t,osi_target_t06h,xgboost,0.22332766073653504,0.9999999999999807
outer,4,D_t,osi_target_t06h,catboost,0.29415317830674637,0.9999999999999807
final,all,D_t,osi_target_t06h,lightgbm,0.5422017769865307,1.0
final,all,D_t,osi_target_t06h,xgboost,0.2502930076511929,1.0
final,all,D_t,osi_target_t06h,catboost,0.2075052153622765,1.0
outer,0,R_t,osi_target_t06h,lightgbm,0.35774092660363427,0.9999999999999969
outer,0,R_t,osi_target_t06h,xgboost,0.5619461905127211,0.9999999999999969
outer,0,R_t,osi_target_t06h,catboost,0.08031288288364459,0.9999999999999969
outer,1,R_t,osi_target_t06h,lightgbm,0.31216228144468683,0.999999999999988
outer,1,R_t,osi_target_t06h,xgboost,0.6317333595582131,0.999999999999988
outer,1,R_t,osi_target_t06h,catboost,0.05610435899710012,0.999999999999988
outer,2,R_t,osi_target_t06h,lightgbm,0.19074367799502476,1.0
outer,2,R_t,osi_target_t06h,xgboost,0.655968377193443,1.0
outer,2,R_t,osi_target_t06h,catboost,0.1532879448115323,1.0
outer,3,R_t,osi_target_t06h,lightgbm,0.3686268908947472,1.0
outer,3,R_t,osi_target_t06h,xgboost,0.3500108310520473,1.0
outer,3,R_t,osi_target_t06h,catboost,0.28136227805320563,1.0
outer,4,R_t,osi_target_t06h,lightgbm,0.11268073698160463,1.0
outer,4,R_t,osi_target_t06h,xgboost,0.8873192630183954,1.0
outer,4,R_t,osi_target_t06h,catboost,0.0,1.0
final,all,R_t,osi_target_t06h,lightgbm,0.27471453443698746,1.0
final,all,R_t,osi_target_t06h,xgboost,0.6340140960000424,1.0
final,all,R_t,osi_target_t06h,catboost,0.09127136956297001,1.0
outer,0,P_t,osi_target_t24h,lightgbm,0.6522773204003497,1.0
outer,0,P_t,osi_target_t24h,xgboost,0.15196213491993385,1.0
outer,0,P_t,osi_target_t24h,catboost,0.19576054467971654,1.0
outer,1,P_t,osi_target_t24h,lightgbm,0.7618639318298069,1.0
outer,1,P_t,osi_target_t24h,xgboost,0.0,1.0
outer,1,P_t,osi_target_t24h,catboost,0.238136068170193,1.0
outer,2,P_t,osi_target_t24h,lightgbm,0.5177750753449352,1.0
outer,2,P_t,osi_target_t24h,xgboost,0.3655207460490598,1.0
outer,2,P_t,osi_target_t24h,catboost,0.11670417860600507,1.0
outer,3,P_t,osi_target_t24h,lightgbm,0.44162276782031096,0.9999999999999927
outer,3,P_t,osi_target_t24h,xgboost,0.12447715385849195,0.9999999999999927
outer,3,P_t,osi_target_t24h,catboost,0.43390007832119715,0.9999999999999927
outer,4,P_t,osi_target_t24h,lightgbm,0.6650805327091868,1.0
outer,4,P_t,osi_target_t24h,xgboost,0.0,1.0
outer,4,P_t,osi_target_t24h,catboost,0.33491946729081323,1.0
final,all,P_t,osi_target_t24h,lightgbm,0.6406978234154544,0.9999999999999992
