case,horizon,fipsCode,countyName,stateAbbr,fold,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction
B0,osi_target_t01h,18161,Union County,IN,0,143,0.00239413076264183,0.0010367507674654377,0.0008196562815337969,0.0008052818502274861,0.00239413076264183,0.0,0.0,0.0
B0,osi_target_t01h,18163,Vanderburgh County,IN,0,143,0.0009445691626409952,0.0003855457179934135,0.00012758615913076044,0.00025879138694784884,0.0009445691626409952,0.0,0.0,0.0
B0,osi_target_t01h,18165,Vermillion County,IN,2,143,0.01375670722439429,0.003023361966837148,0.02706232009305139,-0.0021827032002138566,0.01375670722439429,0.0,0.0,0.0
B0,osi_target_t01h,18167,Vigo County,IN,0,143,0.001465545355408522,0.0006193357984091408,0.0003071387159926072,0.000120277862308906,0.001465545355408522,0.0,0.0,0.0
B0,osi_target_t01h,18169,Wabash County,IN,4,143,0.0014901063118989105,0.00045462750963243026,0.00031751960536881914,0.00010525290720295577,0.0014901063118989105,0.0,0.0,0.0
B0,osi_target_t01h,18171,Warren County,IN,2,143,0.003827620766110035,0.001724618761038894,0.0020950473442694186,0.001101756347691862,0.003827620766110035,0.0,0.0,0.0
B0,osi_target_t01h,18173,Warrick County,IN,1,143,0.0014331814472222928,0.0005644701436537093,0.0002937232956746926,0.0001913175528075367,0.0014331814472222928,0.0,0.0,0.0
B0,osi_target_t01h,18175,Washington County,IN,2,143,0.0030905082914085783,0.0010033391556128412,0.0013658275343949196,-1.3809543678447837e-05,0.0030905082914085783,0.0,0.0,0.0
B0,osi_target_t01h,18177,Wayne County,IN,2,143,0.002755815759479363,0.0016756586880507572,0.001086016431527859,0.0015218125342046033,0.002755815759479363,0.0,0.0,0.0
B0,osi_target_t01h,18179,Wells County,IN,0,143,0.0047208588449868406,0.0014459768563000067,0.0031869706775035393,-0.0011409613624630238,0.0047208588449868406,0.0,0.0,0.0
B0,osi_target_t01h,18181,White County,IN,3,143,0.0022157857030073633,0.0009253634317870327,0.0007020879982762125,0.00046773487993152834,0.0022157857030073633,0.0,0.0,0.0
B0,osi_target_t01h,18183,Whitley County,IN,2,143,0.0027370864157434224,0.0008840727650511024,0.001071304812756346,0.00020472298955807793,0.0027370864157434224,0.0,0.0,0.0
B0,osi_target_t01h,39017,Butler County,OH,3,143,0.0007933790005062943,0.0003034496822694503,9.001138409754442e-05,-5.430868766395439e-05,0.0007933790005062943,0.0,0.0,0.0
