target,outer_fold,refit_rounds,historical_rounds,inner_min,inner_max,inner_std,inner_cv,inner_at_cap,inner_rounds
R_t_target_t01h,2,112,131,24,215,67.94988962463442,0.6053442282818211,0,"[24, 215, 108, 102]"
P_t_target_t06h,2,135,201,74,250,68.79089692684636,0.5067469386876343,0,"[128, 250, 74, 91]"
N_t_target_t06h,2,149,458,23,305,118.9482555567756,0.7943122240853129,0,"[23, 225, 46, 305]"
D_t_target_t06h,2,180,582,95,267,83.06021911842033,0.46144566176900187,0,"[99, 267, 95, 259]"
R_t_target_t06h,2,112,203,41,197,64.77267942581965,0.5783274948733897,0,"[41, 152, 58, 197]"
P_t_target_t24h,2,200,303,51,331,114.96167839762953,0.5726609135622891,0,"[129, 331, 51, 292]"
N_t_target_t24h,2,165,462,32,405,151.05855652693097,0.9141213708135005,0,"[40, 184, 32, 405]"
D_t_target_t24h,2,271,358,38,566,198.90387125443286,0.7326109438468982,0,"[154, 566, 38, 328]"
R_t_target_t24h,2,110,161,20,274,103.85326186499873,0.9441205624090794,0,"[21, 125, 20, 274]"
P_t_target_t48h,2,213,336,11,396,154.50404525448516,0.725371104481151,0,"[120, 396, 11, 325]"
N_t_target_t48h,2,102,480,12,193,72.27205545714055,0.705093223972103,0,"[55, 150, 12, 193]"
D_t_target_t48h,2,272,787,35,661,251.84357744441292,0.9233495048374443,0,"[65, 661, 35, 330]"
R_t_target_t48h,2,104,123,12,199,89.83143937397419,0.8575793734985603,0,"[18, 190, 12, 199]"
osi_target_t01h,3,469,279,269,558,117.252665214911,0.24987248847077465,0,"[269, 505, 545, 558]"
osi_target_t06h,3,249,216,41,435,149.4590244849738,0.6002370461243928,0,"[185, 41, 435, 335]"
osi_target_t24h,3,251,38,20,558,215.987702196213,0.8596525460545791,0,"[79, 20, 558, 348]"
osi_target_t48h,3,225,29,49,546,192.90800916499035,0.8573689296221794,0,"[106, 49, 546, 199]"
P_t_target_t01h,3,273,271,45,600,213.05442379823987,0.7782810001762187,0,"[130, 45, 600, 320]"
N_t_target_t01h,3,210,319,22,506,182.33399984643566,0.8651672590578204,0,"[22, 110, 506, 205]"
D_t_target_t01h,3,313,651,194,416,83.76865463883254,0.266991727932534,0,"[194, 362, 416, 283]"
R_t_target_t01h,3,124,67,45,183,51.001838202166795,0.4088323703580505,0,"[45, 183, 121, 150]"
P_t_target_t06h,3,388,99,34,914,329.2889118995658,0.8481362830639171,0,"[210, 34, 914, 395]"
N_t_target_t06h,3,174,22,17,467,172.94290965518073,0.9910768461614942,0,"[17, 116, 467, 98]"
D_t_target_t06h,3,286,211,38,480,183.3016639313457,0.6409149088508591,0,"[183, 38, 443, 480]"
R_t_target_t06h,3,130,54,19,251,101.37184027134951,0.7767957108915672,0,"[42, 19, 251, 210]"
P_t_target_t24h,3,224,39,18,485,184.05501894813952,0.819844182397058,0,"[89, 18, 306, 485]"
N_t_target_t24h,3,296,26,23,978,394.8601018082227,1.3339868304331848,0,"[23, 78, 978, 105]"
D_t_target_t24h,3,244,43,16,524,191.32759863647482,0.782525965793353,0,"[133, 16, 524, 305]"
R_t_target_t24h,3,112,13,8,231,79.5455844154784,0.7102284322810571,0,"[8, 115, 231, 94]"
P_t_target_t48h,3,226,27,43,463,151.48989240210054,0.6680921384877643,0,"[180, 43, 463, 221]"
N_t_target_t48h,3,133,19,25,437,175.24750354855271,1.3102617087742259,0,"[28, 25, 437, 45]"
D_t_target_t48h,3,280,33,44,536,203.58966083767615,0.7258098425585603,0,"[44, 420, 536, 122]"
R_t_target_t48h,3,54,23,15,90,27.6891224129621,0.5103985698241862,0,"[15, 45, 90, 67]"
osi_target_t01h,4,179,166,51,265,83.58678125158308,0.4656645195074266,0,"[241, 51, 265, 161]"
osi_target_t06h,4,219,383,36,536,189.27096977613868,0.8642510035440123,0,"[139, 36, 536, 165]"
osi_target_t24h,4,259,453,11,563,203.98529358755252,0.7875880061295464,0,"[305, 11, 563, 157]"
osi_target_t48h,4,161,116,16,398,158.16210039070674,0.9793318909641284,0,"[213, 19, 398, 16]"
P_t_target_t01h,4,257,197,51,365,125.45118572576347,0.48813690943876836,0,"[365, 51, 261, 351]"
N_t_target_t01h,4,75,206,15,104,35.58791929854849,0.47450559064731324,0,"[15, 104, 99, 82]"
D_t_target_t01h,4,340,392,43,861,315.35644515373394,0.9268374582034796,0,"[147, 43, 310, 861]"
R_t_target_t01h,4,99,155,45,146,35.912219368900054,0.3618359634146101,0,"[45, 102, 104, 146]"
P_t_target_t06h,4,308,269,35,654,240.5934070169006,0.7792499012693137,0,"[405, 35, 654, 141]"
N_t_target_t06h,4,121,54,26,310,114.22647460199408,0.9420740173360337,0,"[26, 114, 310, 35]"
D_t_target_t06h,4,425,194,35,971,354.246647831705,0.8320531951419965,0,"[207, 35, 490, 971]"
R_t_target_t06h,4,82,330,43,114,32.00390601161052,0.3879261334740669,0,"[43, 114, 59, 114]"
P_t_target_t24h,4,266,331,11,600,217.4885054433912,0.8160919528832691,0,"[297, 11, 600, 158]"
N_t_target_t24h,4,110,120,28,229,85.47038960950161,0.7752416291111257,0,"[28, 154, 229, 30]"
D_t_target_t24h,4,252,443,11,492,207.03909654941987,0.8207694610482452,0,"[492, 11, 420, 86]"
R_t_target_t24h,4,82,110,13,204,78.62728534039567,0.9530580041260082,0,"[13, 100, 204, 13]"
P_t_target_t48h,4,294,194,16,832,330.52562306120836,1.1232816416693572,0,"[300, 29, 832, 16]"
N_t_target_t48h,4,118,79,16,341,129.8710899315163,1.1006024570467483,0,"[60, 55, 341, 16]"
D_t_target_t48h,4,251,180,19,635,255.31292074628735,1.0141526146823727,0,"[635, 21, 332, 19]"
R_t_target_t48h,4,76,117,11,210,79.3043977342997,1.0332820551700286,0,"[23, 63, 210, 11]"
