fipsCode,horizon,target_day,sse,actual_max,actual_mean,predicted_max,predicted_mean
54013,48,03-17,0.14939227348069517,0.1752,0.11581666666666666,0.061932949881020403,0.0411965109941723
54013,48,03-18,0.013659745531113087,0.0473,0.0199,0.005002344692284884,0.0020040286992382946
54013,48,03-19,4.7028720190520675e-05,0.0005,0.00018749999999999998,0.0029625022442655176,0.0010758248586043928
54015,1,03-14,0.019324841483366162,0.0921,0.014569565217391304,0.010598036221012675,0.00441737771293946
54015,1,03-15,0.0010617976977604902,0.0227,0.0051916666666666665,0.007281193336572171,0.001811604088271489
54015,1,03-16,0.1306076513242693,0.1724,0.06522499999999999,0.0395373597161952,0.015687504217481454
54015,1,03-17,0.2038753736328557,0.1817,0.11174583333333334,0.043646756653698104,0.030438136113384476
54015,1,03-18,6.793954022750151e-05,0.0061,0.0018625000000000002,0.005298979091767036,0.002610042034876541
54015,1,03-19,5.012691609324826e-05,0.0006,8.333333333333333e-05,0.0020456782671528454,0.0015110615082561264
54015,6,03-14,0.019124889711197374,0.0921,0.018616666666666667,0.010598036221012675,0.003916725950670478
54015,6,03-15,0.0010617976977604902,0.0227,0.0051916666666666665,0.007281193336572171,0.001811604088271489
54015,6,03-16,0.1306076513242693,0.1724,0.06522499999999999,0.0395373597161952,0.015687504217481454
54015,6,03-17,0.2038753736328557,0.1817,0.11174583333333334,0.043646756653698104,0.030438136113384476
54015,6,03-18,6.793954022750151e-05,0.0061,0.0018625000000000002,0.005298979091767036,0.002610042034876541
54015,6,03-19,5.012691609324826e-05,0.0006,8.333333333333333e-05,0.0020456782671528454,0.0015110615082561264
54015,24,03-15,0.0005790868036310746,0.0227,0.0051916666666666665,0.010039470693288262,0.0035401613856453503
54015,24,03-16,0.1241348199706112,0.1724,0.06522499999999999,0.048420875589135416,0.01961400096817378
54015,24,03-17,0.17751583395396103,0.1817,0.11174583333333334,0.05253374540947405,0.03546085422014871
54015,24,03-18,8.989357944174952e-05,0.0061,0.0018625000000000002,0.004097935217783671,0.002782362016635472
54015,24,03-19,7.385539369204509e-05,0.0006,8.333333333333333e-05,0.002970877629599763,0.0017956605735815645
54015,48,03-16,0.11952710869591308,0.1724,0.06522499999999999,0.0461159702937732,0.01958917732337646
54015,48,03-17,0.1905995329559833,0.1817,0.11174583333333334,0.0495276275736078,0.035176270663989324
54015,48,03-18,6.422987675696657e-05,0.0061,0.0018625000000000002,0.007067803644481677,0.0027389835775006484
54015,48,03-19,9.133564297643633e-05,0.0006,8.333333333333333e-05,0.0034248761286429772,0.001688815255080271
