fipsCode,countyName,stateAbbr,horizon,fold,n,sse,sse_share,rmse,bias,truth_peak,truth_peak_time,prediction_at_truth_peak,base_at_truth_peak,average_at_truth_peak,max_candidate_at_truth_peak,protected_at_truth_peak,prediction_peak,prediction_peak_time,actual_sum,prediction_sum,hours_actual_ge005,hours_actual_ge005_protected,largest_6h_sse_share_within_county
18059,Hancock County,IN,1,3,143,0.00022491247589590321,4.826649670717286e-05,0.0012541190201709597,0.000279547409857167,0.0138,2026-03-15 14:00:00,0.003837607749624203,0.003837607749624203,0.00391989281763827,0.0051077142717035,False,0.004334606797232462,2026-03-16 01:00:00,0.0432,0.08317527960957488,0,0,0.5599631952673468
18061,Harrison County,IN,1,3,143,0.002249575370155087,0.0004827616687941384,0.003966269821228861,-0.00036216794371052047,0.038,2026-03-15 13:00:00,0.019013535956555867,0.019013535956555867,0.015258820612443769,0.024249680062360845,False,0.019013535956555867,2026-03-15 13:00:00,0.2737,0.22190998404939558,0,0,0.31900830335365005
18065,Henry County,IN,1,3,143,0.0006767142171476294,0.0001452237115951293,0.0021753774966153864,4.789976344999699e-05,0.019,2026-03-16 01:00:00,0.005610398574105186,0.005610398574105186,0.005400380618959053,0.00972149214358333,False,0.006380435648114658,2026-03-15 18:00:00,0.1342,0.14104966617334955,0,0,0.70384664528534
18067,Howard County,IN,1,2,143,0.0004189126576304274,8.989917668893687e-05,0.0017115662839249676,-5.1321608744413166e-05,0.0149,2026-03-16 03:00:00,0.0016980493700207526,0.0016980493700207526,0.001089379593188747,0.0018427438831476,False,0.004916466504886443,2026-03-15 23:00:00,0.0666,0.059261009949548915,0,0,0.857550738714984
18069,Huntington County,IN,1,0,143,0.00014966808938247537,3.21189578949439e-05,0.001023049361312369,-0.0001422778431009335,0.0062,2026-03-15 13:00:00,0.002229241509997717,0.002229241509997717,0.0030558678126075644,0.0037651724996976,False,0.005382544075435642,2026-03-16 01:00:00,0.1224,0.10205426843656651,0,0,0.3910099384897065
18071,Jackson County,IN,1,0,143,0.00216161893818891,0.0004638861092372064,0.0038879578638369265,0.0015428117655694141,0.0101,2026-03-15 14:00:00,0.01982615337631388,0.01982615337631388,0.01848147372918246,0.0219808388501405,False,0.020171539218180976,2026-03-15 13:00:00,0.07569999999999999,0.2963220824764262,0,0,0.4022604112508604
18073,Jasper County,IN,1,2,143,0.002114510704568077,0.00045377662378566117,0.0038453592997056475,0.0019021709797921343,0.0032,2026-03-14 01:00:00,0.0013545432242265435,0.0013545432242265435,0.0036392436278558566,0.0064385514706373,False,0.01706590510859281,2026-03-15 23:00:00,0.0672,0.3392104501102752,0,0,0.5593235835957561
18077,Jefferson County,IN,1,2,143,0.0034749834267860822,0.0007457357599143561,0.004929562191929267,-0.001074933215033174,0.0343,2026-03-15 20:00:00,0.0056813441513516375,0.0056813441513516375,0.005156102617876864,0.0060438927104225475,False,0.01731849305273369,2026-03-15 14:00:00,0.3465,0.1927845502502561,0,0,0.7440571736482969
18083,Knox County,IN,1,2,143,0.0017088029843124156,0.00036671124306014854,0.0034568296485317208,0.0015358441085304513,0.0083,2026-03-15 13:00:00,0.017753754037603847,0.017753754037603847,0.016602108223774878,0.023339624193487313,False,0.017753754037603847,2026-03-15 13:00:00,0.0824,0.30202570751985447,0,0,0.3662628862182627
18085,Kosciusko County,IN,1,3,143,0.003656522510469248,0.0007846942727754753,0.005056687402420574,0.004136756735193817,0.0077,2026-03-14 01:00:00,0.01154607921573392,0.01154607921573392,0.013726054981219302,0.0171037405030801,False,0.012793231580915282,2026-03-14 23:00:00,0.1225,0.7140562131327158,0,0,0.1625170884416423
18087,LaGrange County,IN,1,2,143,0.0006681633658595128,0.000143388688287074,0.0021615899449078362,0.0018707328050910704,0.0048,2026-03-15 17:00:00,0.004875821350007557,0.004875821350007557,0.0055101176442873545,0.0088736549544186,False,0.009276642284361885,2026-03-16 00:00:00,0.1397,0.40721479112802306,0,0,0.2306295974457782
18089,Lake County,IN,1,4,143,0.0010203716818802907,0.0002189730304083348,0.0026712293624575147,0.0007392976757678787,0.0174,2026-03-14 01:00:00,0.008282778588251669,0.008282778588251669,0.010260619130708765,0.0173892654900255,False,0.008720981743192784,2026-03-14 03:00:00,0.2112,0.3169195676348066,0,0,0.3064448965150777
18091,LaPorte County,IN,1,0,143,0.000278042505920685,5.966826714711063e-05,0.0013944006555708939,-0.00010362782407357495,0.0089,2026-03-16 22:00:00,0.0018029297286131696,0.0018029297286131696,0.0,0.001917784243260582,False,0.0036549221231769956,2026-03-16 00:00:00,0.0943,0.07948122115747878,0,0,0.3529111317898438
18093,Lawrence County,IN,1,1,143,0.009670109307181986,0.00207521746925735,0.008223329131699986,-0.0017197065428813153,0.0678,2026-03-15 23:00:00,0.010032750823947624,0.010032750823947624,0.009660278360037213,0.01159176408521206,False,0.016190016841543267,2026-03-15 12:00:00,0.5332000000000001,0.28728196436797193,2,0,0.5910634501892704
18095,Madison County,IN,1,0,143,0.00028522591451650843,6.120983555480119e-05,0.001412298415633452,-2.2308773519776515e-05,0.0148,2026-03-15 15:00:00,0.005813475062784741,0.005813475062784741,0.005575425229655148,0.0063212269764085,False,0.0066240369025098965,2026-03-16 00:00:00,0.14800000000000002,0.14480984538667196,0,0,0.5843164227402645
