split_seed,horizon,scenario,n,rmse,mae,sse,bias,baseline_rmse,rmse_delta,rmse_change_pct,sse_reduction,ci_low,ci_high,replicates,bootstrap_seed,unit,reference,source_horizon,alpha,uses_future_truth,deployable
20260917,48,O_N_partial_0.5,22944,0.0075807007080976214,0.002162759811633137,1.3185233808916483,-0.0002882202091812521,0.007895792270846023,-0.0003150915627484017,-3.990626297399291,0.11188669955571928,-0.0005095641766857268,-0.0001844923082471829,2000,20260910,county_full_trajectory,B_current,0.0,0.5,True,False
20260917,1,A_N_zero,34177,0.011307893212634972,0.0032452360949864114,4.370159978340887,-0.00038344339144794515,0.011279784035266497,2.8109177368474195e-05,0.24919960595513047,-0.02169969590912668,-2.7316803081275932e-05,6.872371927771004e-05,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260917,6,A_N_zero,32982,0.010349904102103673,0.0031189068930461694,3.5330488231818915,-0.0003692134212742825,0.0103282666639301,2.163743817357351e-05,0.2094972842746179,-0.014756893561711504,-2.63162005315076e-05,6.158203717025431e-05,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260917,24,A_N_zero,28680,0.008725881210862565,0.0028678943816439206,2.1837239633464987,-0.00030157558286668867,0.008710411518259539,1.5469692603025872e-05,0.17760002005182685,-0.007735973662650331,-4.8132070605024356e-05,6.736714796272785e-05,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260917,48,A_N_zero,22944,0.007926763841146442,0.0021768646099367796,1.4416537740864297,-0.00043833258427360106,0.007895792270846023,3.0971570300419166e-05,0.39225411761119044,-0.01124369363906208,-4.577951876124928e-05,9.148085555240308e-05,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260917,1,A_N71,34177,0.01126386789365875,0.003485345655876326,4.336197302903944,4.344409016719938e-05,0.011279784035266497,-1.5916141607747597e-05,-0.14110324770389981,0.012262979527815965,-0.00030013569627766095,0.00030736938107945943,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260917,6,A_N71,32982,0.010397798730690577,0.003368510295575003,3.565823152718377,5.78430472097782e-05,0.0103282666639301,6.953206676047798e-05,0.6732210643176861,-0.04753122309819702,-0.00012846164364001557,0.0003162936185382779,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260917,24,A_N71,28680,0.008921149061921211,0.0031237357191570064,2.2825523087783077,0.00011992253304126404,0.008710411518259539,0.000210737543661672,2.4193752869184904,-0.1065643190944594,2.4050811342719857e-06,0.0004885971756323677,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260917,48,A_N71,22944,0.008134119601884171,0.0024621344427930973,1.518064560553321,-1.842074482157617e-05,0.007895792270846023,0.00023832733103814827,3.018409335794381,-0.08765448010595334,2.743931524099238e-05,0.0005319738652043649,2000,20260910,county_full_trajectory,B_current,0.0,1.0,False,False
20260918,1,N_aligned_minus_clipped,34177,0.0042759134995518176,0.000867116495147889,0.6248730009093317,2.1293954239393558e-05,0.004303162160095523,-2.7248660543705353e-05,-0.6332241158929608,0.007989499887285034,-5.7680536239062835e-05,-5.128106695900956e-06,2000,20260910,county_full_trajectory,,,,,
