horizon,fipsCode,countyName,stateAbbr,splits,oracle_improves_splits,oracle_worsens_splits,mean_N_weighted_sse,mean_OSI_sse,mean_oracle_N_sse_reduction
1,42031,Clarion County,PA,3,3,0,0.000523478802157536,0.018852702038922572,0.0022956033815901204
1,42033,Clearfield County,PA,3,2,1,0.00013764471395019272,0.003998057065997711,6.153199302466024e-05
1,42035,Clinton County,PA,3,3,0,2.1053828193255813e-05,0.004324458552747468,0.00030896253138804834
1,42039,Crawford County,PA,3,3,0,0.0004357454606454475,0.02175561339266559,0.0029244897132348437
1,42041,Cumberland County,PA,3,3,0,6.716989328225402e-06,0.0008085484411719602,6.080181340943704e-05
1,42043,Dauphin County,PA,3,3,0,1.1599638796060951e-05,0.0002984727543376674,5.991039060194986e-05
1,42045,Delaware County,PA,3,3,0,1.002781318927391e-05,0.0008515186481408667,8.492893359482831e-05
1,42047,Elk County,PA,3,3,0,0.0005124105242729739,0.02748022045007058,0.0024178603059008415
1,42049,Erie County,PA,3,3,0,7.740511930201581e-05,0.009377761919270346,0.0008514645233570365
1,42051,Fayette County,PA,3,3,0,1.652383935233239e-05,0.0016725407781443661,0.0002047101082085207
1,42053,Forest County,PA,3,3,0,0.019475376123616606,1.3090587042334254,0.15239203219707897
1,42055,Franklin County,PA,3,3,0,3.373791809512529e-06,0.00015144434680699822,2.5037856404116186e-05
1,42057,Fulton County,PA,3,3,0,5.655987803210762e-06,0.0011827074233963025,7.280071259082613e-05
1,42059,Greene County,PA,3,3,0,0.00010531116520741734,0.01850622170142512,0.0009879159530207062
1,42061,Huntingdon County,PA,3,3,0,2.0777312334825454e-05,0.0010877116757972293,0.00019396919513707655
1,42063,Indiana County,PA,3,3,0,0.00017403322727814683,0.010646802080160667,0.00039468743362142014
1,42065,Jefferson County,PA,3,3,0,0.00022713787392407815,0.016367758757530253,0.0017934946573592051
1,42067,Juniata County,PA,3,3,0,2.2915674581638938e-05,0.0006095166446981256,0.00014199665282641055
1,42069,Lackawanna County,PA,3,3,0,5.6115850502198644e-05,0.000814308534203827,0.0003311158703364981
1,42075,Lebanon County,PA,3,3,0,5.069919905957498e-05,0.0048181727201129345,0.0005425956966839215
1,42077,Lehigh County,PA,3,3,0,7.766693242994926e-05,0.0017727209694797796,0.0003463756988690398
1,42079,Luzerne County,PA,3,3,0,6.559190687905058e-06,0.0001782796372990003,2.9375290382304257e-05
1,42081,Lycoming County,PA,3,3,0,3.7361601227390265e-05,0.00118621853397432,0.00030883680426501157
1,42083,McKean County,PA,3,3,0,0.00014572787534581638,0.0031398296168932624,0.0008009897821622046
1,42085,Mercer County,PA,3,3,0,4.80906060595619e-05,0.0029860864871768373,0.00042762610286397766
1,42089,Monroe County,PA,3,3,0,1.829898476073885e-05,0.0029242160896036525,0.0001482782917444233
1,42091,Montgomery County,PA,3,3,0,2.6606989211380553e-05,0.0010685937669860821,0.0001074422558593395
1,42095,Northampton County,PA,3,3,0,8.799696645554901e-05,0.001481709589322999,0.00036424854009423514
1,42097,Northumberland County,PA,3,3,0,1.6103461479663214e-05,0.0010487687389267402,0.00018768414344875114
1,42101,Philadelphia County,PA,3,3,0,3.099273295445215e-05,0.0026163224424632253,0.0003113140185932814
1,42103,Pike County,PA,3,3,0,4.7408452698858865e-05,0.00111254767394812,0.00014561734726760474
1,42109,Snyder County,PA,3,3,0,0.00025396090817685394,0.005267036299265593,0.0014706639000357919
1,42113,Sullivan County,PA,3,3,0,9.881399300379459e-05,0.00316156333471196,0.0006884376937123347
1,42115,Susquehanna County,PA,3,3,0,0.0002042821072711392,0.0027677967594665655,0.0009107703245604849
1,42119,Union County,PA,3,3,0,1.8381334042021985e-05,0.0012649829792925587,0.000208900905720472
1,42121,Venango County,PA,3,3,0,0.001159147777295824,0.06517073671612093,0.008734370068383032
1,42125,Washington County,PA,3,3,0,3.73136147622042e-05,0.016121356924619357,0.0003717368309549875
1,42127,Wayne County,PA,3,3,0,4.209463575838126e-05,0.0008975974347276984,0.00015951921619320313
1,42129,Westmoreland County,PA,3,3,0,1.8868174430027042e-05,0.00305300315258757,9.028316417388432e-05
1,42131,Wyoming County,PA,3,3,0,0.003303939916387688,0.03609602967833852,0.01587567740242449
1,42133,York County,PA,3,3,0,1.7394229099016508e-05,0.0007724002156970108,0.0001456052593368152
1,54007,Braxton County,WV,3,3,0,0.000995307863522989,0.08724195936396988,0.008089894051511493
1,54009,Brooke County,WV,3,0,3,5.722778315224659e-05,0.0653834649138302,-0.0004800580423194459
1,54013,Calhoun County,WV,3,3,0,0.002522465322734866,0.2412342568855144,0.01803075483453478
1,54015,Clay County,WV,3,3,0,0.0042136621958299555,0.3083841911688883,0.031010026996705315
1,54019,Fayette County,WV,3,3,0,6.769935509961572e-05,0.004630067528839463,0.0005170247563670218
1,54023,Grant County,WV,3,3,0,6.374934893947427e-06,0.00021247797414770944,4.943540706246408e-05
1,54025,Greenbrier County,WV,3,3,0,7.3296561786280795e-06,0.0003940149841877671,5.900124679401352e-05
1,54027,Hampshire County,WV,3,3,0,9.31864714410827e-06,0.0004604018428079896,6.922297485634969e-05
1,54029,Hancock County,WV,3,0,3,7.273419672971014e-05,0.02433064072173424,-0.0010017810431338467
1,54031,Hardy County,WV,3,3,0,8.83719789930367e-06,0.0011555497650936207,6.496764936649713e-05
1,54033,Harrison County,WV,3,3,0,3.130531935916026e-05,0.002487001163100598,0.00026128001060878834
1,54035,Jackson County,WV,3,3,0,4.1354470151141466e-05,0.0012570042751165473,0.00022519889539569565
1,54037,Jefferson County,WV,3,3,0,4.689370250671653e-05,0.0013637155339978786,0.0003224746537768977
1,54039,Kanawha County,WV,3,3,0,2.6064580551242157e-05,0.0010961943836191822,0.00016477913170212174
1,54041,Lewis County,WV,3,3,0,0.0017969672077680875,0.02968323931165028,0.010849075117225477
1,54043,Lincoln County,WV,3,3,0,0.0003487212655740179,0.008491455431377594,0.0017711932618912918
1,54045,Logan County,WV,3,3,0,0.00019658649138561967,0.009682152584044725,0.0014877857477504852
1,54047,McDowell County,WV,3,3,0,6.89308434485995e-05,0.0033160354816905726,0.00027188202346539676
1,54053,Mason County,WV,3,3,0,1.009851442097876e-05,0.00040676464400003835,9.140705954538485e-05
1,54055,Mercer County,WV,3,3,0,1.5280658184062204e-05,0.0006198735012616212,0.00011550541020390687
1,54057,Mineral County,WV,3,3,0,1.4418391540167274e-05,0.0003417236265125065,8.089566554014654e-05
1,54059,Mingo County,WV,3,3,0,0.0007722009810978379,0.027719744159981758,0.005613907255807248
1,54063,Monroe County,WV,3,3,0,1.4190026607224405e-05,0.0005615361424107888,9.810999636712148e-05
1,54067,Nicholas County,WV,3,3,0,0.0002666563500071353,0.003630829241987496,0.0012756397884019883
1,54069,Ohio County,WV,3,3,0,0.00022049113543328637,0.00824350597983328,0.0007918416967634844
1,54071,Pendleton County,WV,3,3,0,1.7462572072888647e-05,0.008536372356188855,0.0005824825508355879
1,54073,Pleasants County,WV,3,3,0,0.00010511813832095796,0.0037710016854793937,0.0005222159274139504
1,54075,Pocahontas County,WV,3,3,0,5.962201821272846e-05,0.00781567292965825,0.0008003162674054369
1,54077,Preston County,WV,3,3,0,4.968686849593716e-05,0.0025872786036414785,0.00028997648684799855
1,54079,Putnam County,WV,3,3,0,7.925099174362747e-06,0.00018913192759435914,4.984201472582804e-05
