split_seed,horizon,fipsCode,countyName,stateAbbr,fold,N_sse,N_weighted_sse,N_signed_allocation,OSI_sse,oracle_N_sse_reduction
42,1,18143,Scott County,IN,2,0.00029230867627180935,3.580781284329665e-05,8.634816283063727e-05,0.002305598946117063,0.00017159042598435795
42,1,18145,Shelby County,IN,4,0.00010437600002343738,1.278606000287108e-05,3.427029240275718e-05,0.00023433817012654166,5.619416010947552e-05
42,1,18147,Spencer County,IN,0,0.00020686936875491204,2.5341497672476722e-05,7.897640752354225e-05,0.00044724841921574157,0.0001366263270645937
42,1,18149,Starke County,IN,3,0.00026277818900155385,3.2190328152690346e-05,0.0002228510918424452,0.0041404731167523235,0.00041414405800544834
42,1,18151,Steuben County,IN,1,0.0012280711832956212,0.00015043871995371356,0.0011530035799242493,0.0183494324874872,0.0021824643509750405
42,1,18153,Sullivan County,IN,3,0.0001914544621383607,2.3453171611949187e-05,9.33217241785239e-05,0.0006543242271411971,0.00016416324593287025
42,1,18155,Switzerland County,IN,4,0.0005523170519025094,6.765883885805738e-05,0.00024831952825341973,0.001354752444605433,0.0004314098719426707
42,1,18157,Tippecanoe County,IN,1,1.903749072706506e-05,2.3320926140654695e-06,1.1671351974330284e-05,0.0001277239347733851,2.2085944957064782e-05
42,1,18159,Tipton County,IN,0,0.0022645741183642634,0.00027741032949962216,0.0006113206101132109,0.002576103614297332,0.0009456942239158902
42,1,18161,Union County,IN,0,0.00036110736173714165,4.423565181279985e-05,0.00018432210811759135,0.001146533314597363,0.0003256760211529207
42,1,18163,Vanderburgh County,IN,4,5.3518934789178123e-05,6.55606951167432e-06,1.3810827191636258e-05,5.5568972445779115e-05,2.3017160648904674e-05
42,1,18165,Vermillion County,IN,4,0.012801948332992204,0.0015682386707915452,0.0055873020696442,0.027278453846665843,0.009612847527591643
42,1,18167,Vigo County,IN,3,0.00012792015306059697,1.5670218749923127e-05,4.2934297734416636e-05,0.00026622236183573535,7.170881189112192e-05
42,1,18169,Wabash County,IN,3,0.0001272809584573934,1.559191741103069e-05,6.98252192313628e-05,0.0004098202239358396,0.00015701979142292697
42,1,18171,Warren County,IN,0,0.0014111765267388575,0.00017286912452551,0.0005048516716454966,0.002967943876737522,0.0008400957952248497
42,1,18173,Warrick County,IN,3,0.00014568295339314457,1.7846161790660206e-05,3.929528783739145e-05,0.0004211016515321127,6.23119803407367e-05
42,1,18175,Washington County,IN,4,0.0006267125577300461,7.677228832193064e-05,0.00023058602736703173,0.002314004107238681,0.00038645368527493037
42,1,18177,Wayne County,IN,1,7.72585794470519e-05,9.464175982263858e-06,5.1106947548326215e-05,0.0004076712419039912,9.562077510548645e-05
42,1,18179,Wells County,IN,0,0.0010621068826822512,0.00013010809312857577,0.0004266725247567636,0.003062021335062486,0.0007251855308214837
42,1,18181,White County,IN,2,0.00016143144994080555,1.9775352617748676e-05,7.563705233906618e-05,0.0004679703882268966,0.00013149366458339512
42,1,18183,Whitley County,IN,1,0.000599349376802945,7.342029865836074e-05,0.00023684288813275375,0.001062067458437599,0.0004022325860315108
