horizon,component,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t48h,N_t,4,18336,4608,263,0.002733702530025822,0.0005333285986402191
osi_target_t48h,D_t,0,18336,4608,538,0.005340965246608362,0.002362991211732401
osi_target_t48h,D_t,1,18432,4512,265,0.008353291900531119,0.002845377834363399
osi_target_t48h,D_t,2,18336,4608,1155,0.018973022900452646,0.004997595803343967
osi_target_t48h,D_t,3,18336,4608,30,0.007943490633358554,0.0029795256797409
osi_target_t48h,D_t,4,18336,4608,674,0.009422002919660371,0.002904990008450612
osi_target_t48h,R_t,0,18336,4608,195,0.001396270833182172,0.0004773471300385371
osi_target_t48h,R_t,1,18432,4512,409,0.002298101113115046,0.0006313590840194755
osi_target_t48h,R_t,2,18336,4608,285,0.005455911944088251,0.0009280378934638581
osi_target_t48h,R_t,3,18336,4608,74,0.0021933595166460326,0.0006953107333962659
osi_target_t48h,R_t,4,18336,4608,398,0.003349623804371765,0.0006769450753797233
