horizon,component,rank,feature,importance,importance_fraction
osi_target_t01h,P_t,109,lcc_t,0.007598688984101955,7.59868898410195e-05
osi_target_t01h,P_t,110,wind_speed_t,0.007379923398027513,7.379923398027509e-05
osi_target_t01h,P_t,111,gust_at_t1h,0.007152749818747737,7.152749818747734e-05
osi_target_t01h,P_t,112,gust_max_next_6h,0.006619468477312397,6.619468477312393e-05
osi_target_t01h,P_t,113,wind_speed_at_t24h,0.00635619789731327,6.356197897313266e-05
osi_target_t01h,P_t,114,wind_speed_at_t1h,0.006206162072747444,6.20616207274744e-05
osi_target_t01h,P_t,115,gust_gt40_obs,0.006155376690516671,6.155376690516668e-05
osi_target_t01h,P_t,116,gust_change_3h,0.005744433523818977,5.744433523818974e-05
osi_target_t01h,P_t,117,gust_mean_next_1h,0.005699013449296337,5.699013449296334e-05
osi_target_t01h,P_t,118,direct_rad_t,0.0053355130499121075,5.3355130499121044e-05
osi_target_t01h,P_t,119,tp_at_t24h,0.00476479331088458,4.764793310884577e-05
osi_target_t01h,P_t,120,sdswrf_t,0.004536258968380636,4.536258968380633e-05
osi_target_t01h,P_t,121,gust_at_t6h,0.004430392911840539,4.430392911840536e-05
osi_target_t01h,P_t,122,hour_of_day,0.004326695288129376,4.326695288129373e-05
osi_target_t01h,P_t,123,r2_t,0.00413875206753249,4.138752067532487e-05
osi_target_t01h,P_t,124,wind_speed_max_next_1h,0.004125024922662093,4.125024922662091e-05
osi_target_t01h,P_t,125,diffuse_rad_t,0.0040080465926067375,4.008046592606735e-05
osi_target_t01h,P_t,126,wind_change_1h,0.003937864009634145,3.937864009634143e-05
osi_target_t01h,P_t,127,tp_at_t48h,0.0038098038863020266,3.8098038863020244e-05
osi_target_t01h,P_t,128,gust_gt40_next_24h,0.0035706952020340844,3.570695202034082e-05
osi_target_t01h,P_t,129,tp_rate_next_6h,0.0035507872264073457,3.5507872264073434e-05
osi_target_t01h,P_t,130,mcc_t,0.003278843060467939,3.278843060467937e-05
osi_target_t01h,P_t,131,wind_speed_at_t6h,0.002747758012355267,2.7477580123552652e-05
osi_target_t01h,P_t,132,vpd_t,0.002500722150617258,2.500722150617257e-05
osi_target_t01h,P_t,133,hour_cos,0.0022970313430587226,2.2970313430587215e-05
osi_target_t01h,P_t,134,tp_rate_next_1h,0.002047744117611618,2.0477441176116168e-05
osi_target_t01h,P_t,135,gust_gt40_next_6h,0.0017890841681479773,1.7890841681479762e-05
osi_target_t01h,P_t,136,et0_t,0.0016863878621858849,1.686387862185884e-05
osi_target_t01h,P_t,137,tp_at_t6h,0.001672537296358337,1.672537296358336e-05
osi_target_t01h,P_t,138,rain_t,0.0015455493079430157,1.5455493079430148e-05
osi_target_t01h,P_t,139,hour_sin,0.0014670360735937415,1.4670360735937407e-05
osi_target_t01h,P_t,140,gust_gt30_next_6h,0.0011838239757687194,1.1838239757687187e-05
osi_target_t01h,P_t,141,gust_gt30_next_1h,0.0008873089887263785,8.87308988726378e-06
osi_target_t01h,P_t,142,tp_at_t1h,0.0008834464092494383,8.834464092494378e-06
osi_target_t01h,P_t,143,gust_gt30_frac_next_6h,0.0007421570377564862,7.421570377564858e-06
osi_target_t01h,P_t,144,tp_t,0.00046259836754187415,4.625983675418739e-06
osi_target_t01h,P_t,145,tcc_t,0.00032060701313611566,3.206070131361155e-06
osi_target_t01h,P_t,146,gust_exceed30_x_hso,0.00024347699649614971,2.4347699649614958e-06
osi_target_t01h,P_t,147,csnow_t,0.0002036091372416895,2.036091372416894e-06
osi_target_t01h,P_t,148,total_tp_next_1h,0.00016756819655032058,1.675681965503205e-06
osi_target_t01h,P_t,149,has_weather_at_t24h,3.554084767634727e-05,3.5540847676347247e-07
osi_target_t01h,P_t,150,is_worsening,0.0,0.0
osi_target_t01h,P_t,151,icing_risk_t,0.0,0.0
osi_target_t01h,P_t,152,is_snowing,0.0,0.0
osi_target_t01h,P_t,153,gust_gt40_next_1h,0.0,0.0
osi_target_t01h,P_t,154,is_full_next_6h,0.0,0.0
osi_target_t01h,P_t,155,window_len_next_6h,0.0,0.0
osi_target_t01h,P_t,156,has_weather_at_t1h,0.0,0.0
osi_target_t01h,P_t,157,is_full_next_24h,0.0,0.0
osi_target_t01h,P_t,158,window_len_next_24h,0.0,0.0
