horizon,model,rmse,mae,n,fold,baseline_rmse,rmse_change_pct_vs_v1.8,improved_vs_v1.8
osi_target_t06h,v1.8_rule,0.008736992392214486,0.002897691349513629,6624,4,0.008736992392214486,0.0,False
osi_target_t06h,lgbm_direct,0.009161450343277783,0.0031277184543612277,6624,4,0.008736992392214486,4.858170088845792,False
osi_target_t06h,xgboost_direct,0.009140237981536299,0.002845139500765984,6624,4,0.008736992392214486,4.615382172944837,False
osi_target_t06h,catboost_direct,0.00971313030016357,0.002975957275016801,6624,4,0.008736992392214486,11.172470618366548,False
osi_target_t06h,xgboost_component,0.009189680939079965,0.002821094154133089,6624,4,0.008736992392214486,5.181285808018665,False
osi_target_t06h,catboost_component,0.010250309817809809,0.002990412261503317,6624,4,0.008736992392214486,17.32080511989271,False
osi_target_t06h,simple_average,0.009142339861653588,0.0028136926843472,6624,4,0.008736992392214486,4.639439423116665,False
osi_target_t06h,static_convex,0.008893680694729539,0.002843380044857441,6624,4,0.008736992392214486,1.7933894809691875,False
osi_target_t06h,safe_convex,0.008885870216290073,0.0028430287807561182,6624,4,0.008736992392214486,1.7039939763281886,False
osi_target_t24h,v1.8_rule,0.004676006104653076,0.002068686988798557,5760,0,0.004676006104653076,0.0,False
osi_target_t24h,lgbm_direct,0.004676682993211646,0.002042712177853166,5760,0,0.004676006104653076,0.014475784321521523,False
osi_target_t24h,xgboost_direct,0.005294582920052467,0.0020598608274931744,5760,0,0.004676006104653076,13.228742682432504,False
osi_target_t24h,catboost_direct,0.00493426617719838,0.0020436474016687295,5760,0,0.004676006104653076,5.523091004699721,False
osi_target_t24h,xgboost_component,0.0051498584023412265,0.0020082978999609517,5760,0,0.004676006104653076,10.133697156995192,False
osi_target_t24h,catboost_component,0.004738831961186638,0.0019220288875065532,5760,0,0.004676006104653076,1.3435794378250376,False
osi_target_t24h,simple_average,0.004775976137731798,0.0019304176188979646,5760,0,0.004676006104653076,2.1379363251737837,False
osi_target_t24h,static_convex,0.004681966417889293,0.0019748516782813873,5760,0,0.004676006104653076,0.12746589937693287,False
osi_target_t24h,safe_convex,0.004679290677645949,0.001978461597767407,5760,0,0.004676006104653076,0.07024312884460482,False
osi_target_t24h,v1.8_rule,0.008690387584105909,0.003610778243058664,5640,1,0.008690387584105909,0.0,False
osi_target_t24h,lgbm_direct,0.008743468525111582,0.003552848654410227,5640,1,0.008690387584105909,0.6108006172561797,False
