model,reference,purpose,horizon,metric,difference,ci_2_5,ci_97_5,bootstrap_improvement_probability,replicates,resampling_unit,evaluation_status
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t24h,mae,-3.063878853324948e-05,-0.00011417176760071516,3.953276245227182e-05,0.7735,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t24h,rmse,0.0001919116254055775,-9.282673449564891e-05,0.00048763248611745754,0.132,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B4_constant_mean,主 GRU 相对常数校正,osi_target_t24h,mae,-4.7499396100869444e-05,-9.971964330702753e-05,3.3795798931582207e-06,0.965,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t24h,rmse,-0.00019492402203793655,-0.00037072051945183333,-1.926988509198845e-05,0.9905,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B5_gru_no_future,加入未来气象相对无未来气象,osi_target_t24h,mae,-9.984865892535832e-07,-3.8497717475328844e-05,3.433382494473467e-05,0.516,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t24h,rmse,0.00038683564744351404,-6.287424346632567e-05,0.0008588746733519877,0.073,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,无未来气象 GRU 相对基线,osi_target_t24h,mae,-4.650090951161586e-05,-0.00011991947496927343,2.9791175496370657e-05,0.897,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B3_gru_huber,MSE 相对 Huber,osi_target_t24h,rmse,-0.00019182204252721907,-0.00048756198137868466,9.266266039218506e-05,0.8675,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B3_gru_huber,MSE 相对 Huber,osi_target_t24h,mae,4.7995519909344204e-05,-2.7668923727835427e-06,0.00010034891695052196,0.0325,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B6_gru_mse,高 OSI 加权相对普通 MSE,osi_target_t24h,rmse,9.847315425150042e-05,-4.655149416704512e-05,0.0003116909330776768,0.128,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B6_gru_mse,高 OSI 加权相对普通 MSE,osi_target_t24h,mae,0.0001584267020933233,7.866361353368642e-05,0.0002619316068455852,0.0,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B3_gru_huber,高 OSI 加权相对主 GRU,osi_target_t24h,rmse,-9.334888827571865e-05,-0.00044825896059781764,0.0002882493185256388,0.644,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B3_gru_huber,高 OSI 加权相对主 GRU,osi_target_t24h,mae,0.0002064222220026675,0.00011124065985552245,0.00031800925832153675,0.0,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,目标时刻对齐相对基线,osi_target_t48h,rmse,7.23199036385732e-05,-0.00021617761791548258,0.00030936455528356605,0.33,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,目标时刻对齐相对基线,osi_target_t48h,mae,-2.2529071483654364e-05,-9.77125536888706e-05,4.996457279317235e-05,0.7115,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,主 GRU 相对基线,osi_target_t48h,rmse,0.00042038968297480016,-6.0096388898089596e-05,0.0008779223051995063,0.119,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,主 GRU 相对基线,osi_target_t48h,mae,-4.7209371607382766e-05,-0.00010862412206684529,2.4040387385214463e-05,0.9165,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B1_target_aligned,主 GRU 相对目标时刻对齐,osi_target_t48h,rmse,0.00034806977933622696,4.847905582162874e-05,0.0006115669503663413,0.0085,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B1_target_aligned,主 GRU 相对目标时刻对齐,osi_target_t48h,mae,-2.46803001237284e-05,-0.00011029661416101132,5.934221824339911e-05,0.742,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t48h,rmse,-0.00035279575939012493,-0.0006498065741815303,-5.690935948808124e-06,0.9805,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B2_mlp_huber,GRU 时序相对非时序 MLP,osi_target_t48h,mae,1.123119733860466e-05,-4.477922591166255e-05,6.651235134987732e-05,0.3325,2000,county_full_trajectory,strict_nested_cv
