model,reference,horizon,metric,difference,ci_2_5,ci_97_5,bootstrap_improvement_probability,replicates,resampling_unit,evaluation_status
B4_constant_mean,B0_lightgbm,osi_target_t06h,rmse,-2.57493841104503e-06,-6.739235717091252e-06,9.50695407555969e-07,0.923,2000,county_full_trajectory,strict_nested_cv
B4_constant_mean,B0_lightgbm,osi_target_t06h,mae,-1.4579835412604353e-05,-1.8566906393598928e-05,-1.0556075130319585e-05,1.0,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t06h,rmse,2.5555530250428657e-05,-4.841241705353656e-05,0.00010536935051741974,0.2615,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t06h,mae,-2.725686955383803e-05,-4.7409487580176605e-05,-3.7578056710099647e-06,0.9875,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t06h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t06h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t06h,rmse,6.077869402015476e-05,-4.705899766401576e-05,0.0001944442566569377,0.148,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t06h,mae,0.0001083337751885639,3.665436309514485e-05,0.0001937676444946623,0.0,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,osi_target_t24h,rmse,-0.0001328207590561882,-0.00032320393644173415,1.7609436109368165e-05,0.9535,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,osi_target_t24h,mae,-9.121668151784506e-05,-0.00016293705299184086,-2.603580303474555e-05,0.9965,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t24h,rmse,0.0004976792223236916,2.5614161961197468e-06,0.0009593779732233937,0.0235,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t24h,mae,-1.6860607567619965e-05,-0.00010711333913313114,8.06484125914822e-05,0.656,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t24h,rmse,0.0001919116254055775,-9.099611390262943e-05,0.0004681433400631629,0.1235,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t24h,mae,-4.7499396100869444e-05,-9.89999980101424e-05,4.488392756313934e-06,0.963,2000,county_full_trajectory,strict_nested_cv
B4_constant_mean,B0_lightgbm,osi_target_t24h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B4_constant_mean,B0_lightgbm,osi_target_t24h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t24h,rmse,0.00038683564744351404,-5.610171239967807e-05,0.0008304957586905472,0.0675,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t24h,mae,-4.650090951161586e-05,-0.00011392244013541211,2.6774888998626804e-05,0.88,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t24h,rmse,8.95828783584185e-08,-1.0879887905634313e-06,1.1693671318539505e-06,0.4145,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t24h,mae,4.961238084747605e-07,4.68660888340795e-09,1.0611877251868476e-06,0.025,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t24h,rmse,9.856273712985884e-05,-4.786032312331012e-05,0.00030060467660107735,0.14,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t24h,mae,0.00015892282590179805,7.184131746533275e-05,0.00025573878007082026,0.0,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,osi_target_t48h,rmse,7.23199036385732e-05,-0.00020861147795411374,0.0003049498168387671,0.3275,2000,county_full_trajectory,strict_nested_cv
B1_target_aligned,B0_lightgbm,osi_target_t48h,mae,-2.2529071483654364e-05,-9.739233158755495e-05,4.9669933086278465e-05,0.724,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t48h,rmse,0.0007731854423649251,-2.5933944379943133e-05,0.0014933955025961084,0.0425,2000,county_full_trajectory,strict_nested_cv
B2_mlp_huber,B0_lightgbm,osi_target_t48h,mae,-5.8440568945987426e-05,-0.00014800775864790133,4.221457088151376e-05,0.885,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t48h,rmse,0.00042038968297480016,-5.478869531826795e-05,0.000855003295411106,0.104,2000,county_full_trajectory,strict_nested_cv
B3_gru_huber,B0_lightgbm,osi_target_t48h,mae,-4.7209371607382766e-05,-0.00010739385125368533,1.9560287831492475e-05,0.9235,2000,county_full_trajectory,strict_nested_cv
B4_constant_mean,B0_lightgbm,osi_target_t48h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B4_constant_mean,B0_lightgbm,osi_target_t48h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t48h,rmse,0.00046293441578890496,-7.80169665789912e-05,0.0009446191874943135,0.1125,2000,county_full_trajectory,strict_nested_cv
B5_gru_no_future,B0_lightgbm,osi_target_t48h,mae,-6.818226339486448e-05,-0.0001359768223437641,3.3767841448135685e-06,0.965,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t48h,rmse,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B6_gru_mse,B0_lightgbm,osi_target_t48h,mae,0.0,0.0,0.0,0.0,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t48h,rmse,8.665884589701897e-05,-1.604171693320689e-05,0.00022803848886892298,0.066,2000,county_full_trajectory,strict_nested_cv
B7_gru_weighted_mse,B0_lightgbm,osi_target_t48h,mae,0.00014810176348956398,6.889282824231783e-05,0.0002387158165271066,0.0,2000,county_full_trajectory,strict_nested_cv
