horizon,component,fold,train_rows,valid_rows,best_round,rmse,mae
osi_target_t48h,N_t,4,18336,4608,393,0.002718767271407794,0.0005178416668274759
osi_target_t48h,D_t,0,18336,4608,613,0.00549890029898419,0.0023513103446462335
osi_target_t48h,D_t,1,18432,4512,105,0.007930172758563296,0.0026779875357435456
osi_target_t48h,D_t,2,18336,4608,1808,0.019187391482031857,0.004986000181959225
osi_target_t48h,D_t,3,18336,4608,149,0.007454410559621026,0.0031757580619533182
osi_target_t48h,D_t,4,18336,4608,677,0.009589840131900947,0.0031670966084249167
osi_target_t48h,R_t,0,18336,4608,540,0.0013796224993329821,0.0004592356513435354
osi_target_t48h,R_t,1,18432,4512,241,0.002316515737685716,0.0005944613375686682
osi_target_t48h,R_t,2,18336,4608,639,0.005502563663288516,0.000888705800291845
osi_target_t48h,R_t,3,18336,4608,43,0.00220085909921126,0.0006269615212730794
osi_target_t48h,R_t,4,18336,4608,382,0.003347499913211844,0.0006669094232690986
