domain,mode,horizon,comparison,slice_type,slice_value,counties,countyName,n,baseline_rmse,baseline_mae,baseline_sse,baseline_bias,candidate_rmse,candidate_mae,candidate_sse,candidate_bias,rmse_delta,rmse_change_pct,sse_reduction,changed_predictions,fraction_of_net_sse_reduction
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18095,1,Madison County,143,0.0013611222740942922,0.000612301926322216,0.0002649294998400933,-5.681213065395125e-05,0.0013599099449879248,0.000598012686395171,0.0002644577733622197,-4.906400960321194e-05,-1.2123291063673765e-06,-0.08906834671955632,4.717264778736157e-07,47,8.288288497622936e-06
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18097,1,Marion County,143,0.0006356622640800276,0.0002975173703690362,5.778151149847459e-05,7.448812690599295e-05,0.0007038835497192428,0.0003361170576260023,7.084964337384671e-05,0.00011812117218750617,6.822128563921512e-05,10.732316435041088,-1.3068131875372118e-05,28,-0.0002296085807951728
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18099,1,Marshall County,143,0.008860860039028865,0.0028167206541499456,0.011227622210269983,-0.0015791930519305616,0.008848672667283914,0.0027720447251325256,0.011196758140101449,-0.0016050304667807077,-1.2187371744951103e-05,-0.1375416346863667,3.0864070168534416e-05,66,0.0005422852643777765
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18101,1,Martin County,143,0.003897931197106436,0.0022934963269506206,0.0021727230692847126,0.0008641633576020591,0.00364617464188844,0.0020092767240311006,0.0019011263012384916,0.0006099012946160702,-0.00025175655521799626,-6.458722396251726,0.00027159676804622106,91,0.004771986467107244
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18103,1,Miami County,143,0.0024824775118504,0.0011712659169705346,0.0008812653273485424,0.0010571548264770563,0.002566495548096881,0.001227840894284164,0.0009419266139713586,0.0010676422197601094,8.401803624648102e-05,3.3844429947667676,-6.066128662281624e-05,63,-0.0010658257862336904
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18105,1,Monroe County,143,0.0021291276186608614,0.0007128032207560876,0.0006482453715658593,-0.0004556144629615696,0.0021051935684042807,0.0007155691700139785,0.000633753114344457,-0.00040590085674124246,-2.3934050256580776e-05,-1.124124737606591,1.4492257221402336e-05,27,0.00025463062699847695
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18107,1,Montgomery County,143,0.0009772580113843175,0.00045811226169777613,0.0001365697505765208,0.0002044710657842089,0.0009640865866804633,0.0004805192554985997,0.00013291320136625767,0.000205122252170752,-1.3171424703854197e-05,-1.3477939858683174,3.6565492102631173e-06,38,6.42459903820275e-05
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18109,1,Morgan County,143,0.0028808601430076524,0.001157630301803098,0.0011868077883905202,0.0008639240080968043,0.0027507447793779474,0.0011011022478930217,0.0010820233483023298,0.000807395954186728,-0.000130115363629705,-4.516545655488258,0.00010478444008819041,28,0.0018410746698545321
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18111,1,Newton County,143,0.004059586898270677,0.002742743970132083,0.002356675147199364,0.002426868909157355,0.004288930945936289,0.0028390182000033186,0.0026304747982384235,0.002508281960168454,0.00022934404766561216,5.649442995377418,-0.0002737996510390594,89,-0.004810691374776308
OSI,v18_rule,osi_target_t01h,F1_minus_F0,county,18113,1,Noble County,143,0.0010125530426116892,0.0006178759269850768,0.00014661270396661304,-6.601339000093453e-05,0.0010017508327247765,0.0006096018826796017,0.00014350117651366402,-5.041998610449253e-05,-1.0802209886912615e-05,-1.0668290383139212,3.111527452949025e-06,43,5.466989539057592e-05
