candidate,kind,outer_fold,feature,group,gain,gain_fraction,split_count
F1,a,0,gust_at_t6h,original_163,23.812429171055555,0.0024542241670909553,53
F1,a,0,wind_speed_at_t6h,original_163,2.5636461824178696,0.0002642217797925529,31
F1,a,0,t2m_at_t6h,original_163,5.471399783156812,0.0005639089350851148,26
F1,a,0,tp_at_t6h,original_163,0.016818199306726456,1.7333649956087515e-06,1
F1,a,0,gust_at_t24h,original_163,6.451891372911632,0.0006649631424454738,61
F1,a,0,wind_speed_at_t24h,original_163,25.912978848442435,0.002670716980377063,69
F1,a,0,t2m_at_t24h,original_163,49.803230131976306,0.005132961870923251,55
F1,a,0,tp_at_t24h,original_163,4.889234470203519,0.0005039081611183525,20
F1,a,0,gust_at_t48h,original_163,3.493671883828938,0.0003600747285204034,39
F1,a,0,wind_speed_at_t48h,original_163,1.7912414986640215,0.00018461401579562546,40
F1,a,0,t2m_at_t48h,original_163,617.6678013131022,0.06365983219633671,83
F1,a,0,tp_at_t48h,original_163,0.652738943696022,6.727443382246028e-05,20
F1,a,0,hour_of_day,original_163,0.44483240600675344,4.584658008994706e-05,8
F1,a,0,hour_sin,original_163,2.251127526164055,0.00023201209495379672,10
F1,a,0,hour_cos,original_163,3.1844153981655836,0.0003282012587667513,18
F1,a,0,days_since_onset,original_163,3.700969934463501,0.00038143986863288683,1
F1,a,0,hours_since_obs,original_163,5073.500082644634,0.5228994667078928,130
F1,a,0,storm_phase,original_163,67.9990005493164,0.0070083060105860595,1
F1,a,0,log_customers,original_163,8.831920036114752,0.0009102604122722024,44
F1,a,0,rural_urban_code,original_163,37.20760831981897,0.0038347961428962596,30
F1,a,0,is_metro,original_163,0.0,0.0,0
F1,a,0,pop_density,original_163,4.9580360520631075,0.0005109991850420744,28
F1,a,0,n_utilities,original_163,13.188275304622948,0.001359247464521475,35
F1,a,0,pct_forest,original_163,6.484406010247767,0.0006683142582917955,12
F1,a,0,pct_developed,original_163,3.2932328786700964,0.00033941651482222103,26
F1,a,0,pct_agriculture,original_163,22.381736505776644,0.002306770058583821,41
F1,a,0,pct_water,original_163,9.14656045474112,0.0009426887762072464,44
F1,a,0,pct_wetland,original_163,61.55863717477769,0.006344530999431256,81
F1,a,0,pct_unmapped,original_163,47.3543969290331,0.004880573272319324,50
F1,a,0,pct_forest_classified,original_163,2.7148229777812958,0.00027980279179343133,8
F1,a,0,tree_canopy_pct,original_163,0.32233450189232826,3.322135338434732e-05,3
F1,a,0,tree_canopy_std,original_163,75.31227960623801,0.007762047935580162,60
F1,a,0,forest_x_customers,original_163,15.892109390348196,0.001637917687929725,18
F1,a,0,window_len_next_1h,original_163,0.0,0.0,0
F1,a,0,is_full_next_1h,original_163,0.0,0.0,0
F1,a,0,tp_rate_next_1h,original_163,0.034286800771951675,3.5337635846509706e-06,2
F1,a,0,gust_gt30_frac_next_1h,original_163,0.0,0.0,0
F1,a,0,has_weather_at_t1h,original_163,0.0,0.0,0
F1,a,0,window_len_next_6h,original_163,0.0,0.0,0
F1,a,0,is_full_next_6h,original_163,0.0,0.0,0
F1,a,0,tp_rate_next_6h,original_163,0.5303787887096405,5.466340420849751e-05,3
F1,a,0,gust_gt30_frac_next_6h,original_163,0.10411900281906128,1.0731008211566865e-05,1
F1,a,0,has_weather_at_t6h,original_163,0.0,0.0,0
F1,a,0,window_len_next_24h,original_163,0.0,0.0,0
F1,a,0,is_full_next_24h,original_163,0.0,0.0,0
F1,a,0,tp_rate_next_24h,original_163,2.896954926662147,0.0002985741916926943,6
F1,a,0,gust_gt30_frac_next_24h,original_163,0.040259599685668945,4.149349140157308e-06,1
F1,a,0,has_weather_at_t24h,original_163,0.0,0.0,0
F1,a,0,window_len_next_48h,original_163,0.16892999410629272,1.741074256238169e-05,1
F1,a,0,is_full_next_48h,original_163,0.0,0.0,0
F1,a,0,tp_rate_next_48h,original_163,8.867546817287803,0.0009139322807205016,24
F1,a,0,gust_gt30_frac_next_48h,original_163,0.5954841915518045,6.13734820386775e-05,6
F1,a,0,has_weather_at_t48h,original_163,0.0,0.0,0
F1,a,0,dem_elevation_mean_m,DEM,4.012018450535834,0.0004134980337112487,16
F1,a,0,dem_elevation_std_m,DEM,4.57831390760839,0.00047186318354445567,25
F1,a,0,dem_elevation_min_m,DEM,14.67433596868068,0.0015124080668814754,61
F1,a,0,dem_elevation_max_m,DEM,6.4814221896231174,0.0006680067313009676,24
F1,a,0,dem_slope_mean_deg,DEM,5.602779905311763,0.0005774496061586888,21
F1,a,0,dem_slope_std_deg,DEM,7.846525514498353,0.0008087008850312949,30
F1,a,0,dem_terrain_ruggedness,DEM,5.776637155562639,0.0005953681755799188,13
F1,b,0,last_osi,original_163,0.2045817402540706,0.0032841098492274122,35
F1,b,0,last_P_t,original_163,0.1968459414492827,0.0031599286147981085,45
F1,b,0,last_N_t,original_163,3.7005157405510545,0.05940364069477594,295
F1,b,0,last_D_t,original_163,0.32749545195838436,0.0052572191341124,33
F1,b,0,last_R_t,original_163,0.021317016216926277,0.0003421978072295487,12
F1,b,0,last_outage_pct,original_163,0.026223836932331324,0.00042096602095107697,10
F1,b,0,osi_mean_72h,original_163,0.6225662777433172,0.009993932215037922,12
F1,b,0,osi_max_72h,original_163,0.042384543019579723,0.0006803906106807845,15
F1,b,0,osi_std_72h,original_163,0.04834268393460661,0.000776035457761585,8
F1,b,0,outage_pct_mean_72h,original_163,0.03892330912640318,0.0006248281137299618,6
F1,b,0,outage_pct_max_72h,original_163,0.00819742790190503,0.00013159167420095428,6
F1,b,0,N_t_mean_72h,original_163,0.025317671825177968,0.00040641953332352666,16
F1,b,0,N_t_max_72h,original_163,0.03637486987281591,0.0005839185269678694,7
F1,b,0,R_t_mean_72h,original_163,0.3827109685516916,0.006143582802976791,34
F1,b,0,R_t_max_72h,original_163,0.4049538456310984,0.006500643269863601,25
F1,b,0,pre_event_mean_osi,original_163,0.2714158215385396,0.004356984018436279,46
F1,b,0,pre_event_max_outage_pct,original_163,0.34485107197542675,0.005535825438695749,46
